,car_mm_1q_m10_p10_pct,car_mm_1q_m1_p1_pct,car_mm_1q_m5_p5_pct,car_mm_1q_p0_p10_pct,car_mm_1q_p0_p1_pct,car_mm_1q_p0_p5_pct,car_mm_1y_m10_p10_pct,car_mm_1y_m1_p1_pct,car_mm_1y_m5_p5_pct,car_mm_1y_p0_p10_pct,car_mm_1y_p0_p1_pct,car_mm_1y_p0_p5_pct,car_simple_m10_p10_pct,car_simple_m1_p1_pct,car_simple_m5_p5_pct,car_simple_p0_p10_pct,car_simple_p0_p1_pct,car_simple_p0_p5_pct
tr_prepared,-0.0032227578325583366,-0.03797439280756835,0.011951286170821812,0.025872663219738495,-0.03061677924630993,0.06554046020317104,0.00024652078299517094,-0.03677027971167563,0.009200855269473835,0.019298642006976514,-0.03401027822489918,0.0556221013163568,0.0020038308377414676,-0.043677294100947096,0.04132055140346044,0.028835520461489655,-0.06236086895067404,0.054895632332678926
tr_qa,0.035058560294872664,0.009417984078319409,0.03582697503824732,-0.030577306348264045,-0.11659146814752037,-0.02966062850882562,0.056094085247887754,0.014316832943300951,0.04812365873081165,-0.022722389383118675,-0.10991373198978165,-0.02509875799581112,0.051740172387901316,0.015604005453281996,0.05224094690764178,-0.02981185094358835,-0.11076879812934701,-0.025682839840525117
tr_avg,0.01678634934764281,-0.0191989964576852,0.026893975287754276,9.333933977444545e-05,-0.0822332706916031,0.025929521646292218,0.0303102580033328,-0.015796376146309233,0.03174669432158505,0.0001155748863864438,-0.080811805989975,0.022044946245762396,0.029092591158627733,-0.019517305942232475,0.05448090935282717,0.002397746810772582,-0.09938439875509719,0.02126684436790059
tr_diff,0.03329231347748312,0.04670159751058737,0.01851053482804787,-0.052502279247756294,-0.06865975009135669,-0.0920795549550711,0.04777054325493614,0.04967024843747057,0.031836124138859286,-0.03908871789158926,-0.05949014230054092,-0.07808225798587076,0.042255152970412116,0.05780007463548163,0.0026790488013879554,-0.0548616941556895,-0.031375392615169063,-0.07784309939389782
news_pre,0.04618801561641053,0.07575061785153084,0.04822496978744267,-0.07330988102149576,-0.02687727913802572,-0.05426528367000592,0.07681200529030048,0.0775289961963387,0.06811204502035959,-0.050651182123491685,-0.02089989151141522,-0.035924776996740196,0.11476457380984084,0.0804357476815261,0.09442711465026751,-0.0051836392055286794,-0.0296435805538591,-0.009257614059147335
news_post,0.23042115998354587,0.2653947536693637,0.2669262946246167,0.01441149543964363,0.025378368460950658,0.06703119712918465,0.26312319828329284,0.2710316210244265,0.28697218587052103,0.03837360198185874,0.032325894050587646,0.08504429736208491,0.27884210618899824,0.27464385847180456,0.30028630244359017,0.05801266178521064,0.029198255550904745,0.096782950574187
news_avg,0.15360846113197435,0.18963657283625174,0.174967555630202,-0.03334791836442914,-0.0011008873398860508,0.00652055525521896,0.18897727478970291,0.1937599039152583,0.1972766973776824,-0.007308153398198849,0.006115174213493625,0.02683241461135764,0.21907481462490755,0.19739840711954268,0.21948247216991468,0.029196142798070552,-0.0005454720313574969,0.048364429699069476
news_diff,0.20363142046118704,0.20904171535570795,0.24186238921994016,0.09888509481781463,0.058566252153441745,0.1357804681018635,0.2053194765580229,0.21329007017384843,0.24163654220642158,0.09987410655261542,0.05952257173025827,0.1350460154154393,0.17986451952813248,0.21401462981560124,0.2266685876577218,0.07027561401410874,0.06593525154518351,0.1179306542390548
