target,feature,corr,n
car_simple_m10_p10_pct,tr__tr_lm_lit_prop__prepared__all,0.03025856197058239,400
car_simple_m10_p10_pct,news__nw_lm_unc_prop__post,-0.029493001885386897,400
car_simple_m10_p10_pct,tr__tr_lm_pos_prop__prepared__all,-0.029044191526963428,400
car_simple_m10_p10_pct,news__nw_lm_unc_prop__post_minus_pre,-0.025673184403530253,400
car_simple_m10_p10_pct,tr__tr_lm_constr_prop__qa__all,0.02163252234355786,400
car_simple_m10_p10_pct,news__nw_lm_constr_prop__post_minus_pre,-0.02098264200591124,400
car_simple_m10_p10_pct,tr__tr_lm_constr_prop__prepared__all,-0.014001413712892955,400
car_simple_m10_p10_pct,tr__tr_lm_lit_prop__qa__all,-0.012733690542589968,400
car_simple_m10_p10_pct,tr__tr_lm_constr_prop__all__all,0.012167285071111759,400
car_simple_m10_p10_pct,tr__tr_lm_pos_prop__all__all,0.0031831529507712194,400
car_simple_m10_p10_pct,news__nw_lm_unc_prop__pre,0.00258973875460485,400
car_simple_m10_p10_pct,tr__tr_lm_lit_prop__all__all,0.002552363721887028,400
car_simple_m10_p10_pct,tr__tr_lm_tone__prepared__all,0.002003882052932328,400
car_mm_1y_m10_p10_pct,news__nw_lm_tone__post,0.2631231224890815,400
car_mm_1y_m10_p10_pct,news__nw_lm_neg_prop__post,-0.22486122344467263,400
car_mm_1y_m10_p10_pct,news__nw_lm_tone__post_minus_pre,0.2053194567366614,400
car_mm_1y_m10_p10_pct,news__nw_lm_pos_prop__all,0.2014169308087681,400
car_mm_1y_m10_p10_pct,news__nw_lm_neg_prop__post_minus_pre,-0.198219580350301,400
car_mm_1y_m10_p10_pct,news__nw_lm_pos_prop__post,0.19707116698237692,400
car_mm_1y_m10_p10_pct,news__nw_lm_tone__all,0.18927606119031623,400
car_mm_1y_m10_p10_pct,news__nw_lm_neg_prop__all,-0.13581553721933012,400
car_mm_1y_m10_p10_pct,news__nw_lm_constr_prop__all,-0.11021909730604758,400
car_mm_1y_m10_p10_pct,news__nw_lm_pos_prop__pre,0.10712488382122257,400
car_mm_1y_m10_p10_pct,tr__tr_lm_unc_prop__all__all,-0.09519132188385171,400
car_mm_1y_m10_p10_pct,news__nw_lm_pos_prop__post_minus_pre,0.08692524051437148,400
car_mm_1y_m10_p10_pct,news__nw_lm_constr_prop__post,-0.08551032759705367,400
car_mm_1y_m10_p10_pct,news__nw_lm_constr_prop__pre,-0.07860556444928359,400
car_mm_1y_m10_p10_pct,news__nw_lm_tone__pre,0.07681194838381902,400
car_mm_1y_m10_p10_pct,news__nw_lm_unc_prop__post,-0.07265175694501079,400
car_mm_1y_m10_p10_pct,news__nw_lm_lit_prop__post,-0.0726112847464706,400
car_mm_1y_m10_p10_pct,tr__tr_lm_pos_prop__qa__all,0.06882931468449052,400
car_mm_1y_m10_p10_pct,news__nw_lm_unc_prop__all,-0.06088988290480735,400
car_mm_1y_m10_p10_pct,news__nw_lm_lit_prop__post_minus_pre,-0.05999133510198645,400
car_mm_1y_m10_p10_pct,news__nw_lm_unc_prop__post_minus_pre,-0.056192778325243956,400
car_mm_1y_m10_p10_pct,tr__tr_lm_tone__qa__all,0.056094133353979614,400
car_mm_1y_m10_p10_pct,tr__tr_lm_unc_prop__qa__all,-0.05595607046358611,400
car_mm_1y_m10_p10_pct,tr__tr_lm_neg_prop__all__all,-0.04337454571916174,400
car_mm_1y_m10_p10_pct,tr__tr_lm_tone__all__all,0.04185107984395242,400
car_mm_1y_m10_p10_pct,tr__tr_lm_unc_prop__prepared__all,-0.039908977865602484,400
car_mm_1y_m10_p10_pct,news__nw_lm_neg_prop__pre,-0.03659338720083229,400
car_mm_1y_m10_p10_pct,tr__tr_lm_neg_prop__prepared__all,-0.03544210178293587,400
car_mm_1y_m10_p10_pct,news__nw_lm_lit_prop__all,-0.03193081195954678,400
car_mm_1y_m10_p10_pct,tr__tr_lm_pos_prop__all__all,0.027325633585078068,400
car_mm_1y_m10_p10_pct,tr__tr_lm_lit_prop__prepared__all,0.025883975328972634,400
car_mm_1y_m10_p10_pct,tr__tr_lm_lit_prop__all__all,0.025548494031996796,400
car_mm_1y_m10_p10_pct,tr__tr_lm_constr_prop__all__all,-0.022894103864712474,400
car_mm_1y_m10_p10_pct,tr__tr_lm_lit_prop__qa__all,0.0226409175896222,400
car_mm_1y_m10_p10_pct,tr__tr_lm_pos_prop__prepared__all,-0.020074182189094753,400
car_mm_1y_m10_p10_pct,tr__tr_lm_constr_prop__qa__all,-0.018530455378775894,400
car_mm_1y_m10_p10_pct,news__nw_lm_constr_prop__post_minus_pre,-0.013380089970689148,400
car_mm_1y_m10_p10_pct,tr__tr_lm_neg_prop__qa__all,-0.01226474719702782,400
car_mm_1y_m10_p10_pct,news__nw_lm_lit_prop__pre,-0.011179815851171506,400
car_mm_1y_m10_p10_pct,tr__tr_lm_constr_prop__prepared__all,-0.0027070969269960324,400
car_mm_1y_m10_p10_pct,news__nw_lm_unc_prop__pre,-0.0013129218962444728,400
car_mm_1y_m10_p10_pct,tr__tr_lm_tone__prepared__all,0.00024659667672106094,400
car_mm_1q_m10_p10_pct,news__nw_lm_tone__post,0.2304210193053648,400
car_mm_1q_m10_p10_pct,news__nw_lm_neg_prop__post,-0.20747089208774233,400
car_mm_1q_m10_p10_pct,news__nw_lm_tone__post_minus_pre,0.20363140505968277,400
car_mm_1q_m10_p10_pct,news__nw_lm_neg_prop__post_minus_pre,-0.1973349616589574,400
car_mm_1q_m10_p10_pct,news__nw_lm_tone__all,0.1570346871683901,400
car_mm_1q_m10_p10_pct,news__nw_lm_pos_prop__post,0.1565502547614468,400
car_mm_1q_m10_p10_pct,news__nw_lm_pos_prop__all,0.15278900921457195,400
car_mm_1q_m10_p10_pct,news__nw_lm_neg_prop__all,-0.1205841492766665,400
car_mm_1q_m10_p10_pct,tr__tr_lm_unc_prop__all__all,-0.10129741482937947,400
car_mm_1q_m10_p10_pct,news__nw_lm_constr_prop__all,-0.09484625593893138,400
car_mm_1q_m10_p10_pct,news__nw_lm_constr_prop__pre,-0.08811957320048436,400
car_mm_1q_m10_p10_pct,news__nw_lm_pos_prop__post_minus_pre,0.08526766819589225,400
car_mm_1q_m10_p10_pct,news__nw_lm_lit_prop__post,-0.07105911158402918,400
