event_seq,n_events,car_mm_1q_m10_p10_pct,car_mm_1q_m1_p1_pct,car_mm_1q_m5_p5_pct,car_mm_1q_p0_p10_pct,car_mm_1q_p0_p1_pct,car_mm_1q_p0_p5_pct,car_mm_1y_m10_p10_pct,car_mm_1y_m1_p1_pct,car_mm_1y_m5_p5_pct,car_mm_1y_p0_p10_pct,car_mm_1y_p0_p1_pct,car_mm_1y_p0_p5_pct,car_simple_m10_p10_pct,car_simple_m1_p1_pct,car_simple_m5_p5_pct,car_simple_p0_p10_pct,car_simple_p0_p1_pct,car_simple_p0_p5_pct,news__nw_lm_constr_prop__all,news__nw_lm_constr_prop__post,news__nw_lm_constr_prop__post_minus_pre,news__nw_lm_constr_prop__pre,news__nw_lm_lit_prop__all,news__nw_lm_lit_prop__post,news__nw_lm_lit_prop__post_minus_pre,news__nw_lm_lit_prop__pre,news__nw_lm_neg_prop__all,news__nw_lm_neg_prop__post,news__nw_lm_neg_prop__post_minus_pre,news__nw_lm_neg_prop__pre,news__nw_lm_pos_prop__all,news__nw_lm_pos_prop__post,news__nw_lm_pos_prop__post_minus_pre,news__nw_lm_pos_prop__pre,news__nw_lm_tone__all,news__nw_lm_tone__post,news__nw_lm_tone__post_minus_pre,news__nw_lm_tone__pre,news__nw_lm_unc_prop__all,news__nw_lm_unc_prop__post,news__nw_lm_unc_prop__post_minus_pre,news__nw_lm_unc_prop__pre,tr__tr_lm_constr_prop__all__all,tr__tr_lm_constr_prop__prepared__all,tr__tr_lm_constr_prop__qa__all,tr__tr_lm_lit_prop__all__all,tr__tr_lm_lit_prop__prepared__all,tr__tr_lm_lit_prop__qa__all,tr__tr_lm_neg_prop__all__all,tr__tr_lm_neg_prop__prepared__all,tr__tr_lm_neg_prop__qa__all,tr__tr_lm_pos_prop__all__all,tr__tr_lm_pos_prop__prepared__all,tr__tr_lm_pos_prop__qa__all,tr__tr_lm_tone__all__all,tr__tr_lm_tone__prepared__all,tr__tr_lm_tone__qa__all,tr__tr_lm_unc_prop__all__all,tr__tr_lm_unc_prop__prepared__all,tr__tr_lm_unc_prop__qa__all
1,20,-2.625612674968851,-1.9658959223813313,-2.1733111934318696,-3.091739848301718,-1.0271656532661844,-2.827262242653386,-2.028635595447562,-1.8534810990200168,-1.5911281757762863,-2.5420944394472196,-1.0630398792087026,-2.3587152883490026,0.18822924673807803,-1.5978602727801294,-0.5555484678327605,-1.3788893346333349,-0.958034258479327,-1.7564908161796708,0.002673540005673335,0.00249662390805333,-9.435598303884998e-05,0.002590979891092175,0.00577329663389967,0.00705480343109907,0.003146447872163615,0.003908355558935425,0.019280443030202224,0.020200397689216845,0.002303641595877645,0.01789675609333919,0.027844762224919363,0.02878960658709139,0.0027257007891365753,0.02606390579795481,0.008564319194717115,0.00858920889787456,0.0004220591932589503,0.008167149704615595,0.01377984472180907,0.01210539031742331,-0.003832393642879585,0.015937783960302924,0.00265743263400218,0.0023214639442966497,0.0025817083505409602,0.0019346309375589802,0.0019323614135143452,0.001932985071402735,0.014662714401110954,0.012844862614512157,0.016118649281142115,0.0314156047010659,0.031094527553881545,0.03103571630927176,0.016752890299954935,0.018249664939369345,0.01491706702812961,0.01770232529755347,0.01968500979555201,0.018211878323765383
2,20,-0.13447439876202702,-0.8313210013330352,-0.8709683841953139,-0.6585617101764388,-0.11896606936926393,-0.8419201029154614,-2.4609994786580525,-1.0284109029702457,-1.8061244452707494,-1.9521895249225227,-0.22741560640693717,-1.3162775656214631,-1.4609025767767545,-0.7849059617937668,-1.1963250909878256,-1.7699995557620003,-0.1759359683247221,-1.183130021659776,0.00315180825874616,0.003110772830075935,0.00021600161720805008,0.002894771212867895,0.005980628161159805,0.00737734641277026,0.0029873578024087826,0.004389988610361475,0.01854934988056484,0.018929167348524085,6.54978460819449e-05,0.018863669502442122,0.02477885048379671,0.026969524982355202,0.004118777870518755,0.02285074711183645,0.006229500603231865,0.008040357633831095,0.0040532800244368105,0.003987077609394279,0.014676036229247635,0.01597759124850959,0.0026484762523941007,0.013329114996115485,0.0029573990991998552,0.002552933937941785,0.003080343450501795,0.001528762011024175,0.00157488642766224,0.0015900231291832048,0.014580349100696161,0.01254184830373834,0.016780795558806898,0.03501097762295871,0.03606228039781415,0.03337848992591426,0.020430628522262514,0.02352043209407577,0.016597694367107316,0.01797495114374455,0.01765378419954215,0.01943819210473588
3,20,-0.460886213738026,0.0804493865458158,1.1091061207367958,0.15036047814284567,0.5841003142988602,1.438866461544506,-0.503860746403577,0.13730956771011793,0.9914510594821226,0.054944086244206505,0.6110966056779032,1.3423064637222297,0.246756066282407,0.22821391422282167,1.5427141502055393,0.4759359312386362,0.6702883487598383,1.5512793025183238,0.00219471774372902,0.002471875197196625,0.00080565508635858,0.00166622011083804,0.00557223838108934,0.005205420564607395,-0.0004476347062987801,0.00565305527090617,0.0206397830040175,0.021972948947594675,0.0031694863355345403,0.018803462612060125,0.024156934894628602,0.025444409876385972,0.00349985944801761,0.02194455042836834,0.003517151890611081,0.00347146092879128,0.0003303731124830659,0.0031410878163082093,0.012107750838507394,0.011670619687376971,-0.00119012409360334,0.012860743780980299,0.00289870243070789,0.002389292330120375,0.0032012020524823403,0.0018779578868439,0.002171536830547815,0.001893076811475865,0.014933286372431239,0.01064965201154119,0.017987970695268383,0.03464033721716244,0.036134653759061455,0.032462341240643774,0.01970705084473115,0.02548500174752022,0.014474370545375351,0.017843725723013706,0.016656243716379977,0.01975039446168345
4,20,3.552801237752471,1.861659540457265,2.833050232131295,2.3143675310059204,-0.3209898343045345,1.4647381672629494,3.4683028962697784,1.8531323862749087,2.7303849075748294,2.256656985184835,-0.29285330107777274,1.4177386000646135,4.5218225848798514,2.0351013900039754,3.288717572070562,2.7705760178924774,-0.19081336834194138,1.7387742722182906,0.0018930882092325098,0.00189122381461804,0.00010643691113218016,0.001784786903485865,0.005075870206684035,0.004919043502192275,0.00021783469679354504,0.0047012088053987305,0.01872266472266838,0.019150361509734364,0.0011658105310493033,0.017984550978685027,0.027168822639175416,0.029041771007536465,0.005001171265826615,0.024040599741709814,0.008446157916507005,0.00989140949780209,0.003835360734777295,0.006056048763024775,0.010010102932945495,0.009495073660813145,-0.0008403516576306851,0.01033542531844383,0.00310741209270591,0.0027699920875234423,0.003136892798123655,0.0022112872248233003,0.0022539121732705314,0.00223132788632839,0.015587443556218689,0.012057520779327048,0.017755792372933777,0.033688328596989794,0.036062969937863364,0.03166176450089597,0.01810088504077108,0.02400544915853626,0.013905972127962154,0.016738142752550346,0.015827923105010584,0.018268077646941036
5,20,-1.1381588629271708,0.73603031291447,-0.35878822912781494,-1.3490577186568267,0.19293569312406084,-0.5157861936618182,-0.9092616282679209,0.6226966566110645,-0.09327158777621058,-1.298163333787354,0.12840382728661612,-0.45370439390807443,-0.8069546741446034,0.6232665707034994,0.18737329837804464,-1.1186892819502297,0.12894340759347261,-0.39412149581494055,0.00206146485661186,0.00180061060108338,2.186491353395497e-05,0.0017787456875494351,0.00643146781035321,0.006426269441416844,0.0008649879442488748,0.00556128149716795,0.021718694044937266,0.022490569758555158,0.002177441498779385,0.020313128259775794,0.028339664991074553,0.030949045331382746,0.007738331046458704,0.02321071428492403,0.00662097094613726,0.00845847557282757,0.005560889547679335,0.0028975860251482253,0.013714914384655155,0.014184456015891134,0.00038308018827912514,0.01380137582761202,0.0029348638982807903,0.002881421983322665,0.0029394251022705,0.001714595047584785,0.00233940634040732,0.00165959950017564,0.014179575450642645,0.01081390026190239,0.01653017751672947,0.034749881738931156,0.03465303102544293,0.03349831448172507,0.020570306288288445,0.0238391307635405,0.016968136964995557,0.01732713679943608,0.016567144156015276,0.019027395391684084
6,20,2.454516563276486,1.3904724319653656,1.2253796693460404,1.804642362684914,0.4154699797070105,-0.026058928788038928,1.2804961401981205,1.234650656490265,0.6615961670935422,1.1730067587124364,0.2845363612781645,-0.3094433861592741,0.5208436979188612,1.548547642393817,0.852801633367719,0.0995199919420271,0.33043542189528113,-0.2283853242109369,0.002224472164801395,0.00242887119968863,0.0008332258331309984,0.00159564536655763,0.008848316144042065,0.010903782165016945,0.0049131615704217655,0.0059906205945951755,0.026999310739726883,0.029340433536043996,0.0037059145874140153,0.025634518948629958,0.02554192871245615,0.028136146633206183,0.005542397128763006,0.022593749504443164,-0.0014573820272707348,-0.0012042869028377901,0.00183648254134899,-0.0030407694441867846,0.01603496692576855,0.016177133004732946,0.0007342716668827249,0.015442861337850194,0.002874400711478665,0.002450310315446805,0.002950635363512795,0.00164849393071236,0.0016658347001968265,0.0015531054525707551,0.01805750881081869,0.014527600337106317,0.020562822150438732,0.03124765051998559,0.03381967027033277,0.028607541339837263,0.01319014170916685,0.019292069933226404,0.008044719189398515,0.017945965283979563,0.017551465605399597,0.0200184511569023
7,20,-2.4653654802568967,0.5876845182119492,-1.924145281653643,-1.6250597128207644,-0.21247293012765503,-1.1794616721702347,-2.3306364623684623,0.6152034690210497,-1.8547316381446124,-1.6138721449973754,-0.2174463745014997,-1.2088138362371499,-1.1996595725669872,0.7668897120318724,-1.424618620493868,-0.921018111487642,-0.31131586676409,-0.9079368664163103,0.0022016528432018652,0.002519055371265105,0.001383704300289005,0.0011353510709761,0.006373955354235584,0.008243662439927074,0.0037113067497010696,0.004532355690226015,0.02937221623681799,0.029697920565776286,0.0005258005690123898,0.029172119996763883,0.0237779002557915,0.02749004124964576,0.007164139683309201,0.02032590156633653,-0.005594315981026475,-0.0022078793161305053,0.00663833911429681,-0.008846218430427334,0.013067873154555714,0.012582084002057538,-0.00113936063957218,0.013721444641629721,0.00288754697499724,0.003446551583852005,0.002569892088297535,0.001939942667564805,0.002415183208868045,0.001869293707065835,0.019240092856942843,0.014875600697354285,0.020818305098923746,0.031461480800067984,0.03579652702529423,0.028899515316296143,0.012221387943125104,0.0209209263279399,0.008081210217372379,0.01809666378979469,0.017526660776660243,0.019686207262278092
8,20,0.5457703563990022,-1.3472108745113016,-1.603986607026555,2.091920125594675,0.47216517621124565,0.27048579741711115,-0.03742116139608313,-1.3650993741556743,-1.7872871580787355,1.824635553437941,0.3540146579892285,0.19958753856084568,1.1304852799761007,-1.371822630145378,-1.93391054297879,2.33812029588439,0.6417487282127186,0.19952115747042173,0.00245208869807811,0.00252560854112293,0.000318873066246335,0.0022067354748765847,0.00636306294308594,0.00492447894796814,-0.00270245891801209,0.007626937865980256,0.030760922690523034,0.032264660168290285,0.003198005956262685,0.029066654212027587,0.02537349112437881,0.028076848955832068,0.00619048806026414,0.021886360895567898,-0.00538743156614424,-0.004187811212458205,0.0029924821040014553,-0.007180293316459666,0.013295769938011251,0.01287311126139896,-0.0009837154116794555,0.013856826673078432,0.0022487828919316452,0.0017929336223756601,0.0024980986285893,0.00170893542005683,0.00158419064099919,0.0016572501185146498,0.018560466840614676,0.012839990499971721,0.022478912493286745,0.029832922721747666,0.03176175922710141,0.028857633675143112,0.011272455881132955,0.01892176872712966,0.006378721181856341,0.01913230463828307,0.018717274960502076,0.02185267336012109
9,20,3.1150440415678373,3.1652571952115496,1.742818304597371,-0.2447092513036801,0.5773960898199911,-1.2184154530111238,4.33151285357523,3.264423508004416,2.38803324467297,0.38838519498756574,0.6549472442869855,-0.8752240747225569,5.03420967616321,3.535222995804363,3.0179897927908157,0.3362308771742556,0.6707135929347058,-0.8688642287610527,0.00172564757694389,0.0016891529110491799,0.00010804955912785078,0.0015811033519213349,0.00485986990036762,0.006712558830276679,0.0011489790434860247,0.00556357978679065,0.02588282689671153,0.027264491233520715,-0.0009420764123390775,0.028206567645859788,0.027150158603681595,0.029277658425822715,0.005444363316994464,0.02383329510882822,0.0012673317069700498,0.002013167192302015,0.0063864397293335404,-0.00437327253703155,0.013809613461284394,0.01328078888665588,-0.0009661815499816852,0.01424697043663754,0.001899440844758515,0.001855150721446805,0.0018222385082951702,0.00151917635808191,0.00171377105446041,0.001326773915141655,0.01799680615370401,0.012764613959130089,0.02091146391529197,0.031397392590879744,0.03063241884330529,0.030102301255861975,0.01340058643717569,0.017867804884175154,0.009190837340569975,0.018123955291934373,0.017008825667330287,0.01960976177287216
10,20,2.1131571311571284,1.0957470442923203,2.0559051885992714,0.6132306347598481,0.35761488421340604,0.7419847246398943,3.634135218721087,1.182920675165858,2.8228569804138113,1.2645240678859015,0.4322959748287185,1.0756749347194003,4.749797109338164,1.3585211256402836,3.513487026956104,2.026655615707632,0.5687326943395438,1.665892152344027,0.0016410096369643148,0.00180230397381628,0.00047462971432205,0.00132767425949423,0.0065190404714261406,0.00571208561727836,-0.0006906752131761748,0.006402760830454525,0.02909632955370614,0.02828451988862584,-0.0005368186810004098,0.028821338569626258,0.027676896946396568,0.031389405974227035,0.010009733438293365,0.02137967253593363,-0.00141943260730958,0.0031048860856011697,0.010546552119293775,-0.007441666033692609,0.0168939915453788,0.01860030451413726,0.0036591086920078598,0.014941195822129391,0.0021553203335169897,0.00176213015064474,0.00231247333195183,0.002083957648522425,0.001457013997244535,0.00228013691432878,0.015992538058745738,0.011198775320934549,0.018364086275645876,0.033741774534010824,0.035615244203714244,0.03309022451673453,0.01774923647526504,0.02441646888277966,0.01472613824108861,0.01804138534869748,0.01326432547852777,0.02018154667771059
11,20,0.9278817246719125,0.9355808742554007,1.4072637782490622,0.24886835874517882,0.6220213024944355,0.6199560108371511,1.578995879900182,0.9625119981630881,2.0047422683217277,0.4963706060252903,0.6611515705763977,0.9153242677929407,2.6989506856266825,1.0388161092895287,2.7590967429667956,1.0309448171514295,0.7801038553843199,1.3396695185885428,0.001718976535948695,0.001518550742406565,-0.000420672934899335,0.0019392236773059152,0.00503130942373178,0.0051630184498681,0.0005518044773734699,0.004611213972494645,0.023169758041676175,0.02441072414642476,0.0037826105201446995,0.020628113626280035,0.032069579358425096,0.03530519979345458,0.0100384318861578,0.02526676790729674,0.008899821316748895,0.0108944756470298,0.006255821366013115,0.004638654281016695,0.012851852120227264,0.012874873295823175,0.0005196938280716666,0.012355179467751515,0.0021050910292178897,0.00194043152957562,0.002138802446910425,0.0026239379217209797,0.002668283497973375,0.002441984926953955,0.014920694098555376,0.010592991857761065,0.01748549227948771,0.03409136864944097,0.03633412886449344,0.032222136446472135,0.019170674550885565,0.025741137006732317,0.014736644166984395,0.01579950374542836,0.014491353068209109,0.016838860585958976
12,20,-3.0220792610416405,-0.5526043844863884,-1.4920273017123742,-1.2346880841175456,0.016809374139471922,-0.24312886826568963,-2.8171457805892537,-0.42905230498513286,-1.3547219268781425,-0.8804359795779849,0.10164949068375359,-0.1256599485240884,-0.7580647833400727,-0.3704197029708201,-0.5562667547957016,0.710702326158169,0.1633969144358956,0.6146214160096519,0.00137539589433266,0.00146040868988757,0.00028120331494412427,0.001179205374943435,0.004095911041835665,0.004015819098630735,-7.766467526416482e-05,0.0040934837738949,0.023100429226245632,0.023685255974595386,0.002340569225408595,0.02134468674918677,0.03197628180252583,0.034475769159232963,0.00714464889306383,0.0273311202661691,0.00887585257628017,0.01079051318463753,0.0048040796676552255,0.00598643351698232,0.01396553972152303,0.015270232325723065,0.0031488399804154854,0.01212139234530757,0.002400177330033705,0.00262973365001351,0.00222991357678211,0.0024415470607985702,0.0015648971288329447,0.00265052602750608,0.01515383889219806,0.011475119865980385,0.017341705417792213,0.033086599806430445,0.03544326010965277,0.03189994758807799,0.017932760914232335,0.023968140243672338,0.01455824217028572,0.01610387360661418,0.01206289347585746,0.01792133781017095
13,20,1.6292369957652564,1.6519871008430207,0.7471831623893586,0.6786461985938715,0.11018444138659315,0.0693080527027666,1.3179955595974366,1.595948610917934,0.5678129092403574,0.5280680252983103,0.06104138453042159,-0.08352389636993181,3.818579235514725,1.8338572944677396,1.8156093806281899,1.7524425651237678,0.1577273885776715,0.5253733803711398,0.001046234363487465,0.0010321968202304898,-2.457276419172e-05,0.001056769584422225,0.004138101726990255,0.00489768589025677,0.002243861095967346,0.0026538247942894254,0.01952215271298378,0.020866798428173586,0.00360927916272177,0.017257519265451805,0.033300308183152064,0.03358814212066551,0.000997928528453203,0.03259021359221229,0.013778155470168255,0.012721343692491885,-0.0026113506342685653,0.01533269432676045,0.012990642161769986,0.01369123227377739,0.0016074369333548652,0.01208379534042249,0.0019050133753154299,0.002635623836277655,0.00147548777165842,0.0017344037796672152,0.00186502978496066,0.0017095596724645602,0.013024323698848756,0.009619313335973725,0.015003948564306823,0.035423876881144026,0.03666935370306429,0.03383407523747113,0.02239955318229522,0.027050040367090515,0.018830126673164256,0.015403979812855578,0.015475577567918114,0.0171750353368084
