date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,netInterestIncome,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebit,nonOperatingIncomeExcludingInterest,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeFromDiscontinuedOperations,otherAdjustmentsToNetIncome,netIncome,netIncomeDeductions,bottomLineNetIncome,eps,epsDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2020-12-31,PLTR,USD,0001321655,2021-02-26,2021-02-26 16:39:45,2020,Q4,322091000,70503000,251588000,94130000,166411000,147619000,314030000,0,408160000,478663000,-1446000,368000,1814000,3563000,-150559000,-154122000,-2450000,-156572000,636000,-155936000,-7593000,-148343000,0,0,-148343000,5483000,-153826000,-0.0841,-0.0828,1763513922,1763513922
2021-03-31,PLTR,USD,0001321655,2021-05-12,2021-05-12 16:57:06,2021,Q1,341234000,74111000,267123000,98471000,146569000,136097000,282666000,0,381137000,455248000,-1464000,376000,1840000,3237000,-115295000,-118532000,4518000,-114014000,-6358000,-120372000,3102000,-123474000,0,0,-123474000,0,-123474000,-0.0678,-0.0678,1821158000,1821158000
2021-06-30,PLTR,USD,0001321655,2021-08-12,2021-08-12 08:09:48,2021,Q2,375642000,90926000,284716000,110524000,157961000,162379000,320340000,0,430864000,521790000,-218000,372000,590000,4762000,-138889000,-143651000,-2497000,-146148000,1907000,-144241000,-5661000,-138580000,0,0,-138580000,0,-138580000,-0.0731,-0.0731,1894606000,1894606000
2021-09-30,PLTR,USD,0001321655,2021-11-09,2021-11-09 09:01:07,2021,Q3,392146000,86804000,305342000,94316000,149524000,153443000,302967000,0,397283000,484087000,-230000,379000,609000,3058000,-97032000,-100090000,8149000,-91941000,-8758000,-100699000,1438000,-102137000,0,0,-102137000,0,-102137000,-0.052,-0.052,1964395000,1964395000
2021-12-31,PLTR,USD,0001321655,2022-02-24,2022-02-24 06:20:34,2021,Q4,432867000,87563000,345304000,84176000,157478000,162593000,320071000,0,404247000,491810000,-121000,480000,601000,3840000,-118741000,-122581000,63638000,-58943000,-64239000,-123182000,33006000,-156188000,0,0,-156188000,0,-156188000,-0.0776,-0.0776,2011764000,2011764000
2022-03-31,PLTR,USD,0001321655,2022-05-09,2022-05-09 17:24:26,2022,Q1,446357000,94403000,351954000,88601000,142307000,160485000,302792000,0,391393000,485796000,-47000,547000,594000,4312000,-94450000,-98762000,59323000,-39439000,-59917000,-99356000,2023000,-101379000,0,0,-101379000,0,-101379000,-0.0498,-0.0498,2036307000,2036307000
2022-06-30,PLTR,USD,0001321655,2022-08-08,2022-08-08 16:58:57,2022,Q2,473010000,102224000,370786000,88171000,155485000,168875000,324360000,0,412531000,514755000,802000,1472000,670000,4895000,-171176000,-176071000,134326000,-41745000,-134996000,-176741000,2588000,-179329000,0,0,-179329000,0,-179329000,-0.0873,-0.0873,2054799000,2054799000
2022-09-30,PLTR,USD,0001321655,2022-11-07,2022-11-07 16:33:42,2022,Q3,477880000,107611000,370269000,100863000,148679000,182918000,331597000,0,432460000,540071000,4458000,5540000,1082000,5942000,-115755000,-121697000,59506000,-62191000,-60588000,-122779000,1096000,-123875000,0,0,-123875000,0,-123875000,-0.0597,-0.0597,2073265000,2073265000
2022-12-31,PLTR,USD,0001321655,2023-02-21,2023-02-21 16:35:44,2022,Q4,508624000,104311000,404313000,82044000,149862000,190233000,340095000,0,422139000,526450000,11038000,12750000,1712000,7373000,46934000,39561000,-57387000,-17826000,55675000,37849000,4360000,33489000,0,0,30878000,0,30878000,0.0148,0.014,2090107000,2203733000
2023-03-31,PLTR,USD,0001321655,2023-05-09,2023-05-08 21:13:32,2023,Q1,525186000,107645000,417541000,90100000,136233000,187093000,323326000,0,413426000,521071000,19578000,20853000,1275000,8320000,12435000,4115000,0,4115000,16717000,20832000,1681000,19151000,0,0,16802000,0,16802000,0.008,0.0076,2107780000,2217439000
