ticker,event_date,section,tr_units,tr_tokens,tr_lines,tr_chars
AAPL,2021-01-27,prepared,4,3906,4,19773
AAPL,2021-01-27,qa,48,5973,48,27229
AAPL,2021-04-28,prepared,5,3968,5,20127
AAPL,2021-04-28,qa,52,5809,52,26773
AAPL,2021-07-27,prepared,5,3910,5,19957
AAPL,2021-07-27,qa,67,6061,67,27855
AAPL,2021-10-28,prepared,5,4193,5,21179
AAPL,2021-10-28,qa,55,5872,55,26855
AAPL,2022-01-27,prepared,5,3876,5,19590
AAPL,2022-01-27,qa,50,5358,50,24411
AAPL,2022-04-28,prepared,5,3735,5,19256
AAPL,2022-04-28,qa,66,5703,66,26838
AAPL,2022-07-28,prepared,5,3638,5,18900
AAPL,2022-07-28,qa,53,5658,53,26703
AAPL,2022-10-27,prepared,5,4401,5,22828
AAPL,2022-10-27,qa,50,5145,50,23359
AAPL,2023-02-02,prepared,5,4468,5,22860
AAPL,2023-02-02,qa,49,4781,49,21973
AAPL,2023-05-04,prepared,4,3916,4,19876
AAPL,2023-05-04,qa,58,5535,58,25773
AAPL,2023-08-03,prepared,5,3964,5,19804
AAPL,2023-08-03,qa,58,5643,58,26172
AAPL,2023-11-02,prepared,5,4093,5,20393
AAPL,2023-11-02,qa,68,6080,68,27584
AAPL,2024-02-01,prepared,5,4120,5,20233
AAPL,2024-02-01,qa,54,5181,54,23698
AAPL,2024-05-02,prepared,3,3756,3,18370
AAPL,2024-05-02,qa,72,6036,72,27275
AAPL,2024-08-01,prepared,4,3649,4,18283
AAPL,2024-08-01,qa,66,5715,66,26782
AAPL,2024-10-31,prepared,3,3901,3,19146
AAPL,2024-10-31,qa,74,5761,74,25705
AAPL,2025-01-30,prepared,3,3800,3,18711
AAPL,2025-01-30,qa,75,5640,75,25664
AAPL,2025-05-01,prepared,3,3903,3,19146
AAPL,2025-05-01,qa,71,5706,71,26224
AAPL,2025-07-31,prepared,3,4193,3,20757
AAPL,2025-07-31,qa,55,5382,55,24736
AAPL,2025-10-30,prepared,3,4427,3,22039
AAPL,2025-10-30,qa,73,4971,73,22998
ABBV,2021-02-03,prepared,6,5623,6,30113
ABBV,2021-02-03,qa,68,9865,68,45906
ABBV,2021-04-30,prepared,7,4472,7,24055
ABBV,2021-04-30,qa,75,9339,75,44441
ABBV,2021-07-30,prepared,7,4914,7,26436
ABBV,2021-07-30,qa,66,9855,66,46323
ABBV,2021-10-29,prepared,7,4957,7,26270
ABBV,2021-10-29,qa,65,9912,65,46866
ABBV,2022-02-02,prepared,5,5179,5,27355
ABBV,2022-02-02,qa,55,10179,55,46939
ABBV,2022-04-29,prepared,7,4715,7,25273
ABBV,2022-04-29,qa,61,8824,61,40494
ABBV,2022-07-29,prepared,7,4546,7,23842
ABBV,2022-07-29,qa,53,10829,53,49490
ABBV,2022-10-28,prepared,5,4631,5,24402
ABBV,2022-10-28,qa,61,8203,61,38017
