ticker,event_date,phase,publisher,n_units
AAPL,2021-01-27,post,24/7 Wall Street,22
AAPL,2021-01-27,post,Barron's,5
AAPL,2021-01-27,post,Benzinga,17
AAPL,2021-01-27,post,Business Insider,9
AAPL,2021-01-27,post,CNBC,19
AAPL,2021-01-27,post,CNN,4
AAPL,2021-01-27,post,Deadline,1
AAPL,2021-01-27,post,ETF Trends,1
AAPL,2021-01-27,post,Forbes,3
AAPL,2021-01-27,post,Fox Business,1
AAPL,2021-01-27,post,GuruFocus,3
AAPL,2021-01-27,post,Investopedia,5
AAPL,2021-01-27,post,Investor's Business Daily,3
AAPL,2021-01-27,post,InvestorPlace,15
AAPL,2021-01-27,post,Invezz,3
AAPL,2021-01-27,post,Market Watch,10
AAPL,2021-01-27,post,New York Post,3
AAPL,2021-01-27,post,PYMNTS,3
AAPL,2021-01-27,post,Proactive Investors,4
AAPL,2021-01-27,post,Pulse2,1
AAPL,2021-01-27,post,Reuters,14
AAPL,2021-01-27,post,Schaeffers Research,1
AAPL,2021-01-27,post,Seeking Alpha,13
AAPL,2021-01-27,post,TechCrunch,1
AAPL,2021-01-27,post,The Motley Fool,26
AAPL,2021-01-27,post,VentureBeat,1
AAPL,2021-01-27,post,Zacks Investment Research,31
AAPL,2021-01-27,pre,24/7 Wall Street,23
AAPL,2021-01-27,pre,Barron's,8
AAPL,2021-01-27,pre,Benzinga,16
AAPL,2021-01-27,pre,Business Insider,6
AAPL,2021-01-27,pre,Business Wire,8
AAPL,2021-01-27,pre,CNBC,14
AAPL,2021-01-27,pre,CNET,1
AAPL,2021-01-27,pre,CNN,4
AAPL,2021-01-27,pre,Deadline,1
AAPL,2021-01-27,pre,Forbes,1
AAPL,2021-01-27,pre,Fox Business,1
AAPL,2021-01-27,pre,GuruFocus,2
AAPL,2021-01-27,pre,Investopedia,3
AAPL,2021-01-27,pre,Investor's Business Daily,1
AAPL,2021-01-27,pre,InvestorPlace,17
AAPL,2021-01-27,pre,Market Watch,10
AAPL,2021-01-27,pre,New York Post,1
AAPL,2021-01-27,pre,PYMNTS,1
AAPL,2021-01-27,pre,Pulse2,1
AAPL,2021-01-27,pre,Reuters,8
AAPL,2021-01-27,pre,Schaeffers Research,1
AAPL,2021-01-27,pre,Seeking Alpha,7
AAPL,2021-01-27,pre,TechCrunch,2
AAPL,2021-01-27,pre,The Dog of Wall Street,1
AAPL,2021-01-27,pre,The Motley Fool,29
AAPL,2021-01-27,pre,Zacks Investment Research,34
AAPL,2021-04-28,post,24/7 Wall Street,2
AAPL,2021-04-28,post,Barron's,3
AAPL,2021-04-28,post,Benzinga,12
AAPL,2021-04-28,post,Business Insider,3
AAPL,2021-04-28,post,Business Wire,2
AAPL,2021-04-28,post,CNBC,20
AAPL,2021-04-28,post,CNET,3
AAPL,2021-04-28,post,CNN,4
AAPL,2021-04-28,post,Deadline,1
AAPL,2021-04-28,post,Fast Company,1
AAPL,2021-04-28,post,Forbes,3
AAPL,2021-04-28,post,Fox Business,1
AAPL,2021-04-28,post,GeekWire,1
AAPL,2021-04-28,post,GuruFocus,8
AAPL,2021-04-28,post,Investopedia,1
AAPL,2021-04-28,post,Investor's Business Daily,2
AAPL,2021-04-28,post,InvestorPlace,13
AAPL,2021-04-28,post,Invezz,3
AAPL,2021-04-28,post,Market Watch,15
AAPL,2021-04-28,post,New York Post,2
AAPL,2021-04-28,post,PYMNTS,2
AAPL,2021-04-28,post,Proactive Investors,4
AAPL,2021-04-28,post,Pulse2,5
AAPL,2021-04-28,post,Reuters,11
AAPL,2021-04-28,post,Schaeffers Research,1
AAPL,2021-04-28,post,Seeking Alpha,22
AAPL,2021-04-28,post,TechCrunch,2
AAPL,2021-04-28,post,The Dog of Wall Street,1
AAPL,2021-04-28,post,The Guardian,2
AAPL,2021-04-28,post,The Motley Fool,19
AAPL,2021-04-28,post,The New York Times,1
AAPL,2021-04-28,post,VentureBeat,2
AAPL,2021-04-28,post,Zacks Investment Research,28
AAPL,2021-04-28,pre,24/7 Wall Street,5
AAPL,2021-04-28,pre,Barron's,6
AAPL,2021-04-28,pre,Benzinga,12
AAPL,2021-04-28,pre,Business Insider,7
AAPL,2021-04-28,pre,Business Wire,18
AAPL,2021-04-28,pre,CNBC,14
AAPL,2021-04-28,pre,CNET,3
AAPL,2021-04-28,pre,CNN,8
AAPL,2021-04-28,pre,Deadline,5
AAPL,2021-04-28,pre,Forbes,5
AAPL,2021-04-28,pre,Fox Business,1
AAPL,2021-04-28,pre,GuruFocus,1
AAPL,2021-04-28,pre,Investopedia,1
AAPL,2021-04-28,pre,InvestorPlace,14
AAPL,2021-04-28,pre,Invezz,3
AAPL,2021-04-28,pre,Market Watch,10
AAPL,2021-04-28,pre,New York Post,1
AAPL,2021-04-28,pre,PYMNTS,7
AAPL,2021-04-28,pre,Proactive Investors,6
AAPL,2021-04-28,pre,Pulse2,1
AAPL,2021-04-28,pre,Reuters,15
AAPL,2021-04-28,pre,Schaeffers Research,1
AAPL,2021-04-28,pre,Seeking Alpha,8
AAPL,2021-04-28,pre,TechCrunch,12
AAPL,2021-04-28,pre,The Guardian,2
AAPL,2021-04-28,pre,The Motley Fool,14
AAPL,2021-04-28,pre,Zacks Investment Research,30
AAPL,2021-07-27,post,24/7 Wall Street,3
AAPL,2021-07-27,post,Barron's,5
AAPL,2021-07-27,post,Benzinga,13
AAPL,2021-07-27,post,Business Insider,2
AAPL,2021-07-27,post,Business Wire,1
AAPL,2021-07-27,post,CNBC,10
AAPL,2021-07-27,post,CNN,3
AAPL,2021-07-27,post,Forbes,1
AAPL,2021-07-27,post,Fox Business,2
AAPL,2021-07-27,post,GuruFocus,4
AAPL,2021-07-27,post,Investopedia,3
AAPL,2021-07-27,post,InvestorPlace,5
AAPL,2021-07-27,post,Invezz,3
AAPL,2021-07-27,post,Market Watch,7
AAPL,2021-07-27,post,New York Post,1
AAPL,2021-07-27,post,PYMNTS,3
AAPL,2021-07-27,post,Proactive Investors,2
AAPL,2021-07-27,post,Reuters,6
AAPL,2021-07-27,post,Schaeffers Research,3
AAPL,2021-07-27,post,See It Market,1
AAPL,2021-07-27,post,Seeking Alpha,16
AAPL,2021-07-27,post,TechCrunch,2
