ticker,earnings_date,announce_timing,day0_date,date,offset,open,high,low,close,adj_close,volume
MA,2021-01-28,bmo,2021-01-28,2021-01-13,-10,349.6099853515625,349.760009765625,344.2300109863281,346.3299865722656,336.5823669433594,4125700.0
MA,2021-01-28,bmo,2021-01-28,2021-01-14,-9,348.69000244140625,349.5799865722656,326.69000244140625,326.92999267578125,317.7283630371094,8712200.0
MA,2021-01-28,bmo,2021-01-28,2021-01-15,-8,327.5400085449219,329.69000244140625,321.8800048828125,323.260009765625,314.1617126464844,7911500.0
MA,2021-01-28,bmo,2021-01-28,2021-01-19,-7,326.989990234375,329.1300048828125,324.6600036621094,325.94000244140625,316.76629638671875,4625200.0
MA,2021-01-28,bmo,2021-01-28,2021-01-20,-6,329.989990234375,337.92999267578125,329.1300048828125,334.9100036621094,325.4837341308594,5081000.0
MA,2021-01-28,bmo,2021-01-28,2021-01-21,-5,334.4100036621094,336.8599853515625,331.75,334.44000244140625,325.0269775390625,3484900.0
MA,2021-01-28,bmo,2021-01-28,2021-01-22,-4,330.3900146484375,335.1499938964844,328.9100036621094,328.989990234375,319.73040771484375,3846600.0
MA,2021-01-28,bmo,2021-01-28,2021-01-25,-3,327.510009765625,329.95001220703125,317.2300109863281,329.19000244140625,319.9248046875,6257700.0
MA,2021-01-28,bmo,2021-01-28,2021-01-26,-2,330.0,330.5400085449219,325.82000732421875,327.70001220703125,318.4767150878906,3503100.0
MA,2021-01-28,bmo,2021-01-28,2021-01-27,-1,320.3599853515625,323.0,313.1199951171875,315.489990234375,306.6103820800781,7449400.0
MA,2021-01-28,bmo,2021-01-28,2021-01-28,0,327.0899963378906,329.0,321.9800109863281,324.2799987792969,315.1529541015625,6906400.0
MA,2021-01-28,bmo,2021-01-28,2021-01-29,1,323.79998779296875,325.67999267578125,312.3800048828125,316.2900085449219,307.387939453125,7627200.0
MA,2021-01-28,bmo,2021-01-28,2021-02-01,2,320.9100036621094,323.5199890136719,317.5799865722656,321.55999755859375,312.509521484375,4930700.0
MA,2021-01-28,bmo,2021-01-28,2021-02-02,3,323.45001220703125,336.1600036621094,323.45001220703125,334.3699951171875,324.9590148925781,5686000.0
MA,2021-01-28,bmo,2021-01-28,2021-02-03,4,333.8399963378906,336.0,331.07000732421875,332.82000732421875,323.45257568359375,4036800.0
MA,2021-01-28,bmo,2021-01-28,2021-02-04,5,335.3699951171875,343.25,335.05999755859375,340.8299865722656,331.2371520996094,4537500.0
MA,2021-01-28,bmo,2021-01-28,2021-02-05,6,342.5199890136719,344.3299865722656,337.3900146484375,338.75,329.2156677246094,2964800.0
MA,2021-01-28,bmo,2021-01-28,2021-02-08,7,340.0,341.489990234375,335.5299987792969,337.0299987792969,327.5440979003906,2652800.0
MA,2021-01-28,bmo,2021-01-28,2021-02-09,8,335.95001220703125,336.2200012207031,330.0,333.44000244140625,324.0551452636719,2993300.0
MA,2021-01-28,bmo,2021-01-28,2021-02-10,9,335.0,335.4700012207031,332.25,334.2099914550781,324.8034362792969,4246300.0
MA,2021-01-28,bmo,2021-01-28,2021-02-11,10,345.5,349.5899963378906,340.25,342.8699951171875,333.21966552734375,5110800.0
MA,2021-04-29,bmo,2021-04-29,2021-04-15,-10,381.1700134277344,387.3699951171875,380.9700012207031,386.489990234375,376.0579223632813,2942200.0
MA,2021-04-29,bmo,2021-04-29,2021-04-16,-9,389.0,389.1000061035156,383.6700134277344,386.1700134277344,375.7466125488281,2725500.0
MA,2021-04-29,bmo,2021-04-29,2021-04-19,-8,384.8999938964844,387.739990234375,381.3200073242187,382.1600036621094,371.84478759765625,3360900.0
MA,2021-04-29,bmo,2021-04-29,2021-04-20,-7,380.19000244140625,381.30999755859375,373.55999755859375,376.6300048828125,366.4640808105469,3135900.0
MA,2021-04-29,bmo,2021-04-29,2021-04-21,-6,378.5899963378906,384.1000061035156,376.6700134277344,383.1000061035156,372.7594604492187,2466300.0
MA,2021-04-29,bmo,2021-04-29,2021-04-22,-5,383.0799865722656,389.5,381.989990234375,383.3599853515625,373.0124206542969,3713700.0
MA,2021-04-29,bmo,2021-04-29,2021-04-23,-4,384.3500061035156,389.8800048828125,383.4599914550781,387.05999755859375,376.6125183105469,2294800.0
MA,2021-04-29,bmo,2021-04-29,2021-04-26,-3,387.8299865722656,392.94000244140625,387.1000061035156,387.4700012207031,377.0113830566406,2255000.0
MA,2021-04-29,bmo,2021-04-29,2021-04-27,-2,388.2200012207031,390.4299926757813,386.1400146484375,389.0700073242187,378.5683288574219,2270000.0
MA,2021-04-29,bmo,2021-04-29,2021-04-28,-1,390.7000122070313,401.5,390.7000122070313,395.6499938964844,384.970703125,4065300.0
MA,2021-04-29,bmo,2021-04-29,2021-04-29,0,391.5,392.3900146484375,383.80999755859375,388.9500122070313,378.4515380859375,4637100.0
MA,2021-04-29,bmo,2021-04-29,2021-04-30,1,382.8599853515625,385.0,375.6099853515625,382.05999755859375,371.7474670410156,4043200.0
MA,2021-04-29,bmo,2021-04-29,2021-05-03,2,385.4700012207031,386.8699951171875,376.8500061035156,379.3999938964844,369.1592712402344,3344100.0
MA,2021-04-29,bmo,2021-04-29,2021-05-04,3,377.0700073242187,378.2099914550781,371.5799865722656,375.9100036621094,365.7634582519531,3321200.0
MA,2021-04-29,bmo,2021-04-29,2021-05-05,4,377.9299926757813,379.6400146484375,368.0299987792969,369.1400146484375,359.17626953125,2993900.0
MA,2021-04-29,bmo,2021-04-29,2021-05-06,5,371.1400146484375,375.7300109863281,365.7000122070313,375.4800109863281,365.3451843261719,3787300.0
MA,2021-04-29,bmo,2021-04-29,2021-05-07,6,377.260009765625,378.6400146484375,373.55999755859375,375.3999938964844,365.2671813964844,2935900.0
MA,2021-04-29,bmo,2021-04-29,2021-05-10,7,375.7900085449219,376.0,365.4100036621094,366.3399963378906,356.4517822265625,3193700.0
