ticker,earnings_date,announce_timing,eps_est,eps_actual,revenue_est,revenue_actual,event_datetime_et_placeholder
HD,2021-02-23,bmo,2.62,2.65,31891599236.0,32261000000.0,2021-02-23T08:00:00-05:00
HD,2021-05-18,bmo,3.08,3.86,,37500000000.0,2021-05-18T08:00:00-04:00
HD,2021-08-17,bmo,4.44,4.53,34494700000.0,41118000000.0,2021-08-17T08:00:00-04:00
HD,2021-11-16,bmo,3.4,3.92,34869500000.0,36820000000.0,2021-11-16T08:00:00-05:00
HD,2022-02-22,bmo,3.18,3.21,34880448143.0,35719000000.0,2022-02-22T08:00:00-05:00
HD,2022-05-17,bmo,3.68,4.09,36705264896.0,38908000000.0,2022-05-17T08:00:00-04:00
HD,2022-08-16,bmo,4.94,5.05,43360332627.0,43792000000.0,2022-08-16T08:00:00-04:00
HD,2022-11-15,bmo,4.12,4.24,37951058695.0,38872000000.0,2022-11-15T08:00:00-05:00
HD,2023-02-21,bmo,3.28,3.3,35970714841.0,35831000000.0,2023-02-21T08:00:00-05:00
HD,2023-05-16,bmo,3.8,3.82,38306300000.0,37257000000.0,2023-05-16T08:00:00-04:00
HD,2023-08-15,bmo,4.45,4.65,42240400000.0,42916000000.0,2023-08-15T08:00:00-04:00
HD,2023-11-14,bmo,3.76,3.81,35664900000.0,37710000000.0,2023-11-14T08:00:00-05:00
HD,2024-02-20,bmo,2.77,2.82,34642562215.0,34786000000.0,2024-02-20T08:00:00-05:00
HD,2024-05-14,bmo,3.6,3.63,36627412170.0,36418000000.0,2024-05-14T08:00:00-04:00
HD,2024-08-13,bmo,4.49,4.6,42572443053.0,43175000000.0,2024-08-13T08:00:00-04:00
HD,2024-11-12,bmo,3.64,3.67,39309485951.0,40217000000.0,2024-11-12T08:00:00-05:00
HD,2025-02-25,bmo,3.04,3.13,39152578802.0,39704000000.0,2025-02-25T08:00:00-05:00
HD,2025-05-20,bmo,3.6,3.56,39299370060.0,39856000000.0,2025-05-20T08:00:00-04:00
HD,2025-08-19,bmo,4.72,4.68,45412387162.0,45277000000.0,2025-08-19T08:00:00-04:00
HD,2025-11-18,bmo,3.83,3.74,41165993827.0,41352000000.0,2025-11-18T08:00:00-05:00
