ticker,earnings_date,announce_timing,eps_est,eps_actual,revenue_est,revenue_actual,event_datetime_et_placeholder
WMT,2021-03-19,bmo,1.51,1.39,164164748344.0,152079000000.0,2021-03-19T08:00:00-04:00
WMT,2021-05-18,bmo,0.41,0.56,125164834710.0,138310000000.0,2021-05-18T08:00:00-04:00
WMT,2021-08-17,bmo,0.52,0.59,135739000000.0,141048000000.0,2021-08-17T08:00:00-04:00
WMT,2021-11-16,bmo,0.46,0.48,151517000000.0,140525000000.0,2021-11-16T08:00:00-05:00
WMT,2022-02-17,bmo,0.5,0.51,151720036005.0,152871000000.0,2022-02-17T08:00:00-05:00
WMT,2022-05-17,bmo,0.49,0.43,138803387682.0,141569000000.0,2022-05-17T08:00:00-04:00
WMT,2022-08-16,bmo,0.53,0.59,150994235054.0,152859000000.0,2022-08-16T08:00:00-04:00
WMT,2022-11-15,bmo,0.44,0.5,147667801623.0,152813000000.0,2022-11-15T08:00:00-05:00
WMT,2023-02-21,bmo,0.51,0.57,159759379565.0,164048000000.0,2023-02-21T08:00:00-05:00
WMT,2023-05-18,bmo,0.44,0.49,148653000000.0,152301000000.0,2023-05-18T08:00:00-04:00
WMT,2023-08-17,bmo,0.56,0.61,160271000000.0,161632000000.0,2023-08-17T08:00:00-04:00
WMT,2023-11-16,bmo,0.51,0.51,149821000000.0,160804000000.0,2023-11-16T08:00:00-05:00
WMT,2024-03-15,bmo,0.526,0.6,159567830323.0,161508000000.0,2024-03-15T08:00:00-04:00
WMT,2024-06-07,bmo,0.525,0.6,159567835801.0,161508000000.0,2024-06-07T08:00:00-04:00
WMT,2024-08-15,bmo,0.65,0.67,168564515191.0,169335000000.0,2024-08-15T08:00:00-04:00
WMT,2024-11-19,bmo,0.53,0.58,167688841190.0,169588000000.0,2024-11-19T08:00:00-05:00
WMT,2025-03-14,bmo,0.646,0.66,180074350487.0,180554000000.0,2025-03-14T08:00:00-04:00
WMT,2025-06-05,bmo,0.575,0.61,165619785126.0,165609000000.0,2025-06-05T08:00:00-04:00
WMT,2025-08-21,bmo,0.733,0.68,175935107465.0,177402000000.0,2025-08-21T08:00:00-04:00
WMT,2025-11-20,bmo,0.601,0.62,177444408069.0,179496000000.0,2025-11-20T08:00:00-05:00
