ticker,earnings_date,announce_timing,pre_date,react_date,d5,d10,d20
COST,2021-03-04,amc,2021-03-04,2021-03-05,2021-03-12,2021-03-19,2021-04-05
COST,2021-05-27,amc,2021-05-27,2021-05-28,2021-06-07,2021-06-14,2021-06-28
COST,2021-09-23,amc,2021-09-23,2021-09-24,2021-10-01,2021-10-08,2021-10-22
COST,2021-12-09,amc,2021-12-09,2021-12-10,2021-12-17,2021-12-27,2022-01-10
COST,2022-03-03,amc,2022-03-03,2022-03-04,2022-03-11,2022-03-18,2022-04-01
COST,2022-05-26,amc,2022-05-26,2022-05-27,2022-06-06,2022-06-13,2022-06-28
COST,2022-09-22,amc,2022-09-22,2022-09-23,2022-09-30,2022-10-07,2022-10-21
COST,2022-12-08,amc,2022-12-08,2022-12-09,2022-12-16,2022-12-23,2023-01-10
COST,2023-03-02,amc,2023-03-02,2023-03-03,2023-03-10,2023-03-17,2023-03-31
COST,2023-05-25,amc,2023-05-25,2023-05-26,2023-06-05,2023-06-12,2023-06-27
COST,2023-09-26,amc,2023-09-26,2023-09-27,2023-10-04,2023-10-11,2023-10-25
COST,2023-12-14,amc,2023-12-14,2023-12-15,2023-12-22,2024-01-02,2024-01-17
COST,2024-03-07,amc,2024-03-07,2024-03-08,2024-03-15,2024-03-22,2024-04-08
COST,2024-05-30,amc,2024-05-30,2024-05-31,2024-06-07,2024-06-14,2024-07-01
COST,2024-09-26,amc,2024-09-26,2024-09-27,2024-10-04,2024-10-11,2024-10-25
COST,2024-12-12,amc,2024-12-12,2024-12-13,2024-12-20,2024-12-30,2025-01-15
COST,2025-03-06,amc,2025-03-06,2025-03-07,2025-03-14,2025-03-21,2025-04-04
COST,2025-05-29,amc,2025-05-29,2025-05-30,2025-06-06,2025-06-13,2025-06-30
COST,2025-09-25,amc,2025-09-25,2025-09-26,2025-10-03,2025-10-10,2025-10-24
COST,2025-12-11,amc,2025-12-11,2025-12-12,2025-12-19,2025-12-29,2025-12-31
