ticker,earnings_date,announce_timing,eps_est,eps_actual,revenue_est,revenue_actual,event_datetime_et_placeholder
ORCL,2021-03-10,amc,1.11,1.16,10067800000.0,10085000000.0,2021-03-10T16:30:00-05:00
ORCL,2021-06-15,amc,1.31,1.54,11049400000.0,11227000000.0,2021-06-15T16:30:00-04:00
ORCL,2021-09-13,amc,0.97,1.03,9499105882.0,9728000000.0,2021-09-13T16:30:00-04:00
ORCL,2021-12-09,amc,1.11,1.21,10509700000.0,10360000000.0,2021-12-09T16:30:00-05:00
ORCL,2022-03-10,amc,1.17,1.13,10505668224.0,10513000000.0,2022-03-10T16:30:00-05:00
ORCL,2022-06-13,amc,1.37,1.54,11609519992.0,11840000000.0,2022-06-13T16:30:00-04:00
ORCL,2022-09-12,amc,1.07,1.03,11330148798.0,11445000000.0,2022-09-12T16:30:00-04:00
ORCL,2022-12-12,amc,1.17,1.21,11959280734.0,12275000000.0,2022-12-12T16:30:00-05:00
ORCL,2023-03-09,amc,1.2,1.22,13756200000.0,12398000000.0,2023-03-09T16:30:00-05:00
ORCL,2023-06-12,amc,1.58,1.67,13730300000.0,13836000000.0,2023-06-12T16:30:00-04:00
ORCL,2023-09-11,amc,1.14,1.19,12460000000.0,12453000000.0,2023-09-11T16:30:00-04:00
ORCL,2023-12-11,amc,1.32,1.34,13048000000.0,12941000000.0,2023-12-11T16:30:00-05:00
ORCL,2024-03-11,amc,1.38,1.41,13286481142.0,13280000000.0,2024-03-11T16:30:00-04:00
ORCL,2024-06-11,amc,1.65,1.63,14562253539.0,14287000000.0,2024-06-11T16:30:00-04:00
ORCL,2024-09-09,amc,1.33,1.39,13233301542.0,13307000000.0,2024-09-09T16:30:00-04:00
ORCL,2024-12-09,amc,1.48,1.47,14117796631.0,14059000000.0,2024-12-09T16:30:00-05:00
ORCL,2025-03-10,amc,1.49,1.47,14375389675.0,14130000000.0,2025-03-10T16:30:00-04:00
ORCL,2025-06-11,amc,1.64,1.7,15581749411.0,15903000000.0,2025-06-11T16:30:00-04:00
ORCL,2025-09-09,amc,1.48,1.47,15039481792.0,14926000000.0,2025-09-09T16:30:00-04:00
ORCL,2025-12-10,amc,1.64,2.26,16192737220.0,16058000000.0,2025-12-10T16:30:00-05:00
