ticker,earnings_date,announce_timing,eps_est,eps_actual,revenue_est,revenue_actual,event_datetime_et_placeholder
LLY,2021-01-29,bmo,2.35,2.75,6173617021.0,7440000000.0,2021-01-29T08:00:00-05:00
LLY,2021-04-27,bmo,2.12,1.87,7636330516.0,6805600000.0,2021-04-27T08:00:00-04:00
LLY,2021-08-03,bmo,1.89,1.87,6740100000.0,6740100000.0,2021-08-03T08:00:00-04:00
LLY,2021-10-26,bmo,1.98,1.94,6570710000.0,6772800000.0,2021-10-26T08:00:00-04:00
LLY,2022-02-03,bmo,2.51,2.49,7687478579.0,7999900000.0,2022-02-03T08:00:00-05:00
LLY,2022-04-28,bmo,2.32,2.62,7287116783.0,7810000000.0,2022-04-28T08:00:00-04:00
LLY,2022-08-04,bmo,1.69,1.25,6848884427.0,6488000000.0,2022-08-04T08:00:00-04:00
LLY,2022-11-01,bmo,1.92,1.98,6887838354.0,6941600000.0,2022-11-01T08:00:00-04:00
LLY,2023-02-02,bmo,1.78,2.09,7332491349.0,7301800000.0,2023-02-02T08:00:00-05:00
LLY,2023-04-27,bmo,1.73,1.62,7550980000.0,6960000000.0,2023-04-27T08:00:00-04:00
LLY,2023-08-08,bmo,1.98,2.11,7582400000.0,8312100000.0,2023-08-08T08:00:00-04:00
LLY,2023-11-02,bmo,-0.08,0.1,8954140000.0,9498600000.0,2023-11-02T08:00:00-04:00
LLY,2024-02-06,bmo,2.22,2.49,8932340000.0,9353400000.0,2024-02-06T08:00:00-05:00
LLY,2024-04-30,bmo,2.46,2.58,8935782453.0,8768000000.0,2024-04-30T08:00:00-04:00
LLY,2024-08-08,bmo,2.6,3.92,9981495293.0,11302800000.0,2024-08-08T08:00:00-04:00
LLY,2024-10-30,bmo,1.47,1.18,12097779593.0,11439100000.0,2024-10-30T08:00:00-04:00
LLY,2025-02-06,bmo,5.03,5.32,,13532800000.0,2025-02-06T08:00:00-05:00
LLY,2025-05-01,bmo,3.26,3.34,12667381362.0,12728500000.0,2025-05-01T08:00:00-04:00
LLY,2025-08-07,bmo,5.6,6.31,14704131561.0,15557700000.0,2025-08-07T08:00:00-04:00
LLY,2025-10-30,bmo,5.69,7.02,16052645133.0,17600800000.0,2025-10-30T08:00:00-04:00
