,abs_corr_with_target
rt_effectiveTaxRate,0.6941725983461959
rt_priceEarningsRatio,0.6234042880377658
km_peRatio,0.6234042880377658
rt_payoutRatio,0.6112066919516012
km_incomeQuality,0.6071970840269572
rt_netProfitMargin,0.48084212283254185
eps_surprise_pct,0.4316022934191349
km_roic,0.3299930534003819
rt_returnOnAssets,0.2758780925241682
revenue_surprise_pct,0.24047899103391568
km_earningsYield,0.21876147916941774
rt_returnOnEquity,0.2014458049516004
km_cashPerShare,0.1954422899101998
rt_enterpriseValueMultiple,0.19284160836245842
km_enterpriseValueOverEBITDA,0.19284160836245842
km_capexToRevenue,0.15033628138798835
km_netDebtToEBITDA,0.11835142520226516
rt_daysOfSalesOutstanding,0.11404631564982631
km_evToSales,0.09803526297374991
km_priceToSalesRatio,0.0970120377160803
rt_receivablesTurnover,0.0926696278146251
rt_priceFairValue,0.08604853939139417
km_pbRatio,0.08604853939139417
km_marketCap,0.08422908801353711
rt_daysOfInventoryOutstanding,0.07937788483216136
km_enterpriseValue,0.07905692317981772
rt_ebitPerRevenue,0.06678334431622528
rt_operatingProfitMargin,0.06678334431622528
rt_operatingCashFlowSalesRatio,0.06451151876283645
km_pocfratio,0.06223443634777323
rt_priceToOperatingCashFlowsRatio,0.06223443634777323
km_revenuePerShare,0.05590330028548037
km_pfcfRatio,0.055510965622600536
rt_priceToFreeCashFlowsRatio,0.055510965622600536
rt_inventoryTurnover,0.055275224622684846
rt_dividendYield,0.04661267292993907
rt_daysOfPayablesOutstanding,0.04212888895650537
km_operatingCashFlowPerShare,0.03568401656047736
km_researchAndDdevelopementToRevenue,0.03567640018189577
rt_interestCoverage,0.03492805784135682
rt_assetTurnover,0.03466902240591288
rt_quickRatio,0.033606867916973635
rt_currentRatio,0.02957321826847543
km_bookValuePerShare,0.026787031271150483
km_freeCashFlowPerShare,0.024336052515608966
km_debtToEquity,0.023304912589963513
rt_debtEquityRatio,0.023304912589963513
rt_debtRatio,0.01755760888287639
rt_grossProfitMargin,0.017261970858662705
km_freeCashFlowYield,0.009324074579306807
rt_returnOnCapitalEmployed,0.006938021546707006
rt_cashRatio,0.006593423944511731
rt_cashConversionCycle,0.0025906646091887605
rt_cashFlowToDebtRatio,0.001966721509837985
