ticker,earnings_date,announce_timing,eps_est,eps_actual,revenue_est,revenue_actual,event_datetime_et_placeholder
COST,2021-03-04,amc,2.45,2.14,50433648979.0,44769000000.0,2021-03-04T16:30:00-05:00
COST,2021-05-27,amc,2.34,2.75,37343850427.0,45277000000.0,2021-05-27T16:30:00-04:00
COST,2021-09-23,amc,3.57,3.9,61405786462.0,62675000000.0,2021-09-23T16:30:00-04:00
COST,2021-12-09,amc,2.64,2.98,49651758591.0,50363000000.0,2021-12-09T16:30:00-05:00
COST,2022-03-03,amc,2.74,2.92,51534264670.0,51904000000.0,2022-03-03T16:30:00-05:00
COST,2022-05-26,amc,3.03,3.17,,52596000000.0,2022-05-26T16:30:00-04:00
COST,2022-09-22,amc,4.17,4.2,70800000000.0,72091000000.0,2022-09-22T16:30:00-04:00
COST,2022-12-08,amc,3.11,3.1,58360000000.0,54437000000.0,2022-12-08T16:30:00-05:00
COST,2023-03-02,amc,3.21,3.3,55572780170.0,55266000000.0,2023-03-02T16:30:00-05:00
COST,2023-05-25,amc,3.29,2.93,78017900000.0,53648000000.0,2023-05-25T16:30:00-04:00
COST,2023-09-26,amc,4.79,4.86,77864600000.0,78939000000.0,2023-09-26T16:30:00-04:00
COST,2023-12-14,amc,3.42,3.58,57681100000.0,57799000000.0,2023-12-14T16:30:00-05:00
COST,2024-03-07,amc,3.62,3.92,59110502545.0,58442000000.0,2024-03-07T16:30:00-05:00
COST,2024-05-30,amc,3.7,3.78,58022711711.0,58515000000.0,2024-05-30T16:30:00-04:00
COST,2024-09-26,amc,5.08,5.29,79911485122.0,79697000000.0,2024-09-26T16:30:00-04:00
COST,2024-12-12,amc,3.79,3.82,62049988057.0,62151000000.0,2024-12-12T16:30:00-05:00
COST,2025-03-06,amc,4.09,4.02,63109884641.0,63723000000.0,2025-03-06T16:30:00-05:00
COST,2025-05-29,amc,4.24,4.28,63129611578.0,63205000000.0,2025-05-29T16:30:00-04:00
COST,2025-09-25,amc,5.8,5.87,86013556706.0,86156000000.0,2025-09-25T16:30:00-04:00
COST,2025-12-11,amc,4.27,4.34,67143234240.0,67307000000.0,2025-12-11T16:30:00-05:00
