period_end,quarter_rank,actual_revenue,actual_ebitda,actual_ebit,actual_netIncome,actual_eps,est_revenue,est_ebitda,est_ebit,est_netIncome,est_eps,surprise_revenue,surprise_revenue_pct,surprise_ebitda,surprise_ebitda_pct,surprise_ebit,surprise_ebit_pct,surprise_netIncome,surprise_netIncome_pct,surprise_eps,surprise_eps_pct
2020-12-31,1,30558000000,17192000000,15065000000,12136000000,3.8,28671549443,11252664121,9072274030,7388137404,2.62353,1886450557,6.5795207920322785,5939335879,52.781597452250125,5992725970,66.05538975325682,4747862596,64.2633228969113,1.1764699999999997,44.8430168513415
2021-03-31,2,33632000000,19767000000,17697000000,14300000000,4.51,30487834303,12757622580,9646984301,8626129031,3.09647,3144165697,10.312853532829042,7009377420,54.942661738469454,8050015699,83.44592929591002,5673870969,65.77540109369598,1.4135299999999997,45.64972371765268
2021-06-30,3,31839000000,17100000000,15097000000,11948000000,3.79,29966634904,14405245161,9482065981,9327148386,3.20002,1872365096,6.248166008623389,2694754839,18.70676138366348,5614934019,59.2163567544363,2620851614,28.09917356878212,0.5899800000000002,18.43675977025144
2021-09-30,4,31061000000,16039000000,14111000000,11687000000,3.74,29785873197,13137380000,9424869221,8804206666,3.00485,1275126803,4.2809784174077175,2901620000,22.086747890370834,4686130779,49.72091038206248,2882793334,32.74336284190992,0.7351500000000004,24.465447526498842
2021-12-31,5,30706000000,14588000000,12657000000,10399000000,3.33,29817982646,14304365448,9435029318,9293458471,3.0115,888017354,2.978126872439927,283634552,1.9828530879687296,3221970682,34.14902671105828,1105541529,11.895910789829363,0.3185000000000002,10.576124854723567
2022-03-31,6,32342000000,11883000000,10063000000,8282000000,2.64,30607875171,11947676579,9684967726,8466728624,2.69536,1734124829,5.665616509841979,-64676579,-0.5413318528698683,378032274,3.903288939054953,-184728624,-2.1818181756335453,-0.055359999999999854,-2.0539000356167585
2022-06-30,7,34227000000,12654000000,10865000000,8649000000,2.77,31867527383,16682694736,10083547861,8922126315,2.89115,2359472617,7.40400279143929,-4028694736,-24.148944758345184,781452139,7.749773688509098,-273126315,-3.0612244812182983,-0.12115000000000009,-4.190374072600871
2022-09-30,8,40795000000,13772000000,12001000000,9737000000,3.13,32056129590,14451118000,10143225519,9684627332,2.89617,8738870410,27.261152615024724,-679118000,-4.699414951839712,1857774481,18.315421238737812,52372668,0.5407814488323153,0.23382999999999976,8.073766388022793
2022-12-31,9,47374000000,14908000000,13237000000,11008000000,3.58,34352586220,15734801992,10869872116,10222804318,3.07509,13021413780,37.905192047575625,-826801992,-5.254606905256059,2367127884,21.776961667430164,785195682,7.68082472846958,0.5049100000000002,16.41935683183257
2023-03-31,10,54641000000,17616000000,15967000000,12622000000,4.11,36124952430,13142444236,11430685614,9313401485,3.4142,18516047570,51.255562497636205,4473555764,34.03899368844923,4536314386,39.68540942499585,3308598515,35.525135691065934,0.6958000000000002,20.379591119442335
2023-06-30,11,58447000000,18093000000,17586000000,14472000000,4.76,38617605477,18350964209,12219412835,9814338946,3.93701,19829394523,51.34806852488577,-257964209,-1.4057256396014586,5366587165,43.91853550956649,4657661054,47.457715487789514,0.8229899999999999,20.90393471187525
2023-09-30,12,61591000000,18752000000,16733000000,13151000000,4.33,39627695572,15896229800,12539026330,10653090064,3.9487,21963304428,55.42412727001656,2855770200,17.965078738355935,4193973670,33.44736313349778,2497909936,23.447750098736048,0.3813,9.656342593765036
2023-12-31,13,61933000000,14663000000,11326000000,9307000000,3.04,39729668369,17308282191,12571292642,11245084749,3.34885,22203331631,55.886023071676746,-2645282191,-15.28333177035616,-1245292642,-9.905844032614002,-1938084749,-17.234950133856035,-0.30885000000000007,-9.222568941576961
2024-03-31,14,66264000000,19297000000,17293000000,13419000000,4.45,41688837366,14456688659,13050436837,10244741633,4.1718,24575162634,58.94902373565032,4840311341,33.481466296824955,4242563163,32.508974343078535,3174258367,30.98426959617206,0.2782,6.668584304137302
2024-06-30,15,67835000000,25437000000,23435000000,18149000000,6.13,42226052217,14648264866,13218608677,16438102868,5.88399,25608947783,60.64726972674458,10788735134,73.65196651407955,10216391323,77.28794741292424,1710897132,10.408117930266744,0.24601000000000006,4.18100642591167
2024-09-30,16,69667000000,18945000000,16978000000,12898000000,4.38,41426533657,14370910981,12968324257,11147226184,3.99013,28240466343,68.16999601468731,4574089019,31.828803511812666,4009675743,30.91899665321578,1750773816,15.705914521703582,0.3898699999999997,9.770859596053254
2024-12-31,17,67007000000,19340000000,17375000000,14005000000,4.82,41949586856,14552358723,13132062878,11438050355,4.09423,25057413144,59.732204824839805,4787641277,32.8994176691998,4242937122,32.30975332221524,2566949645,22.44219570058013,0.7257700000000007,17.726654340376598
2025-03-31,18,68907000000,20438000000,18408000000,14643000000,5.08,43993969886,15261557488,13772044545,12943267978,4.63302,24913030114,56.6282837819734,5176442512,33.918179819262754,4635955455,33.66207130576777,1699732022,13.132170522074313,0.44697999999999993,9.647702794289684
2025-06-30,19,69914000000,20494000000,18284000000,14987000000,5.25,43812377772,15198562980,13715198238,12524380600,4.48308,26101622228,59.5759088078558,5295437020,34.841695408758966,4568801762,33.31196299694345,2462619400,19.66260431274342,0.7669199999999998,17.106988945100237
2025-09-30,20,71903000000,21012000000,18743000000,14393000000,5.09,45467182057,15772616442,14233224649,13537348283,4.84567,26435817943,58.14263551644502,5239383558,33.21822715506062,4509775351,31.68484628194812,855651717,6.320674471192521,0.24432999999999971,5.042233581733789
