date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,netInterestIncome,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebit,nonOperatingIncomeExcludingInterest,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeFromDiscontinuedOperations,otherAdjustmentsToNetIncome,netIncome,netIncomeDeductions,bottomLineNetIncome,eps,epsDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2020-12-31,JPM,USD,0000019617,2021-02-23,2021-02-23 16:17:29,2020,Q4,30558000000,-555000000,31113000000,0,7954000000,725000000,8679000000,7369000000,16048000000,15493000000,13258000000,14550000000,1292000000,2127000000,17192000000,15065000000,0,15065000000,0,15065000000,2929000000,12136000000,0,0,12136000000,0,11698000000,3.8,3.79,3085100000,3085184000
2021-03-31,JPM,USD,0000019617,2021-05-04,2021-05-04 16:17:30,2021,Q1,33632000000,-2790000000,36422000000,0,10601000000,751000000,11352000000,7373000000,18725000000,15935000000,12889000000,14271000000,1382000000,2070000000,19767000000,17697000000,0,17697000000,0,17697000000,3397000000,14300000000,0,0,14300000000,0,13851000000,4.51,4.5,3078000000,3078900000
2021-06-30,JPM,USD,0000019617,2021-08-02,2021-08-02 16:12:31,2021,Q2,31839000000,-925000000,32764000000,0,9814000000,626000000,10440000000,7227000000,17667000000,16742000000,12741000000,14094000000,1353000000,2003000000,17100000000,15097000000,0,15097000000,0,15097000000,3149000000,11948000000,0,0,11948000000,0,11496000000,3.79,3.78,3041270000,3041900000
2021-09-30,JPM,USD,0000019617,2021-11-02,2021-11-02 16:10:39,2021,Q3,31061000000,-113000000,31174000000,0,9087000000,712000000,9799000000,7264000000,17063000000,16950000000,13080000000,14480000000,1400000000,1928000000,16039000000,14111000000,0,14111000000,0,14111000000,2424000000,11687000000,0,0,11687000000,0,11229000000,3.74,3.74,3002406000,3005100000
2021-12-31,JPM,USD,0000019617,2022-02-22,2022-02-22 16:56:31,2021,Q4,30706000000,161000000,30545000000,0,9065000000,947000000,10012000000,7876000000,17888000000,18049000000,13601000000,15019000000,1418000000,1931000000,14588000000,12657000000,0,12657000000,0,12657000000,2258000000,10399000000,0,0,10399000000,0,9927000000,3.33,3.33,2981698000,2981800000
2022-03-31,JPM,USD,0000019617,2022-05-03,2022-05-03 16:13:30,2022,Q1,32342000000,3088000000,29254000000,0,10787000000,920000000,11707000000,7484000000,19191000000,22279000000,13872000000,15496000000,1624000000,1820000000,11883000000,10063000000,0,10063000000,0,10063000000,1781000000,8282000000,0,0,8282000000,0,7845000000,2.64,2.63,2977000000,2981000000
2022-06-30,JPM,USD,0000019617,2022-08-03,2022-08-03 16:13:24,2022,Q2,34227000000,4613000000,29614000000,0,10301000000,881000000,11182000000,7567000000,18749000000,23362000000,15128000000,18646000000,3518000000,1789000000,12654000000,10865000000,0,10865000000,0,10865000000,2216000000,8649000000,0,0,8649000000,0,8195000000,2.77,2.76,2962200000,2966300000
2022-09-30,JPM,USD,0000019617,2022-11-03,2022-11-03 16:13:37,2022,Q3,40795000000,9616000000,31179000000,0,10539000000,1017000000,11556000000,7622000000,19178000000,28794000000,17518000000,25611000000,8093000000,1771000000,13772000000,12001000000,0,12001000000,0,12001000000,2264000000,9737000000,0,0,9737000000,0,9255000000,3.13,3.12,2961200000,2965400000
2022-12-31,JPM,USD,0000019617,2023-02-21,2023-02-21 16:13:55,2022,Q4,47374000000,15115000000,32259000000,0,10009000000,1093000000,11102000000,7920000000,19022000000,34137000000,20192000000,33054000000,12862000000,1671000000,14908000000,13237000000,0,13237000000,0,13237000000,2229000000,11008000000,0,0,11008000000,0,10597000000,3.58,3.57,2962900000,2967100000
2023-03-31,JPM,USD,0000019617,2023-05-03,2023-05-03 16:10:19,2023,Q1,54641000000,18567000000,36074000000,0,11993000000,1045000000,13038000000,7069000000,20107000000,38674000000,20711000000,37004000000,16293000000,1649000000,17616000000,15967000000,0,15967000000,0,15967000000,3345000000,12622000000,0,0,12622000000,0,12193000000,4.11,4.1,2968500000,2972700000
2023-06-30,JPM,USD,0000019617,2023-08-03,2023-08-03 16:41:34,2023,Q2,58447000000,22751000000,35696000000,0,11216000000,1122000000,12338000000,5772000000,18110000000,40861000000,21779000000,41644000000,19865000000,507000000,18093000000,17586000000,0,17586000000,0,17586000000,3114000000,14472000000,0,0,14472000000,0,14011000000,4.76,4.75,2943800000,2948300000
2023-09-30,JPM,USD,0000019617,2023-11-01,2023-11-01 16:29:55,2023,Q3,61591000000,23201000000,38390000000,0,11726000000,1126000000,12852000000,8805000000,21657000000,44858000000,22726000000,44556000000,21830000000,2019000000,18752000000,16733000000,0,16733000000,0,16733000000,3582000000,13151000000,0,0,13151000000,0,12685000000,4.33,4.33,2927500000,2932100000
2023-12-31,JPM,USD,0000019617,2024-02-16,2024-02-16 16:20:22,2023,Q4,61933000000,26084000000,35849000000,0,11847000000,1298000000,13145000000,11378000000,24523000000,50607000000,24051000000,47384000000,23333000000,3337000000,14663000000,11326000000,0,11326000000,0,11326000000,2019000000,9307000000,0,0,9307000000,0,8871000000,3.04,3.04,2914400000,2919100000
2024-03-31,JPM,USD,0000019617,2024-05-01,2024-05-01 16:18:10,2024,Q1,66264000000,26214000000,40050000000,0,13366000000,1160000000,14526000000,8231000000,22757000000,48971000000,23082000000,47438000000,24356000000,2004000000,19297000000,17293000000,0,17293000000,0,17293000000,3874000000,13419000000,0,0,13419000000,0,12942000000,4.45,4.44,2908300000,2912800000
2024-06-30,JPM,USD,0000019617,2024-08-02,2024-08-02 16:18:48,2024,Q2,67835000000,28796000000,39039000000,0,12953000000,1221000000,14174000000,1430000000,15604000000,44400000000,22746000000,48513000000,25767000000,2002000000,25437000000,23435000000,0,23435000000,0,23435000000,5286000000,18149000000,0,0,18149000000,0,17718000000,6.13,6.12,2889800000,2894900000
2024-09-30,JPM,USD,0000019617,2024-10-30,2024-10-30 16:18:49,2024,Q3,69667000000,30124000000,39543000000,0,12817000000,1258000000,14075000000,8490000000,22565000000,52689000000,23405000000,50416000000,27011000000,1967000000,18945000000,16978000000,0,16978000000,0,16978000000,4080000000,12898000000,0,0,12898000000,0,12537000000,4.38,4.37,2860600000,2865900000
2024-12-31,JPM,USD,0000019617,2025-02-14,2025-02-14 16:17:07,2024,Q4,67007000000,26870000000,40137000000,0,12469000000,1335000000,13804000000,8958000000,22762000000,49632000000,23350000000,47566000000,24216000000,1965000000,19340000000,17375000000,0,17375000000,0,17375000000,3370000000,14005000000,0,0,14005000000,0,13669000000,4.82,4.81,2836900000,2842400000
2025-03-31,JPM,USD,0000019617,2025-05-01,2025-05-01 16:16:56,2025,Q1,68907000000,26902000000,42005000000,0,14427000000,1304000000,15731000000,7866000000,23597000000,50499000000,23273000000,46853000000,23580000000,2030000000,20438000000,18408000000,0,18408000000,0,18408000000,3765000000,14643000000,0,0,14643000000,0,14317000000,5.08,5.07,2819400000,2824300000
2025-06-30,JPM,USD,0000019617,2025-08-05,2025-08-05 16:18:22,2025,Q2,69914000000,27891000000,42023000000,0,13710000000,1279000000,14989000000,8750000000,23739000000,51630000000,23209000000,48241000000,25032000000,2210000000,20494000000,18284000000,0,18284000000,0,18284000000,3297000000,14987000000,0,0,14987000000,0,14630000000,5.25,5.24,2788700000,2793700000
2025-09-30,JPM,USD,0000019617,2025-11-04,2025-11-04 16:18:08,2025,Q3,71903000000,28879000000,43024000000,0,13566000000,1480000000,15046000000,9235000000,24281000000,53160000000,23966000000,49439000000,25473000000,2269000000,21012000000,18743000000,0,18743000000,0,18743000000,4350000000,14393000000,0,0,14393000000,0,14043000000,5.09,5.07,2788700000,2793700000
