,abs_corr_with_target
km_earningsYield,0.45480971651820584
rt_netProfitMargin,0.4435876229651088
rt_operatingProfitMargin,0.4394725606744609
rt_ebitPerRevenue,0.4394725606744609
rt_returnOnAssets,0.4143628979678933
km_roic,0.3755370850081141
rt_interestCoverage,0.37443674969066554
km_evToSales,0.3669406930358467
km_priceToSalesRatio,0.3630919351128129
rt_returnOnCapitalEmployed,0.3620155086249185
rt_daysOfPayablesOutstanding,0.3611275472319908
rt_cashConversionCycle,0.3592902159993911
km_marketCap,0.3554631716961058
km_netDebtToEBITDA,0.3535904434447091
km_enterpriseValue,0.35006535082345336
rt_enterpriseValueMultiple,0.3477669219133118
km_enterpriseValueOverEBITDA,0.3477669219133118
km_incomeQuality,0.3473270125480396
eps_surprise_pct,0.3472254240121124
km_cashPerShare,0.3098040343512773
rt_currentRatio,0.28710459376284486
rt_quickRatio,0.28685317042077113
rt_dividendYield,0.25184787959106403
rt_daysOfInventoryOutstanding,0.24945573254345807
rt_inventoryTurnover,0.24945573254345804
km_freeCashFlowPerShare,0.24769307311393854
km_freeCashFlowYield,0.238656120277824
rt_payoutRatio,0.231239354665131
rt_grossProfitMargin,0.23054465250770492
rt_daysOfSalesOutstanding,0.21992784165679855
km_revenuePerShare,0.21739422173086806
rt_operatingCashFlowSalesRatio,0.21584399129031626
rt_priceFairValue,0.21299804043254192
km_pbRatio,0.21299804043254192
rt_effectiveTaxRate,0.20964196977585597
rt_debtEquityRatio,0.19975261808337832
km_debtToEquity,0.19975261808337832
rt_cashFlowToDebtRatio,0.19599520264064
km_capexToRevenue,0.19295965552671496
rt_receivablesTurnover,0.18144663575458125
rt_assetTurnover,0.1783615194361797
revenue_surprise_pct,0.17807902806527792
rt_returnOnEquity,0.1712576197131
rt_cashRatio,0.16364336389874726
km_researchAndDdevelopementToRevenue,0.15197516099680175
km_operatingCashFlowPerShare,0.11508587462049918
rt_priceEarningsRatio,0.08364069264448724
km_peRatio,0.08364069264448724
rt_debtRatio,0.03397683607591208
km_bookValuePerShare,0.033231832142070906
rt_priceToOperatingCashFlowsRatio,0.028634410435110117
km_pocfratio,0.028634410435110117
rt_priceToFreeCashFlowsRatio,0.0225696155505324
km_pfcfRatio,0.0225696155505324
