ticker,earnings_date,announce_timing,pre_close_date,day0_date,dt_m5,dt_m1,dt_p1,dt_p5,dt_p10,path_start,path_end,pre_bdays,post_bdays
AAPL,2021-01-27,amc,2021-01-27,2021-01-28,2021-01-21,2021-01-27,2021-01-29,2021-02-04,2021-02-11,2021-01-21,2021-02-11,5,10
AAPL,2021-04-28,amc,2021-04-28,2021-04-29,2021-04-22,2021-04-28,2021-04-30,2021-05-06,2021-05-13,2021-04-22,2021-05-13,5,10
AAPL,2021-07-27,amc,2021-07-27,2021-07-28,2021-07-21,2021-07-27,2021-07-29,2021-08-04,2021-08-11,2021-07-21,2021-08-11,5,10
AAPL,2021-10-28,amc,2021-10-28,2021-10-29,2021-10-22,2021-10-28,2021-11-01,2021-11-05,2021-11-12,2021-10-22,2021-11-12,5,10
AAPL,2022-01-27,amc,2022-01-27,2022-01-28,2022-01-21,2022-01-27,2022-01-31,2022-02-04,2022-02-11,2022-01-21,2022-02-11,5,10
AAPL,2022-04-28,amc,2022-04-28,2022-04-29,2022-04-22,2022-04-28,2022-05-02,2022-05-06,2022-05-13,2022-04-22,2022-05-13,5,10
AAPL,2022-07-28,amc,2022-07-28,2022-07-29,2022-07-22,2022-07-28,2022-08-01,2022-08-05,2022-08-12,2022-07-22,2022-08-12,5,10
AAPL,2022-10-27,amc,2022-10-27,2022-10-28,2022-10-21,2022-10-27,2022-10-31,2022-11-04,2022-11-11,2022-10-21,2022-11-11,5,10
AAPL,2023-02-02,amc,2023-02-02,2023-02-03,2023-01-27,2023-02-02,2023-02-06,2023-02-10,2023-02-17,2023-01-27,2023-02-17,5,10
AAPL,2023-05-04,amc,2023-05-04,2023-05-05,2023-04-28,2023-05-04,2023-05-08,2023-05-12,2023-05-19,2023-04-28,2023-05-19,5,10
AAPL,2023-08-03,amc,2023-08-03,2023-08-04,2023-07-28,2023-08-03,2023-08-07,2023-08-11,2023-08-18,2023-07-28,2023-08-18,5,10
AAPL,2023-11-02,amc,2023-11-02,2023-11-03,2023-10-27,2023-11-02,2023-11-06,2023-11-10,2023-11-17,2023-10-27,2023-11-17,5,10
AAPL,2024-02-01,amc,2024-02-01,2024-02-02,2024-01-26,2024-02-01,2024-02-05,2024-02-09,2024-02-16,2024-01-26,2024-02-16,5,10
AAPL,2024-05-02,amc,2024-05-02,2024-05-03,2024-04-26,2024-05-02,2024-05-06,2024-05-10,2024-05-17,2024-04-26,2024-05-17,5,10
AAPL,2024-08-01,amc,2024-08-01,2024-08-02,2024-07-26,2024-08-01,2024-08-05,2024-08-09,2024-08-16,2024-07-26,2024-08-16,5,10
AAPL,2024-10-31,amc,2024-10-31,2024-11-01,2024-10-25,2024-10-31,2024-11-04,2024-11-08,2024-11-15,2024-10-25,2024-11-15,5,10
AAPL,2025-01-30,amc,2025-01-30,2025-01-31,2025-01-24,2025-01-30,2025-02-03,2025-02-07,2025-02-14,2025-01-24,2025-02-14,5,10
AAPL,2025-05-01,amc,2025-05-01,2025-05-02,2025-04-25,2025-05-01,2025-05-05,2025-05-09,2025-05-16,2025-04-25,2025-05-16,5,10
AAPL,2025-07-31,amc,2025-07-31,2025-08-01,2025-07-25,2025-07-31,2025-08-04,2025-08-08,2025-08-15,2025-07-25,2025-08-15,5,10
AAPL,2025-10-30,amc,2025-10-30,2025-10-31,2025-10-24,2025-10-30,2025-11-03,2025-11-07,2025-11-14,2025-10-24,2025-11-14,5,10
