ticker,earnings_date,day0_date,tr_lm_constr_prop__all__all,tr_lm_constr_prop__prepared__all,tr_lm_constr_prop__qa__all,tr_lm_lit_prop__all__all,tr_lm_lit_prop__prepared__all,tr_lm_lit_prop__qa__all,tr_lm_neg_prop__all__all,tr_lm_neg_prop__prepared__all,tr_lm_neg_prop__qa__all,tr_lm_pos_prop__all__all,tr_lm_pos_prop__prepared__all,tr_lm_pos_prop__qa__all,tr_lm_tone__all__all,tr_lm_tone__prepared__all,tr_lm_tone__qa__all,tr_lm_unc_prop__all__all,tr_lm_unc_prop__prepared__all,tr_lm_unc_prop__qa__all,tr_n_tokens__all__all,tr_n_tokens__prepared__all,tr_n_tokens__qa__all
AAPL,2021-01-27,2021-01-28,0.0033810143042912874,0.00398406374501992,0.0028735632183908046,0.0005201560468140442,0.0011383039271485487,0.0,0.013784135240572171,0.01195219123505976,0.01532567049808429,0.03537061118335501,0.03699487763232783,0.034003831417624523,0.021586475942782835,0.02504268639726807,0.01867816091954023,0.018985695708712613,0.01309049516220831,0.023946360153256706,7690.0,3514.0,4176.0
AAPL,2021-04-28,2021-04-29,0.005430566330488751,0.0038188761593016913,0.00688298918387414,0.0007757951900698216,0.0,0.0014749262536873156,0.012929919834497027,0.004909983633387889,0.02015732546705998,0.03594517713990173,0.040370976541189305,0.0319567354965585,0.023015257305404706,0.03546099290780142,0.011799410029498525,0.014998707008016551,0.01309328968903437,0.01671583087512291,7734.0,3666.0,4068.0
AAPL,2021-07-27,2021-07-28,0.005744125326370757,0.004464285714285714,0.0068694798822374874,0.0013054830287206266,0.0005580357142857143,0.001962708537782139,0.013315926892950391,0.006696428571428571,0.019136408243375858,0.048302872062663184,0.053013392857142856,0.04416094210009813,0.03498694516971279,0.04631696428571429,0.025024533856722278,0.01723237597911227,0.011160714285714286,0.022571148184494603,7660.0,3584.0,4076.0
AAPL,2021-10-28,2021-10-29,0.0072501294665976174,0.007518796992481203,0.007,0.0018125323666494044,0.0010741138560687433,0.0025,0.013464526152252718,0.00644468313641246,0.02,0.03158984981874676,0.045112781954887216,0.019,0.018125323666494046,0.03866809881847476,-0.001,0.01605385810460901,0.00966702470461869,0.022,7724.0,3724.0,4000.0
AAPL,2022-01-27,2022-01-28,0.008245663918112028,0.00813953488372093,0.008347245409015025,0.0014216661927779358,0.002325581395348837,0.0005564830272676684,0.014216661927779357,0.009883720930232558,0.018363939899833055,0.03895365368211544,0.045930232558139536,0.032276015581524764,0.024736991754336083,0.03604651162790698,0.013912075681691708,0.018197327267557576,0.011046511627906977,0.025041736227045076,7034.0,3440.0,3594.0
AAPL,2022-04-28,2022-04-29,0.010793308148947653,0.009334889148191364,0.012048192771084338,0.0013491635186184566,0.001750291715285881,0.001004016064257028,0.019158121964382085,0.012252042007001166,0.025100401606425703,0.03507825148407987,0.046674445740956826,0.025100401606425703,0.015920129519697786,0.03442240373395566,0.0,0.0186184565569347,0.014002333722287048,0.022590361445783132,7412.0,3428.0,3984.0
AAPL,2022-07-28,2022-07-29,0.0073911853271283875,0.009140767824497258,0.005964214711729622,0.001368738023542294,0.0018281535648994515,0.0009940357852882703,0.020804817957842867,0.015843997562461912,0.02485089463220676,0.031207226936764303,0.04753199268738574,0.017892644135188866,0.010402408978921434,0.031687995124923825,-0.006958250497017893,0.02053107035313441,0.014015843997562462,0.02584493041749503,7306.0,3282.0,4024.0
AAPL,2022-10-27,2022-10-28,0.002903140670361573,0.0014655593551538837,0.004592422502870264,0.001583531274742676,0.0019540791402051783,0.001148105625717566,0.01609923462655054,0.013190034196384953,0.01951779563719862,0.04196357878068092,0.04689789936492428,0.03616532721010333,0.025864344154130376,0.033707865168539325,0.016647531572904706,0.01689100026392188,0.008793356130923302,0.02640642939150402,7578.0,4094.0,3484.0
AAPL,2023-02-02,2023-02-03,0.003886729594669628,0.0056036678553234845,0.0018303843807199512,0.000832870627429206,0.0010188487009679063,0.0006101281269066504,0.01804553026096613,0.015792154865002548,0.020744356314826115,0.03331482509716824,0.039735099337748346,0.025625381330079317,0.01526929483620211,0.023942944472745798,0.004881025015253203,0.011660188784008884,0.009169638308711156,0.01464307504575961,7204.0,3926.0,3278.0
AAPL,2023-05-04,2023-05-05,0.0018587360594795538,0.002244668911335578,0.0015120967741935483,0.0002655337227827934,0.0005611672278338945,0.0,0.016728624535315983,0.010662177328843996,0.02217741935483871,0.035847052575677114,0.03872053872053872,0.03326612903225806,0.019118428040361127,0.028058361391694726,0.011088709677419355,0.016994158258098777,0.010101010101010102,0.023185483870967742,7532.0,3564.0,3968.0
