ticker,event_idx,event_date,next_event_date,pre_date,post1_date,drift_start_date,drift_end_date,est_start_date,est_end_date,pre_price,post1_price,drift_start_price,drift_end_price,reaction_ret_pct,est_n_days,est_mean,est_vol,est_skew,est_kurt,alpha_mm,beta_mm,r2_mm,resid_vol_mm,drift_n_days,drift_ret_pct,drift_mkt_ret_pct,drift_abret_simple_pct,drift_car_mm_pct,event_date_dt,sur_period_end,sur_quarter_rank,sur_actual_revenue,sur_actual_ebitda,sur_actual_ebit,sur_actual_netIncome,sur_actual_eps,sur_est_revenue,sur_est_ebitda,sur_est_ebit,sur_est_netIncome,sur_est_eps,sur_surprise_revenue,sur_surprise_revenue_pct,sur_surprise_ebitda,sur_surprise_ebitda_pct,sur_surprise_ebit,sur_surprise_ebit_pct,sur_surprise_netIncome,sur_surprise_netIncome_pct,sur_surprise_eps,sur_surprise_eps_pct,sur_period_end_dt,inc_date,inc_symbol,inc_reportedCurrency,inc_cik,inc_filingDate,inc_acceptedDate,inc_fiscalYear,inc_period,inc_revenue,inc_costOfRevenue,inc_grossProfit,inc_researchAndDevelopmentExpenses,inc_generalAndAdministrativeExpenses,inc_sellingAndMarketingExpenses,inc_sellingGeneralAndAdministrativeExpenses,inc_otherExpenses,inc_operatingExpenses,inc_costAndExpenses,inc_netInterestIncome,inc_interestIncome,inc_interestExpense,inc_depreciationAndAmortization,inc_ebitda,inc_ebit,inc_nonOperatingIncomeExcludingInterest,inc_operatingIncome,inc_totalOtherIncomeExpensesNet,inc_incomeBeforeTax,inc_incomeTaxExpense,inc_netIncomeFromContinuingOperations,inc_netIncomeFromDiscontinuedOperations,inc_otherAdjustmentsToNetIncome,inc_netIncome,inc_netIncomeDeductions,inc_bottomLineNetIncome,inc_eps,inc_epsDiluted,inc_weightedAverageShsOut,inc_weightedAverageShsOutDil,inc_period_end_dt,inc_period_end,gro_symbol,gro_date,gro_fiscalYear,gro_period,gro_reportedCurrency,gro_growthRevenue,gro_growthCostOfRevenue,gro_growthGrossProfit,gro_growthGrossProfitRatio,gro_growthResearchAndDevelopmentExpenses,gro_growthGeneralAndAdministrativeExpenses,gro_growthSellingAndMarketingExpenses,gro_growthOtherExpenses,gro_growthOperatingExpenses,gro_growthCostAndExpenses,gro_growthInterestIncome,gro_growthInterestExpense,gro_growthDepreciationAndAmortization,gro_growthEBITDA,gro_growthOperatingIncome,gro_growthIncomeBeforeTax,gro_growthIncomeTaxExpense,gro_growthNetIncome,gro_growthEPS,gro_growthEPSDiluted,gro_growthWeightedAverageShsOut,gro_growthWeightedAverageShsOutDil,gro_growthEBIT,gro_growthNonOperatingIncomeExcludingInterest,gro_growthNetInterestIncome,gro_growthTotalOtherIncomeExpensesNet,gro_growthNetIncomeFromContinuingOperations,gro_growthOtherAdjustmentsToNetIncome,gro_growthNetIncomeDeductions,gro_period_end_dt,gro_period_end,est_date_x,est_symbol,est_estimate_date_raw,est_revenueLow,est_revenueHigh,est_revenueAvg,est_ebitdaLow,est_ebitdaHigh,est_ebitdaAvg,est_ebitLow,est_ebitHigh,est_ebitAvg,est_netIncomeLow,est_netIncomeHigh,est_netIncomeAvg,est_sgaExpenseLow,est_sgaExpenseHigh,est_sgaExpenseAvg,est_epsAvg,est_epsHigh,est_epsLow,est_numAnalystsRevenue,est_numAnalystsEps,est_period_end_dt,est_period_end
AAPL,1,2021-01-27,2021-04-28,2021-01-26,2021-01-28,2021-01-29,2021-04-26,,,139.3594207763672,133.45054626464844,128.45677185058594,131.3394775390625,-4.240025165719397,0,,,,,,,,,59,2.244105660563833,12.745006466942211,-10.500900806378375,,2021-01-27,2020-12-26,1,111439000000,36883000000,34217000000,28755000000,1.7,103266489504,29820297871,27112595744,23248723404,1.41599,8172510496,7.914000500310839,7062702129,23.684210531875408,7104404256,26.203334874611556,5506276596,23.6842105276741,0.2840099999999999,20.05734503774743,2020-12-26,2020-12-26,AAPL,USD,320193,2021-01-28,2021-01-27 18:03:06,2021,Q1,111439000000,67111000000,44328000000,5163000000,0,0,5631000000,0,10794000000,77905000000,109000000,747000000,638000000,2666000000,36883000000,34217000000,-683000000,33534000000,45000000,33579000000,4824000000,28755000000,0,0,28755000000,0,28755000000,1.7,1.68,16935119000,17113688000,2020-12-26,2020-12-26,AAPL,2020-12-26,2021,Q1,USD,0.7224489165043742,0.6773975855432528,0.7954554659970027,0.042385320685481,0.0371635194857372,0,0,0.0,0.0887633649384708,0.5605031748893295,-0.02734375,0.0063091482649842,-0.0133234641006661,1.0224269342545376,1.269644670050761,1.253472921280451,1.1651705565529622,1.2689970804071649,1.2972972972972974,1.3013698630136985,-0.0071817161852924,-0.0082770449501379,1.202574831026714,0.1013157894736842,-0.1865671641791045,-0.6428571428571429,1.2689970804071649,0,0,2020-12-26,2020-12-26,2020-12-26,AAPL,2020-12-26,100019410563,106268315723,103266489504,23856238297,35784357446,29820297871,21690076595,32535114893,27112595744,18598978723,27898468085,23248723404,3642178723,5463268085,4552723404,1.41599,1.4695,1.35811,7,6,2020-12-26,2020-12-26
AAPL,2,2021-04-28,2021-07-27,2021-04-27,2021-04-29,2021-04-30,2021-07-23,,,131.01776123046875,130.13052368164062,128.16127014160156,145.07815551757812,-0.6771887570780732,0,,,,,,,,,58,13.199686112103604,5.5156839233187815,7.684002188784822,,2021-04-28,2021-03-27,2,89584000000,31478000000,28681000000,23630000000,1.41,77088700724,20285822221,17724155555,15228222221,0.9864,12495299276,16.208989331311745,11192177779,55.1724138024526,10956844445,61.8187106911791,8401777779,55.17241380555764,0.4235999999999998,42.944038929440374,2021-03-27,2021-03-27,AAPL,USD,320193,2021-04-29,2021-04-28 18:02:54,2021,Q2,89584000000,51505000000,38079000000,5262000000,0,0,5314000000,0,10576000000,62081000000,48000000,718000000,670000000,2797000000,31478000000,28681000000,-1178000000,27503000000,508000000,28011000000,4381000000,23630000000,0,0,23630000000,0,23630000000,1.41,1.4,16753476000,16929157000,2021-03-27,2021-03-27,AAPL,2021-03-27,2021,Q2,USD,-0.1961162609140426,-0.2325401200995366,-0.1409718462371413,0.068597499737974,0.0191748983149331,0,0,0.0,-0.0201964054104131,-0.2031191836210769,-0.038821954484605,0.0501567398119122,0.0491372843210802,-0.1465444784860233,-0.1798473191387845,-0.1658179219154829,-0.0918325041459369,-0.1782298730655538,-0.1705882352941176,-0.1666666666666666,-0.0107258177518563,-0.0107826553808857,-0.1617909226407926,-0.7247437774524158,-0.5596330275229358,10.28888888888889,-0.1782298730655538,0,0,2021-03-27,2021-03-27,2021-03-27,AAPL,2021-03-26,74664747920,79329571738,77088700724,16228657776,24342986666,20285822221,14179324444,21268986666,17724155555,12182577777,18273866666,15228222221,2739662222,4109493333,3424577777,0.9864,1.02368,0.94608,7,6,2021-03-27,2021-03-27
AAPL,3,2021-07-27,2021-10-28,2021-07-26,2021-07-28,2021-07-29,2021-10-26,,,145.49807739257812,141.5821075439453,142.2266387939453,146.03884887695312,-2.6914237760454207,0,,,,,,,,,62,2.6803769781347686,3.5219474369087234,-0.8415704587739548,,2021-07-27,2021-06-26,3,81434000000,27866000000,25034000000,21744000000,1.31,73334747261,19506200000,16888199999,15220799999,1.01066,8099252739,11.044222611383086,8359800000,42.857142857142854,8145800001,48.23367796143068,6523200001,42.857142866528505,0.2993400000000001,29.61826924979718,2021-06-26,2021-06-26,AAPL,USD,320193,2021-07-28,2021-07-27 18:03:42,2021,Q3,81434000000,46179000000,35255000000,5717000000,0,0,5412000000,0,11129000000,57308000000,54000000,719000000,665000000,2832000000,27866000000,25034000000,-908000000,24126000000,243000000,24369000000,2625000000,21744000000,0,0,21744000000,0,21744000000,1.31,1.3,16629371000,16781735000,2021-06-26,2021-06-26,AAPL,2021-06-26,2021,Q3,USD,-0.090976067154849,-0.1034074361712455,-0.0741616113868536,0.0184972640439668,0.0864690231851007,0,0,0.0,0.0522881996974281,-0.0768834264911969,0.0013927576601671,-0.0074626865671641,0.0125134072220235,-0.1147468072939831,-0.1227866050976257,-0.1300203491485488,-0.4008217301985848,-0.0798137960220059,-0.0709219858156027,-0.0714285714285713,-0.0074077164643325,-0.0087081713519462,-0.1271573515567797,0.2292020373514431,0.125,-0.5216535433070866,-0.0798137960220059,0,0,2021-06-26,2021-06-26,2021-06-26,AAPL,2021-06-26,71028832587,75466495596,73334747261,15604960000,23407440000,19506200000,13510560000,20265839999,16888199999,12176640000,18264959999,15220799999,3030720000,4546079999,3788399999,1.01066,1.01094,1.01038,8,9,2021-06-26,2021-06-26
AAPL,4,2021-10-28,2022-01-27,2021-10-27,2021-10-29,2021-11-01,2022-01-25,,,145.57916259765625,146.50828552246094,145.686767578125,156.49708557128906,0.6382252159071289,0,,,,,,,,,58,7.42024699488717,-5.575165343817345,12.995412338704517,,2021-10-28,2021-09-25,4,83360000000,26909000000,23920000000,20551000000,1.25,85054907222,26909000000,23786000000,20551000000,1.23878,-1694907222,-1.992721263661083,0,0.0,134000000,0.5633565963171614,0,0.0,0.01122,0.905729830962722,2021-09-25,2021-09-25,AAPL,USD,320193,2021-10-29,2021-10-28 18:04:28,2021,Q4,83360000000,48186000000,35174000000,5772000000,0,0,5616000000,0,11388000000,59574000000,-13000000,659000000,672000000,2989000000,26909000000,23920000000,-134000000,23786000000,-538000000,23248000000,2697000000,20551000000,0,0,20551000000,0,20551000000,1.25,1.24,16487121000,16635097000,2021-09-25,2021-09-25,AAPL,2021-09-25,2021,Q4,USD,0.0236510548419579,0.0434613135840966,-0.0022975464473124,-0.0253490691046856,0.0096204302956095,0,0,0.0,0.0232725312247281,0.0395407272981084,-0.0834492350486787,0.0105263157894736,0.0554378531073446,-0.034342926864279,-0.0140926800961618,-0.0460010669292954,0.0274285714285714,-0.0548657100809418,-0.0458015267175572,-0.0461538461538461,-0.0085541419455973,-0.0087379523035013,-0.0444994807062395,0.8524229074889867,-1.2407407407407407,-3.213991769547325,-0.0548657100809418,0,0,2021-09-25,2021-09-25,2021-09-25,AAPL,2021-09-26,82380467533,87527345781,85054907222,21527200000,32290800000,26909000000,19028800000,28543200000,23786000000,16440800000,24661200000,20551000000,4492800000,6739200000,5616000000,1.23878,1.24205,1.23551,8,9,2021-09-25,2021-09-25
AAPL,5,2022-01-27,2022-04-28,2022-01-26,2022-01-28,2022-01-31,2022-04-26,2021-01-15,2022-01-11,156.408935546875,166.83029174804688,171.1888885498047,153.77395629882812,6.6628905597587496,249,0.0014316877703529,0.0156029504584768,-0.0684590758412854,0.4212683521960163,0.0002142305965683,1.3048336451768452,0.478645567724289,0.0112660912519278,59,-10.172933768367775,-7.537279491894655,-2.635654276473121,-1.564586971468132,2022-01-27,2021-12-25,5,123945000000,44632000000,41935000000,34630000000,2.11,119002502550,39672888888,36878222221,30782222221,1.89912,4942497450,4.153271859071505,4959111112,12.500000002520617,5056777779,13.712097477737036,3847777779,12.500000004466862,0.2108799999999999,11.104090315514553,2021-12-25,2021-12-25,AAPL,USD,320193,2022-01-28,2022-01-27 18:00:58,2022,Q1,123945000000,69702000000,54243000000,6306000000,0,0,6449000000,0,12755000000,82457000000,-44000000,650000000,694000000,2697000000,44632000000,41935000000,-447000000,41488000000,-247000000,41241000000,6611000000,34630000000,0,0,34630000000,0,34630000000,2.11,2.1,16391724000,16519291000,2021-12-25,2021-12-25,AAPL,2021-12-25,2022,Q1,USD,0.4868642034548944,0.4465197360229112,0.5421333939841929,0.0371716466746086,0.0925155925155925,0,0,0.0,0.1200386371619248,0.3841105180112129,-0.0136570561456752,0.0327380952380952,-0.0976915356306457,0.6586272250919767,0.7442192886571933,0.773959050240881,1.4512421208750463,0.6850761520120675,0.688,0.6935483870967742,-0.0057861527188403,-0.0069615464220016,0.7531354515050167,-2.3358208955223883,-2.3846153846153846,0.5408921933085502,0.6850761520120675,0,0,2021-12-25,2021-12-25,2021-12-25,AAPL,2021-12-26,115260625375,122461754762,119002502550,31738311111,47607466665,39672888888,29502577777,44253866666,36878222221,24625777777,36938666666,30782222221,4585955555,6878933333,5732444444,1.89912,1.90291,1.89533,12,9,2021-12-25,2021-12-25
AAPL,6,2022-04-28,2022-07-28,2022-04-27,2022-04-29,2022-05-02,2022-07-26,2021-04-19,2022-04-12,153.54844665527344,154.6075439453125,154.91162109375,148.8927764892578,0.6897479675693541,249,0.0010155386385164,0.0153162947555714,0.2634416575784767,0.9643866338793295,0.0006839431106373,1.2511703004260772,0.6053811357052262,0.0096214967333821,58,-3.8853409201945466,-5.639191616477978,1.7538506962834322,0.045684807416451,2022-04-28,2022-03-26,6,97278000000,33567000000,30830000000,25010000000,1.54,94033796672,31454391608,28092209790,23435944055,1.42404,3244203328,3.4500397121219413,2112608392,6.716417911776384,2737790210,9.7457274826937,1574055945,6.716417914746555,0.11596,8.143029690177245,2022-03-26,2022-03-26,AAPL,USD,320193,2022-04-29,2022-04-28 18:03:58,2022,Q2,97278000000,54719000000,42559000000,6387000000,0,0,6193000000,0,12580000000,67299000000,9000000,700000000,691000000,2737000000,33567000000,30830000000,-851000000,29979000000,160000000,30139000000,5129000000,25010000000,0,0,25010000000,0,25010000000,1.54,1.52,16278802000,16403316000,2022-03-26,2022-03-26,AAPL,2022-03-26,2022,Q2,USD,-0.2151518818830933,-0.2149579639034748,-0.2154010655752816,-0.0003174930132766,0.0128449096098953,0,0,0.0,-0.013720109760878,-0.183829147313145,0.0769230769230769,-0.0043227665706051,0.0148312940304041,-0.2479162932425165,-0.2774055148476668,-0.2691981280764288,-0.2241718348207532,-0.2777938203869477,-0.2701421800947867,-0.2761904761904762,-0.006888964211452,-0.0070205797573273,-0.2648145940145463,-0.9038031319910514,1.2045454545454546,1.6477732793522266,-0.2777938203869477,0,0,2022-03-26,2022-03-26,2022-03-26,AAPL,2022-03-26,91077027613,96767240189,94033796672,25163513285,37745269930,31454391608,22473767832,33710651748,28092209790,18748755244,28123132867,23435944055,4642584615,6963876923,5803230769,1.42404,1.4263,1.42178,7,10,2022-03-26,2022-03-26
AAPL,7,2022-07-28,2022-10-27,2022-07-27,2022-07-29,2022-08-01,2022-10-25,2021-07-16,2022-07-13,153.99005126953125,159.60792541503906,158.62579345703125,149.82736206054688,3.6482059062859618,249,0.0001758729862148,0.0188756211612104,-0.1197328110380714,0.6440520923968318,0.0007381697407575,1.2769304536809094,0.7263627226520828,0.0098739035957816,60,-5.546658714660868,-6.301119128806154,0.754460414145286,-1.4770450892827551,2022-07-28,2022-06-25,7,82959000000,26590000000,23785000000,19442000000,1.2,82791243730,25673103447,22280275861,18771586206,1.1635,167756270,0.2026256188964731,916896553,3.571428576575704,1504724139,6.753615387832383,670413794,3.5714285763752573,0.0364999999999999,3.137086377309839,2022-06-25,2022-06-25,AAPL,USD,320193,2022-07-29,2022-07-28 18:06:56,2022,Q3,82959000000,47074000000,35885000000,6797000000,0,0,6012000000,0,12809000000,59883000000,3000000,722000000,719000000,2805000000,26590000000,23785000000,-709000000,23076000000,-10000000,23066000000,3624000000,19442000000,0,0,19442000000,0,19442000000,1.2,1.2,16162945000,16262203000,2022-06-25,2022-06-25,AAPL,2022-06-25,2022,Q3,USD,-0.1471966940109788,-0.1397138105594035,-0.1568175943983646,-0.0112814998782339,0.0641928918114921,0,0,0.0,0.0182034976152623,-0.1101948023001827,0.0314285714285714,0.0405209840810419,0.0248447204968944,-0.2078529508147883,-0.2302611828279795,-0.2346793191545837,-0.2934295184246441,-0.2226309476209516,-0.2207792207792208,-0.2105263157894737,-0.007117047065257,-0.008602711793152,-0.228511190398962,0.1668625146886016,-0.6666666666666666,-1.0625,-0.2226309476209516,0,0,2022-06-25,2022-06-25,2022-06-25,AAPL,2022-06-26,80187981962,85197880455,82791243730,20538482758,30807724137,25673103447,17824220689,26736331034,22280275861,15017268965,22525903448,18771586206,4643751724,6965627586,5804689655,1.1635,1.16794,1.15906,10,10,2022-06-25,2022-06-25
AAPL,8,2022-10-27,2023-02-02,2022-10-26,2022-10-28,2022-10-31,2023-01-31,2021-10-15,2022-10-12,146.88670349121094,153.17129516601562,150.81088256835938,142.14553833007812,4.278529999947023,249,4.5600506900282515e-05,0.020389011364315,-0.1473965669341008,0.3459405084853952,0.0010329200141355,1.2389664957226183,0.731065210144638,0.0105735217114177,62,-5.745834843419495,5.2846377878928985,-11.030472631312394,-17.86287974456331,2022-10-27,2022-09-24,8,90146000000,28349000000,25484000000,20721000000,1.29,88739279089,25159915000,22239910000,19215185000,1.26798,1406720911,1.585229140287635,3189085000,12.675261422783027,3244090000,14.58679464080565,1505815000,7.836588614681565,0.0220199999999999,1.736620451426673,2022-09-24,2022-09-24,AAPL,USD,320193,2022-10-28,2022-10-27 18:01:14,2022,Q4,90146000000,52051000000,38095000000,6761000000,0,0,6440000000,0,13201000000,65252000000,-74000000,753000000,827000000,2865000000,28349000000,25484000000,-590000000,24894000000,-237000000,24657000000,3936000000,20721000000,0,0,20721000000,0,20721000000,1.29,1.29,16030382000,16118465000,2022-09-24,2022-09-24,AAPL,2022-09-24,2022,Q4,USD,0.086633156137369,0.1057271529931597,0.0615856207328967,-0.0230505898802989,-0.0052964543180815,0,0,0.0,0.0306034819267702,0.0896581667585124,0.0429362880886426,0.1502086230876217,0.0213903743315508,0.0661526889808198,0.078783151326053,0.0689759819647966,0.086092715231788,0.0657854130233515,0.075,0.075,-0.0082016612690323,-0.0088387778703783,0.0714315745217574,0.1678420310296191,-25.666666666666668,-22.7,0.0657854130233515,0,0,2022-09-24,2022-09-24,2022-09-24,AAPL,2022-09-26,85948989172,91318817678,88739279089,20127932000,30191898000,25159915000,17791928000,26687892000,22239910000,15372148000,23058222000,19215185000,4200768000,6301152000,5250960000,1.26798,1.26982,1.26614,7,10,2022-09-24,2022-09-24
AAPL,9,2023-02-02,2023-05-04,2023-02-01,2023-02-03,2023-02-06,2023-05-02,2022-01-20,2023-01-18,143.26858520507812,152.20379638671875,149.47496032714844,166.2886505126953,6.2366855712650215,249,-0.0005100510394553,0.0226197081973242,0.2655396520265085,1.007673243212409,2.925087926598888e-05,1.3059251118829247,0.779567241688663,0.0106200134215501,59,11.248499513729636,0.2067583174851783,11.04174119624446,10.380847833652805,2023-02-02,2022-12-31,9,117154000000,38932000000,36016000000,29998000000,1.89,121333299852,43640177777,40566044443,33860444443,1.93875,-4179299852,-3.4444788504869055,-4708177777,-10.788631066212991,-4550044443,-11.216386772423276,-3862444443,-11.406951404615974,-0.04875,-2.5145067698259225,2022-12-31,2022-12-31,AAPL,USD,320193,2023-02-03,2023-02-02 18:01:30,2023,Q1,117154000000,66822000000,50332000000,7709000000,0,0,6607000000,0,14316000000,81138000000,-135000000,868000000,1003000000,2916000000,38932000000,36016000000,0,36016000000,-393000000,35623000000,5625000000,29998000000,0,0,29998000000,0,29998000000,1.89,1.88,15892723000,15955718000,2022-12-31,2022-12-31,AAPL,2022-12-31,2023,Q1,USD,0.2996028664610742,0.2837793702330407,0.3212232576453603,0.0166361521727074,0.140215944386925,0,0,0.0,0.0844632982349821,0.2434561392754245,0.1527224435590969,0.2128174123337363,0.0178010471204188,0.3733112279092737,0.4467743231300715,0.4447418582958186,0.4291158536585366,0.4477100526036388,0.4651162790697673,0.4573643410852712,-0.0085873811366441,-0.0100969292051073,0.4132789201067336,1.0,-0.8243243243243243,-0.6582278481012658,0.4477100526036388,0,0,2022-12-31,2022-12-31,2022-12-31,AAPL,2022-12-26,117518133822,124860305393,121333299852,34912142222,52368213332,43640177777,32452835553,48679253332,40566044443,27088355554,40632533332,33860444443,5044551110,7566826666,6305688888,1.93875,1.94633,1.93117,15,10,2022-12-31,2022-12-31
AAPL,10,2023-05-04,2023-08-03,2023-05-03,2023-05-05,2023-05-08,2023-08-01,2022-04-21,2023-04-19,165.21322631835938,171.25148010253906,171.182373046875,193.26402282714844,3.654824688517499,249,0.0002896313163314,0.0217936603158897,0.1103855138710523,1.1486193214141167,0.000445260866799,1.3097845479491754,0.7675135587977652,0.0105082160251355,58,12.899488064829434,10.59925402985533,2.3002340349741024,-3.582684365747004,2023-05-04,2023-04-01,10,94836000000,31216000000,28318000000,24160000000,1.53,92906049631,34599830768,30901430768,25779538460,1.42908,1929950369,2.077313992646645,-3383830768,-9.779905545461713,-2583430768,-8.360230266992277,-1619538460,-6.282263208524487,0.1009200000000001,7.061885968595188,2023-04-01,2023-04-01,AAPL,USD,320193,2023-05-05,2023-05-04 18:03:52,2023,Q2,94836000000,52860000000,41976000000,7457000000,0,0,6201000000,0,13658000000,66518000000,-12000000,918000000,930000000,2898000000,31216000000,28318000000,0,28318000000,64000000,28382000000,4222000000,24160000000,0,0,24160000000,0,24160000000,1.53,1.52,15787154000,15847050000,2023-04-01,2023-04-01,AAPL,2023-04-01,2023,Q2,USD,-0.1905013913310685,-0.2089431624315345,-0.1660176428514662,0.0302455719735069,-0.0326890647295369,0,0,0.0,-0.0459625593741268,-0.1801868421701299,0.0576036866359447,-0.0727816550348953,-0.0061728395061728,-0.1981917188944827,-0.213738338516215,-0.2032675518625607,-0.2494222222222222,-0.1946129741982799,-0.1904761904761904,-0.1914893617021276,-0.0066425998867532,-0.0068105991845681,-0.213738338516215,0.0,0.9111111111111112,1.1628498727735368,-0.1946129741982799,0,0,2023-04-01,2023-04-01,2023-04-01,AAPL,2023-03-26,89984741095,95606710969,92906049631,27679864614,41519796923,34599830768,24721144614,37081716922,30901430768,20623630768,30935446153,25779538460,5106843076,7660264615,6383553845,1.42908,1.42915,1.42901,8,9,2023-04-01,2023-04-01
