ticker,event_idx,event_date,next_event_date,pre_date,post1_date,drift_start_date,drift_end_date,est_start_date,est_end_date,pre_price,post1_price,drift_start_price,drift_end_price,reaction_ret_pct,est_n_days,est_mean,est_vol,est_skew,est_kurt,alpha_mm,beta_mm,r2_mm,resid_vol_mm,drift_n_days,drift_ret_pct,drift_mkt_ret_pct,drift_abret_simple_pct,drift_car_mm_pct
AAPL,1,2021-01-27,2021-04-28,2021-01-26,2021-01-28,2021-01-29,2021-04-26,,,139.3594207763672,133.45054626464844,128.45677185058594,131.3394775390625,-4.240025165719397,0,,,,,,,,,59,2.244105660563833,12.745006466942211,-10.500900806378377,
AAPL,2,2021-04-28,2021-07-27,2021-04-27,2021-04-29,2021-04-30,2021-07-23,,,131.01776123046875,130.13052368164062,128.16127014160156,145.07815551757812,-0.6771887570780732,0,,,,,,,,,58,13.199686112103603,5.5156839233187815,7.684002188784822,
AAPL,3,2021-07-27,2021-10-28,2021-07-26,2021-07-28,2021-07-29,2021-10-26,,,145.49807739257812,141.5821075439453,142.2266387939453,146.03884887695312,-2.6914237760454207,0,,,,,,,,,62,2.6803769781347686,3.5219474369087234,-0.8415704587739548,
AAPL,4,2021-10-28,2022-01-27,2021-10-27,2021-10-29,2021-11-01,2022-01-25,,,145.57916259765625,146.50828552246094,145.686767578125,156.49708557128906,0.6382252159071289,0,,,,,,,,,58,7.42024699488717,-5.575165343817345,12.995412338704515,
AAPL,5,2022-01-27,2022-04-28,2022-01-26,2022-01-28,2022-01-31,2022-04-26,2021-01-15,2022-01-11,156.408935546875,166.83029174804688,171.1888885498047,153.77395629882812,6.6628905597587496,249,0.0014316877703529401,0.015602950458476867,-0.06845907584128541,0.4212683521960163,0.00021423059656836907,1.3048336451768452,0.478645567724289,0.011266091251927802,59,-10.172933768367775,-7.537279491894655,-2.6356542764731206,-1.564586971468132
AAPL,6,2022-04-28,2022-07-28,2022-04-27,2022-04-29,2022-05-02,2022-07-26,2021-04-19,2022-04-12,153.54844665527344,154.6075439453125,154.91162109375,148.8927764892578,0.6897479675693541,249,0.0010155386385164778,0.015316294755571495,0.26344165757847676,0.9643866338793297,0.000683943110637312,1.2511703004260772,0.6053811357052262,0.009621496733382142,58,-3.8853409201945466,-5.639191616477978,1.7538506962834322,0.04568480741645106
AAPL,7,2022-07-28,2022-10-27,2022-07-27,2022-07-29,2022-08-01,2022-10-25,2021-07-16,2022-07-13,153.99005126953125,159.60792541503906,158.62579345703125,149.82736206054688,3.6482059062859618,249,0.00017587298621484288,0.018875621161210405,-0.11973281103807148,0.6440520923968318,0.0007381697407575237,1.2769304536809094,0.7263627226520828,0.00987390359578169,60,-5.546658714660868,-6.301119128806154,0.754460414145286,-1.4770450892827551
AAPL,8,2022-10-27,2023-02-02,2022-10-26,2022-10-28,2022-10-31,2023-01-31,2021-10-15,2022-10-12,146.88670349121094,153.17129516601562,150.81088256835938,142.14553833007812,4.278529999947023,249,4.5600506900282515e-05,0.020389011364315018,-0.14739656693410083,0.34594050848539526,0.001032920014135563,1.2389664957226183,0.731065210144638,0.010573521711417705,62,-5.745834843419495,5.2846377878928985,-11.030472631312394,-17.86287974456331
AAPL,9,2023-02-02,2023-05-04,2023-02-01,2023-02-03,2023-02-06,2023-05-02,2022-01-20,2023-01-18,143.26858520507812,152.20379638671875,149.47496032714844,166.2886505126953,6.2366855712650215,249,-0.0005100510394553085,0.02261970819732425,0.26553965202650853,1.007673243212409,2.925087926598888e-05,1.3059251118829247,0.779567241688663,0.010620013421550134,59,11.248499513729637,0.20675831748517837,11.041741196244459,10.380847833652805
AAPL,10,2023-05-04,2023-08-03,2023-05-03,2023-05-05,2023-05-08,2023-08-01,2022-04-21,2023-04-19,165.21322631835938,171.25148010253906,171.182373046875,193.26402282714844,3.6548246885174995,249,0.0002896313163314179,0.021793660315889734,0.11038551387105239,1.1486193214141167,0.00044526086679904606,1.3097845479491754,0.7675135587977652,0.010508216025135545,58,12.899488064829434,10.59925402985533,2.3002340349741024,-3.582684365747004
AAPL,11,2023-08-03,2023-11-02,2023-08-02,2023-08-04,2023-08-07,2023-10-31,2022-07-21,2023-07-19,190.27035522460935,179.80734252929688,176.7050018310547,168.9497833251953,-5.4990241033403,249,0.0011072980270608102,0.01842402155298395,0.5072760619140055,2.9960737309920598,0.0003249259857829533,1.2951769860495195,0.7123807601333961,0.009880829380846688,60,-4.388793993094797,-7.184783706956033,2.7959897138612355,3.4558409612504537
AAPL,12,2023-11-02,2024-02-01,2023-11-01,2023-11-03,2023-11-06,2024-01-30,2022-10-20,2023-10-18,172.11566162109375,174.76707458496094,177.319580078125,186.28076171875,1.5404832650872669,249,0.0009827250921768994,0.01679324926462645,0.7185433122095345,4.373680035193894,2.8571688900069932e-05,1.3548488642966068,0.6510383762102221,0.009920271744405176,57,5.053689861366029,12.803316480507188,-7.749626619141159,-11.348668780508072
AAPL,13,2024-02-01,2024-05-02,2024-01-31,2024-02-02,2024-02-05,2024-04-30,2023-01-19,2024-01-17,182.6748046875,184.1112823486328,185.92413330078125,168.95176696777344,0.7863578469894605,249,0.0013094220573447628,0.012646137803133877,-0.060912825681219356,1.4150258173523556,0.0003884592667852938,1.127959186633981,0.5161554416926606,0.008796518906063592,59,-9.128651580454349,1.8790906733511914,-11.007742253805542,-13.630240802156962
AAPL,14,2024-05-02,2024-08-01,2024-05-01,2024-05-03,2024-05-06,2024-07-30,2023-04-20,2024-04-17,167.93011474609375,181.89617919921875,180.2397003173828,217.3239593505859,8.316593169867925,249,0.00013067599650766108,0.012418269211689904,-0.12432510081927617,2.123387225734759,-0.0007098466333941593,1.0333567356831599,0.3808146445361672,0.009771728875723518,58,20.57496709542996,4.935582473999434,15.63938462143053,18.478421351169033
AAPL,15,2024-08-01,2024-10-31,2024-07-31,2024-08-02,2024-08-05,2024-10-29,2023-07-20,2024-07-17,220.5818328857422,218.37681579589844,207.85824584960935,232.36228942871097,-0.9996367611043944,249,0.0008036290452673477,0.014206995029021861,0.4776160525092422,3.7790706044435263,-0.00016597688315305933,1.1219172225312697,0.3135858219930605,0.011770511912121421,60,11.788824387958563,12.467194220383293,-0.67836983242473,-0.7997257391056629
AAPL,16,2024-10-31,2025-01-30,2024-10-30,2024-11-01,2024-11-04,2025-01-28,2023-10-19,2024-10-16,228.8122711181641,221.66249084472656,220.76751708984375,237.1872711181641,-3.1247363782098914,249,0.001240984531403778,0.014338372569752759,0.4748661999813837,3.5961803288429177,-8.064824944821968e-05,1.0300326936407211,0.3171367120409132,0.011848591954627525,56,7.437576979061711,6.214414882437325,1.2231620966243861,1.7414761701529904
AAPL,17,2025-01-30,2025-05-01,2025-01-29,2025-01-31,2025-02-03,2025-04-29,2024-01-17,2025-01-14,238.2823028564453,234.93743896484375,226.9833984375,210.49021911621097,-1.4037399552986107,249,0.0011030322656824293,0.014274012633876778,0.47165534622487604,3.6106611272420217,0.00028447230215207053,0.9370355554276149,0.27987058634134565,0.012112989808677062,59,-7.266249177175144,-7.235544147661632,-0.030705029513511395,-0.31058049394831494
