ticker,t_earnings_date,announce_timing,pre_date,post_date,d5,d10,d20,pre_adj_close,post_adj_close,adj_close_5,adj_close_10,adj_close_20,post_minus_pre,r_post_pre,drift_5,drift_10,drift_20,r_5_post,r_10_post,r_20_post,eps_est,eps_actual,revenue_est,revenue_actual,eps_surprise,revenue_surprise,news_tminus1_date,news_tplus1_date,news_tminus1_k,news_tminus1_pos,news_tminus1_neu,news_tminus1_neg,news_tminus1_pos_share,news_tminus1_neu_share,news_tminus1_neg_share,news_tplus1_k,news_tplus1_pos,news_tplus1_neu,news_tplus1_neg,news_tplus1_pos_share,news_tplus1_neu_share,news_tplus1_neg_share,transcript_date_used,transcript_sentence_k,transcript_pos,transcript_neu,transcript_neg,transcript_pos_share,transcript_neu_share,transcript_neg_share,d_news_pos,d_news_neg,d_news_neu,news_pre_net,news_post_net,news_d_net,tx_net,r_pre_to_5,r_pre_to_10,r_pre_to_20
AAPL,2021-01-27,amc,2021-01-27,2021-01-28,2021-02-04,2021-02-11,2021-02-26,138.2886199951172,133.4505615234375,133.7425994873047,131.73919677734375,118.21720886230467,-4.8380584716796875,-0.0349852249002883,0.2920379638671875,-1.71136474609375,-15.233352661132828,0.0021883606972752,-0.0128239606229996,-0.1141497831648872,1.41,1.68,90099617021.0,111439000000.0,0.1914893617021277,0.2368421052669548,2021-01-26,2021-01-28,17,4,9,4,0.2352941176470588,0.5294117647058824,0.2352941176470588,24,11,5,8,0.4583333333333333,0.2083333333333333,0.3333333333333333,2021-01-27,448,145,285,18,0.3236607142857143,0.6361607142857143,0.0401785714285714,0.22303921568627452,0.09803921568627452,-0.3210784313725491,0.0,0.125,0.125,0.2834821428571429,-0.03287342449417019,-0.04736053637677984,-0.1451414522288328
AAPL,2021-04-28,amc,2021-04-28,2021-04-29,2021-05-06,2021-05-13,2021-05-27,130.22804260253906,130.1305694580078,126.48445129394533,122.04108428955078,122.34378051757812,-0.09747314453125,-0.0007484804546187,-3.646118164062486,-8.089485168457031,-7.786788940429688,-0.0280189211439596,-0.0621643723081335,-0.0598382760704234,0.99,1.4,76920700000.0,89584000000.0,0.4141414141414141,0.1646279870047984,2021-04-27,2021-04-29,20,5,11,4,0.25,0.55,0.2,29,16,9,4,0.5517241379310345,0.3103448275862069,0.1379310344827586,2021-04-28,456,139,299,18,0.3048245614035088,0.6557017543859649,0.0394736842105263,0.3017241379310345,-0.06206896551724142,-0.23965517241379314,0.04999999999999999,0.4137931034482759,0.3637931034482759,0.26535087719298245,-0.02874642998374266,-0.06286632394510594,-0.06054196874496531
AAPL,2021-07-27,amc,2021-07-27,2021-07-28,2021-08-04,2021-08-11,2021-08-25,143.33013916015625,141.58206176757812,143.5059356689453,142.65489196777344,145.0999298095703,-1.748077392578125,-0.012196160576003,1.9238739013671875,1.0728302001953125,3.5178680419921875,0.0135884015061555,0.007577444393743,0.0248468485207338,1.01,1.3,84581900000.0,81434000000.0,0.2871287128712871,-0.0372171823995441,2021-07-26,2021-07-28,18,4,11,3,0.2222222222222222,0.6111111111111112,0.1666666666666666,22,11,6,5,0.5,0.2727272727272727,0.2272727272727272,2021-07-27,495,144,335,16,0.2909090909090909,0.6767676767676768,0.0323232323232323,0.2777777777777778,0.06060606060606061,-0.33838383838383845,0.05555555555555561,0.2727272727272728,0.2171717171717172,0.2585858585858586,0.0012265146034122765,-0.004711131910841826,0.012347651790364234
AAPL,2021-10-28,amc,2021-10-28,2021-10-29,2021-11-05,2021-11-12,2021-11-29,149.21746826171875,146.50833129882812,148.17173767089844,146.90823364257812,156.9476318359375,-2.709136962890625,-0.0181556287909868,1.6634063720703125,0.39990234375,10.439300537109377,0.0113536640361939,0.0027295536042541,0.0712539720066613,1.24,1.24,117986000000.0,83360000000.0,0.0,-0.2934754970928754,2021-10-27,2021-10-29,15,7,8,0,0.4666666666666667,0.5333333333333333,0.0,40,3,8,29,0.075,0.2,0.725,2021-10-28,475,114,346,15,0.24,0.728421052631579,0.031578947368421,-0.39166666666666666,0.725,-0.3333333333333333,0.4666666666666667,-0.65,-1.1166666666666667,0.208421052631579,-0.00700809766445154,-0.015475631948736468,0.05180468255003823
AAPL,2022-01-27,amc,2022-01-27,2022-01-28,2022-02-04,2022-02-11,2022-02-28,155.94857788085938,166.83030700683594,169.0631103515625,165.38548278808594,161.9334259033203,10.881729125976562,0.0697776746274012,2.2328033447265625,-1.44482421875,-4.896881103515625,0.0133836794092518,-0.0086604421263265,-0.0293524671348531,1.89,2.1,119002502550.0,123945000000.0,0.1111111111111112,0.041532718590715,2022-01-26,2022-01-28,19,9,7,3,0.4736842105263157,0.3684210526315789,0.1578947368421052,37,16,15,6,0.4324324324324324,0.4054054054054054,0.1621621621621621,2022-01-27,428,119,293,16,0.2780373831775701,0.6845794392523364,0.0373831775700934,-0.04125177809388331,0.004267425320056889,0.036984352773826445,0.3157894736842105,0.2702702702702703,-0.045519203413940224,0.2406542056074767,0.08409523606378944,0.0605129269882545,0.03837706059130097
AAPL,2022-04-28,amc,2022-04-28,2022-04-29,2022-05-06,2022-05-13,2022-05-27,160.48196411132812,154.6075897216797,154.47129821777344,144.48294067382812,146.96775817871094,-5.8743743896484375,-0.036604576858078,-0.13629150390625,-10.124649047851562,-7.63983154296875,-0.0008815317808886,-0.065486106251819,-0.049414337011021,1.43,1.52,94033796672.0,97278000000.0,0.062937062937063,0.0345003971212194,2022-04-27,2022-04-29,16,1,12,3,0.0625,0.75,0.1875,18,3,7,8,0.1666666666666666,0.3888888888888889,0.4444444444444444,2022-04-28,502,123,350,29,0.2450199203187251,0.6972111553784861,0.0577689243027888,0.1041666666666666,0.2569444444444444,-0.3611111111111111,-0.125,-0.2777777777777778,-0.1527777777777778,0.1872509960159363,-0.037453840541140204,-0.09969359190046612,-0.08421012297208819
AAPL,2022-07-28,amc,2022-07-28,2022-07-29,2022-08-05,2022-08-12,2022-08-26,154.54010009765625,159.60791015625,162.62278747558594,169.26145935058594,160.9213104248047,5.06781005859375,0.0327928482988644,3.0148773193359375,9.653549194335938,1.3134002685546875,0.0188892725704163,0.0604828995310162,0.0082289171462048,1.16,1.2,82791243730.0,82959000000.0,0.0344827586206896,0.0020262561889647,2022-07-27,2022-07-29,8,1,6,1,0.125,0.75,0.125,26,17,6,3,0.6538461538461539,0.2307692307692307,0.1153846153846153,2022-07-28,443,105,302,36,0.237020316027088,0.6817155756207675,0.0812641083521444,0.5288461538461539,-0.009615384615384706,-0.5192307692307693,0.0,0.5384615384615385,0.5384615384615385,0.1557562076749436,0.05230155391915847,0.09525915437887678,0.04129161507670864
AAPL,2022-10-27,amc,2022-10-27,2022-10-28,2022-11-04,2022-11-11,2022-11-28,142.41175842285156,153.17129516601562,136.3234100341797,147.47515869140625,142.07659912109375,10.759536743164062,0.0755523059494613,-16.847885131835938,-5.696136474609375,-11.094696044921877,-0.1099937498966451,-0.0371880153421408,-0.0724332586787676,1.27,1.29,88739279089.0,90146000000.0,0.015748031496063,0.0158522914028763,2022-10-26,2022-10-28,19,3,10,6,0.1578947368421052,0.5263157894736842,0.3157894736842105,35,14,7,14,0.4,0.2,0.4,2022-10-27,492,136,325,31,0.2764227642276423,0.6605691056910569,0.0630081300813008,0.24210526315789482,0.08421052631578951,-0.32631578947368417,-0.1578947368421053,0.0,0.1578947368421053,0.2134146341463415,-0.04275172539190364,0.03555465029453786,-0.002353452449920912
AAPL,2023-02-02,amc,2023-02-02,2023-02-03,2023-02-10,2023-02-17,2023-03-06,148.5784912109375,152.20382690429688,148.99282836914062,150.5122528076172,151.77516174316406,3.625335693359375,0.0244001380267919,-3.21099853515625,-1.6915740966796875,-0.4286651611328125,-0.0210967003948939,-0.0111138736199012,-0.0028163888507373,1.94,1.88,121333299852.0,117154000000.0,-0.0309278350515464,-0.034444788504869,2023-02-01,2023-02-03,17,1,11,5,0.0588235294117647,0.6470588235294118,0.2941176470588235,25,4,10,11,0.16,0.4,0.44,2023-02-02,457,112,308,37,0.2450765864332603,0.6739606126914661,0.0809628008752735,0.10117647058823531,0.14588235294117652,-0.24705882352941178,-0.2352941176470588,-0.28,-0.044705882352941234,0.1641137855579868,0.002788675230352755,0.013015084356552853,0.021515028899359523
AAPL,2023-05-04,amc,2023-05-04,2023-05-05,2023-05-12,2023-05-19,2023-06-05,163.57537841796875,171.25146484375,170.50035095214844,173.05926513671875,177.42628479003906,7.67608642578125,0.0469269061152177,-0.7511138916015625,1.80780029296875,6.1748199462890625,-0.0043860290029453,0.0105564077633917,0.0360570343262347,1.43,1.52,92960200000.0,94836000000.0,0.062937062937063,0.0201785280152151,2023-05-03,2023-05-05,17,5,8,4,0.2941176470588235,0.4705882352941176,0.2352941176470588,23,10,9,4,0.4347826086956521,0.391304347826087,0.1739130434782608,2023-05-04,444,108,307,29,0.2432432432432432,0.6914414414414415,0.0653153153153153,0.14066496163682862,-0.06138107416879798,-0.07928388746803061,0.05882352941176469,0.2608695652173913,0.2020460358056266,0.1779279279279279,0.042335054341032574,0.05797869343463624,0.08467598550607303
