ticker,eval_mode,model,features,horizon,horizon_label,n,mae,rmse,dir_acc,r2
AAPL,expanding,mean_baseline,none,r_post_pre,Reaction Next Day,12,0.026672014339488404,0.03224089161540068,0.3333333333333333,-0.1301193261804625
AAPL,expanding,linear,fundamentals,r_post_pre,Reaction Next Day,12,0.05458875086202165,0.09817850307676415,0.5,-9.479559478128868
AAPL,expanding,ridge,fundamentals,r_post_pre,Reaction Next Day,12,0.03136494995323902,0.036597188464123964,0.3333333333333333,-0.45614847471981146
AAPL,expanding,rf,fundamentals,r_post_pre,Reaction Next Day,12,0.0349930494438531,0.0433805056270554,0.4166666666666667,-1.0459708131150314
AAPL,expanding,gbrt,fundamentals,r_post_pre,Reaction Next Day,12,0.04732160808342567,0.05560815606715777,0.3333333333333333,-2.361918672921984
AAPL,expanding,mean_baseline,none,r_post_pre,Reaction Next Day,12,0.026672014339488404,0.03224089161540068,0.3333333333333333,-0.1301193261804625
AAPL,expanding,linear,news,r_post_pre,Reaction Next Day,12,0.06503036881522951,0.07371771073160342,0.3333333333333333,-4.908182399015719
AAPL,expanding,ridge,news,r_post_pre,Reaction Next Day,12,0.055156394956536264,0.06379137534992443,0.3333333333333333,-3.4241938325031374
AAPL,expanding,rf,news,r_post_pre,Reaction Next Day,12,0.03913319857894517,0.04404809684718071,0.16666666666666666,-1.1094270578282348
AAPL,expanding,gbrt,news,r_post_pre,Reaction Next Day,12,0.04681536847828701,0.05547423272295137,0.25,-2.345744886244865
AAPL,expanding,mean_baseline,none,r_post_pre,Reaction Next Day,12,0.026672014339488404,0.03224089161540068,0.3333333333333333,-0.1301193261804625
AAPL,expanding,linear,transcript,r_post_pre,Reaction Next Day,12,0.01994826719887636,0.029913803329352805,0.9166666666666666,0.027132976607409542
AAPL,expanding,ridge,transcript,r_post_pre,Reaction Next Day,12,0.01983619745637781,0.029787442736328655,0.8333333333333334,0.035334702782349625
AAPL,expanding,rf,transcript,r_post_pre,Reaction Next Day,12,0.02347355529960091,0.035760404093374436,0.6666666666666666,-0.39032089565414374
AAPL,expanding,gbrt,transcript,r_post_pre,Reaction Next Day,12,0.029660170098266853,0.04162549391206099,0.6666666666666666,-0.8837749351944304
AAPL,expanding,mean_baseline,none,r_post_pre,Reaction Next Day,12,0.026672014339488404,0.03224089161540068,0.3333333333333333,-0.1301193261804625
AAPL,expanding,linear,all,r_post_pre,Reaction Next Day,12,0.09374328941998257,0.13234061801953514,0.3333333333333333,-18.041297192847395
AAPL,expanding,ridge,all,r_post_pre,Reaction Next Day,12,0.06407085249347687,0.07651356963737306,0.3333333333333333,-5.364834893115664
AAPL,expanding,rf,all,r_post_pre,Reaction Next Day,12,0.03470329416086201,0.04059376019188091,0.3333333333333333,-0.7915493601184707
AAPL,expanding,gbrt,all,r_post_pre,Reaction Next Day,12,0.050175204807341715,0.05579505389976697,0.25,-2.3845553244033
AAPL,expanding,mean_baseline,none,r_5_post,Reaction After 5 Days,12,0.030745654650950933,0.04803445830655778,0.5833333333333334,-0.12415153756676012
AAPL,expanding,linear,fundamentals,r_5_post,Reaction After 5 Days,12,0.07981886596752928,0.1409959241288133,0.5,-8.685726035030372
AAPL,expanding,ridge,fundamentals,r_5_post,Reaction After 5 Days,12,0.033960155880914715,0.052368701515037176,0.5,-0.3361729494058243
AAPL,expanding,rf,fundamentals,r_5_post,Reaction After 5 Days,12,0.03129005523975128,0.04621737582476794,0.6666666666666666,-0.040709766084731536
AAPL,expanding,gbrt,fundamentals,r_5_post,Reaction After 5 Days,12,0.04460147101740205,0.05745955326143969,0.5833333333333334,-0.6085832944635439
AAPL,expanding,mean_baseline,none,r_5_post,Reaction After 5 Days,12,0.030745654650950933,0.04803445830655778,0.5833333333333334,-0.12415153756676012
AAPL,expanding,linear,news,r_5_post,Reaction After 5 Days,12,0.06793453546950703,0.08771691186436836,0.5833333333333334,-2.7487435470996124
AAPL,expanding,ridge,news,r_5_post,Reaction After 5 Days,12,0.06093543025180111,0.0805256687453949,0.5833333333333334,-2.1592772806982703
AAPL,expanding,rf,news,r_5_post,Reaction After 5 Days,12,0.04357317355594031,0.061880676991600804,0.6666666666666666,-0.8656457221369047
AAPL,expanding,gbrt,news,r_5_post,Reaction After 5 Days,12,0.06033999018655384,0.08186865585665445,0.5,-2.2655353097384734
AAPL,expanding,mean_baseline,none,r_5_post,Reaction After 5 Days,12,0.030745654650950933,0.04803445830655778,0.5833333333333334,-0.12415153756676012
AAPL,expanding,linear,transcript,r_5_post,Reaction After 5 Days,12,0.03400977362943857,0.04690135949686402,0.5833333333333334,-0.0717412016649468
AAPL,expanding,ridge,transcript,r_5_post,Reaction After 5 Days,12,0.03323312418688113,0.046693521276732,0.5833333333333334,-0.06226364098001791
AAPL,expanding,rf,transcript,r_5_post,Reaction After 5 Days,12,0.03630117607305926,0.05308307458088364,0.5,-0.3728756511613711
AAPL,expanding,gbrt,transcript,r_5_post,Reaction After 5 Days,12,0.04318796672672851,0.059922949375295624,0.3333333333333333,-0.7494656746907113
AAPL,expanding,mean_baseline,none,r_5_post,Reaction After 5 Days,12,0.030745654650950933,0.04803445830655778,0.5833333333333334,-0.12415153756676012
AAPL,expanding,linear,all,r_5_post,Reaction After 5 Days,12,0.09156647153614333,0.1153395558714071,0.4166666666666667,-5.481501315073938
AAPL,expanding,ridge,all,r_5_post,Reaction After 5 Days,12,0.04887706439509426,0.06441420394893069,0.75,-1.021540059878399
AAPL,expanding,rf,all,r_5_post,Reaction After 5 Days,12,0.038371684144950104,0.05687397969862013,0.6666666666666666,-0.5759640311361416
AAPL,expanding,gbrt,all,r_5_post,Reaction After 5 Days,12,0.04594223465167674,0.06949555562007254,0.6666666666666666,-1.3530606806123826
AAPL,expanding,mean_baseline,none,r_10_post,Reaction After 10 Days,12,0.038360607236788434,0.054507259838438155,0.5,-0.4015181190703301
AAPL,expanding,linear,fundamentals,r_10_post,Reaction After 10 Days,12,0.07025919387702534,0.11602181118529649,0.6666666666666666,-5.349935275240313
AAPL,expanding,ridge,fundamentals,r_10_post,Reaction After 10 Days,12,0.034963413885115945,0.05178460775712,0.6666666666666666,-0.26500254409555835
