,abs_corr_with_target
rt_grossProfitMargin,0.7347456544086963
rt_ebitPerRevenue,0.7218367786185956
rt_operatingProfitMargin,0.7218367786185956
rt_netProfitMargin,0.7053756992638844
rt_priceToFreeCashFlowsRatio,0.6703102535328523
km_pfcfRatio,0.6703102535328523
km_netDebtToEBITDA,0.6621700868816317
rt_interestCoverage,0.660726198666036
rt_returnOnCapitalEmployed,0.6586129522983847
km_roic,0.6436680706024664
km_earningsYield,0.6431241443250779
eps_surprise_pct,0.6345105644126919
rt_returnOnAssets,0.6300993369319469
rt_returnOnEquity,0.6132923774468485
rt_dividendYield,0.5941833220619934
rt_daysOfPayablesOutstanding,0.5566415683411693
km_pbRatio,0.5525309139099353
rt_priceFairValue,0.5525309139099353
km_enterpriseValueOverEBITDA,0.5189493848806768
rt_enterpriseValueMultiple,0.5189493848806768
rt_cashConversionCycle,0.5075046783126719
rt_operatingCashFlowSalesRatio,0.5007332766242624
km_marketCap,0.4940606335991435
rt_quickRatio,0.4762362328700919
km_enterpriseValue,0.4747635295009893
rt_inventoryTurnover,0.4736120321928275
rt_cashFlowToDebtRatio,0.47340439881099994
km_cashPerShare,0.46762414193804236
rt_currentRatio,0.45002848018263103
rt_cashRatio,0.4401371591622029
rt_daysOfInventoryOutstanding,0.43811348858501886
km_operatingCashFlowPerShare,0.43341870698658636
rt_debtRatio,0.4296961044537432
km_debtToEquity,0.4283089042088426
rt_debtEquityRatio,0.4283089042088426
km_revenuePerShare,0.3932680312484682
km_freeCashFlowPerShare,0.3753091149771698
km_priceToSalesRatio,0.3488569348844135
km_peRatio,0.3399351166507105
rt_priceEarningsRatio,0.3399351166507105
km_bookValuePerShare,0.3330488690422682
rt_effectiveTaxRate,0.2942701646334946
km_incomeQuality,0.2614384373568404
rt_assetTurnover,0.2312577113567566
rt_payoutRatio,0.2279173873603928
km_freeCashFlowYield,0.19657586627462215
km_pocfratio,0.19319089167456066
rt_priceToOperatingCashFlowsRatio,0.19319089167456066
km_evToSales,0.18062996476249032
revenue_surprise_pct,0.17448589934079545
km_capexToRevenue,0.1382084777896242
rt_daysOfSalesOutstanding,0.09653440114658857
rt_receivablesTurnover,0.08755209189727513
km_researchAndDdevelopementToRevenue,0.028306543847348098
