ticker,earnings_date,announce_timing,pre_date,react_date,d5,d10,d20
AVGO,2021-03-04,amc,2021-03-04,2021-03-05,2021-03-12,2021-03-19,2021-04-05
AVGO,2021-06-03,amc,2021-06-03,2021-06-04,2021-06-11,2021-06-18,2021-07-02
AVGO,2021-09-02,amc,2021-09-02,2021-09-03,2021-09-13,2021-09-20,2021-10-04
AVGO,2021-12-09,amc,2021-12-09,2021-12-10,2021-12-17,2021-12-27,2022-01-10
AVGO,2022-03-03,amc,2022-03-03,2022-03-04,2022-03-11,2022-03-18,2022-04-01
AVGO,2022-05-26,amc,2022-05-26,2022-05-27,2022-06-06,2022-06-13,2022-06-28
AVGO,2022-09-01,amc,2022-09-01,2022-09-02,2022-09-12,2022-09-19,2022-10-03
AVGO,2022-12-08,amc,2022-12-08,2022-12-09,2022-12-16,2022-12-23,2023-01-10
AVGO,2023-03-02,amc,2023-03-02,2023-03-03,2023-03-10,2023-03-17,2023-03-31
AVGO,2023-06-01,amc,2023-06-01,2023-06-02,2023-06-09,2023-06-16,2023-07-03
AVGO,2023-08-31,amc,2023-08-31,2023-09-01,2023-09-11,2023-09-18,2023-10-02
AVGO,2023-12-07,amc,2023-12-07,2023-12-08,2023-12-15,2023-12-22,2024-01-09
AVGO,2024-03-07,amc,2024-03-07,2024-03-08,2024-03-15,2024-03-22,2024-04-08
AVGO,2024-06-12,amc,2024-06-12,2024-06-13,2024-06-21,2024-06-28,2024-07-15
AVGO,2024-09-05,amc,2024-09-05,2024-09-06,2024-09-13,2024-09-20,2024-10-04
AVGO,2024-12-12,amc,2024-12-12,2024-12-13,2024-12-20,2024-12-30,2025-01-15
AVGO,2025-03-06,amc,2025-03-06,2025-03-07,2025-03-14,2025-03-21,2025-04-04
AVGO,2025-06-05,amc,2025-06-05,2025-06-06,2025-06-13,2025-06-23,2025-07-08
AVGO,2025-09-04,amc,2025-09-04,2025-09-05,2025-09-12,2025-09-19,2025-10-03
AVGO,2025-12-11,amc,2025-12-11,2025-12-12,2025-12-19,2025-12-29,2025-12-31
