ticker,earnings_date,announce_timing,eps_est,eps_actual,revenue_est,revenue_actual,event_datetime_et_placeholder
TSLA,2021-01-27,amc,0.3,0.27,10196800000.0,10744000000.0,2021-01-27T16:30:00-05:00
TSLA,2021-04-26,amc,0.26,0.31,9976330000.0,10389000000.0,2021-04-26T16:30:00-04:00
TSLA,2021-07-26,amc,0.33,0.48,8644038631.0,11958000000.0,2021-07-26T16:30:00-04:00
TSLA,2021-10-20,amc,0.53,0.62,13148600000.0,13757000000.0,2021-10-20T16:30:00-04:00
TSLA,2022-01-26,amc,0.79,0.85,15747600000.0,17719000000.0,2022-01-26T16:30:00-05:00
TSLA,2022-04-20,amc,0.75,1.07,17868578587.0,18756000000.0,2022-04-20T16:30:00-04:00
TSLA,2022-07-20,amc,0.6,0.76,16539370385.0,16934000000.0,2022-07-20T16:30:00-04:00
TSLA,2022-10-19,amc,0.99,1.05,21982042234.0,21454000000.0,2022-10-19T16:30:00-04:00
TSLA,2023-01-25,amc,1.13,1.19,24669077753.0,24318000000.0,2023-01-25T16:30:00-05:00
TSLA,2023-04-19,amc,0.85,0.85,23290300000.0,23329000000.0,2023-04-19T16:30:00-04:00
TSLA,2023-07-19,amc,0.82,0.91,24477100000.0,24927000000.0,2023-07-19T16:30:00-04:00
TSLA,2023-10-18,amc,0.72,0.66,24096100000.0,23350000000.0,2023-10-18T16:30:00-04:00
TSLA,2024-01-24,amc,0.75,0.71,25547500000.0,25167000000.0,2024-01-24T16:30:00-05:00
TSLA,2024-04-23,amc,0.51,0.45,22220029354.0,21301000000.0,2024-04-23T16:30:00-04:00
TSLA,2024-07-23,amc,0.62,0.52,24539747788.0,25500000000.0,2024-07-23T16:30:00-04:00
TSLA,2024-10-23,amc,0.58,0.72,25468371161.0,25182000000.0,2024-10-23T16:30:00-04:00
TSLA,2025-01-29,amc,0.774,0.73,27258924570.0,25707000000.0,2025-01-29T16:30:00-05:00
TSLA,2025-04-22,amc,0.4136,0.27,21269497845.0,19335000000.0,2025-04-22T16:30:00-04:00
TSLA,2025-07-23,amc,0.3972,0.4,22279678348.0,22496000000.0,2025-07-23T16:30:00-04:00
TSLA,2025-10-22,amc,0.558,0.5,26540367719.0,28095000000.0,2025-10-22T16:30:00-04:00
