ticker,earnings_date,announce_timing,eps_est,eps_actual,revenue_est,revenue_actual,event_datetime_et_placeholder
META,2021-01-27,amc,3.22,3.88,22317316770.0,28072000000.0,2021-01-27T16:30:00-05:00
META,2021-04-28,amc,2.37,3.3,23516800000.0,26171000000.0,2021-04-28T16:30:00-04:00
META,2021-07-28,amc,3.03,3.61,29481700000.0,29077000000.0,2021-07-28T16:30:00-04:00
META,2021-10-25,amc,3.19,3.22,29545600000.0,29010000000.0,2021-10-25T16:30:00-04:00
META,2022-02-02,amc,3.84,3.67,33370161276.0,33671000000.0,2022-02-02T16:30:00-05:00
META,2022-04-27,amc,2.56,2.72,28278997754.0,27908000000.0,2022-04-27T16:30:00-04:00
META,2022-07-27,amc,2.59,2.46,28908384447.0,28822000000.0,2022-07-27T16:30:00-04:00
META,2022-10-26,amc,1.89,1.64,27439470981.0,27714000000.0,2022-10-26T16:30:00-04:00
META,2023-02-01,amc,2.22,1.76,31551048476.0,32165000000.0,2023-02-01T16:30:00-05:00
META,2023-04-26,amc,2.03,2.2,27654600000.0,28645000000.0,2023-04-26T16:30:00-04:00
META,2023-07-26,amc,2.92,2.98,27968300000.0,31999000000.0,2023-07-26T16:30:00-04:00
META,2023-10-25,amc,3.63,4.39,31647200000.0,34146000000.0,2023-10-25T16:30:00-04:00
META,2024-02-01,amc,4.96,5.33,39168800000.0,40111000000.0,2024-02-01T16:30:00-05:00
META,2024-04-24,amc,4.32,4.71,36146676261.0,36455000000.0,2024-04-24T16:30:00-04:00
META,2024-07-31,amc,4.73,5.16,38261443896.0,39071000000.0,2024-07-31T16:30:00-04:00
META,2024-10-30,amc,5.25,6.03,40202943776.0,40589000000.0,2024-10-30T16:30:00-04:00
META,2025-01-29,amc,6.75,8.02,47004057689.0,48385000000.0,2025-01-29T16:30:00-05:00
META,2025-04-30,amc,5.23,6.43,41339201062.0,42314000000.0,2025-04-30T16:30:00-04:00
META,2025-07-30,amc,5.88,7.14,44821438597.0,47516000000.0,2025-07-30T16:30:00-04:00
META,2025-10-29,amc,6.72,7.25,49508128269.0,51242000000.0,2025-10-29T16:30:00-04:00
