date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,netInterestIncome,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebit,nonOperatingIncomeExcludingInterest,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeFromDiscontinuedOperations,otherAdjustmentsToNetIncome,netIncome,netIncomeDeductions,bottomLineNetIncome,eps,epsDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2020-12-26,AAPL,USD,0000320193,2021-01-28,2021-01-27 18:03:06,2021,Q1,111439000000,67111000000,44328000000,5163000000,0,0,5631000000,0,10794000000,77905000000,109000000,747000000,638000000,2666000000,36883000000,34217000000,-683000000,33534000000,45000000,33579000000,4824000000,28755000000,0,0,28755000000,0,28755000000,1.7,1.68,16935119000,17113688000
2021-03-27,AAPL,USD,0000320193,2021-04-29,2021-04-28 18:02:54,2021,Q2,89584000000,51505000000,38079000000,5262000000,0,0,5314000000,0,10576000000,62081000000,48000000,718000000,670000000,2797000000,31478000000,28681000000,-1178000000,27503000000,508000000,28011000000,4381000000,23630000000,0,0,23630000000,0,23630000000,1.41,1.4,16753476000,16929157000
2021-06-26,AAPL,USD,0000320193,2021-07-28,2021-07-27 18:03:42,2021,Q3,81434000000,46179000000,35255000000,5717000000,0,0,5412000000,0,11129000000,57308000000,54000000,719000000,665000000,2832000000,27866000000,25034000000,-908000000,24126000000,243000000,24369000000,2625000000,21744000000,0,0,21744000000,0,21744000000,1.31,1.3,16629371000,16781735000
2021-09-25,AAPL,USD,0000320193,2021-10-29,2021-10-28 18:04:28,2021,Q4,83360000000,48186000000,35174000000,5772000000,0,0,5616000000,0,11388000000,59574000000,-13000000,659000000,672000000,2989000000,26909000000,23920000000,-134000000,23786000000,-538000000,23248000000,2697000000,20551000000,0,0,20551000000,0,20551000000,1.25,1.24,16487121000,16635097000
2021-12-25,AAPL,USD,0000320193,2022-01-28,2022-01-27 18:00:58,2022,Q1,123945000000,69702000000,54243000000,6306000000,0,0,6449000000,0,12755000000,82457000000,-44000000,650000000,694000000,2697000000,44632000000,41935000000,-447000000,41488000000,-247000000,41241000000,6611000000,34630000000,0,0,34630000000,0,34630000000,2.11,2.1,16391724000,16519291000
2022-03-26,AAPL,USD,0000320193,2022-04-29,2022-04-28 18:03:58,2022,Q2,97278000000,54719000000,42559000000,6387000000,0,0,6193000000,0,12580000000,67299000000,9000000,700000000,691000000,2737000000,33567000000,30830000000,-851000000,29979000000,160000000,30139000000,5129000000,25010000000,0,0,25010000000,0,25010000000,1.54,1.52,16278802000,16403316000
2022-06-25,AAPL,USD,0000320193,2022-07-29,2022-07-28 18:06:56,2022,Q3,82959000000,47074000000,35885000000,6797000000,0,0,6012000000,0,12809000000,59883000000,3000000,722000000,719000000,2805000000,26590000000,23785000000,-709000000,23076000000,-10000000,23066000000,3624000000,19442000000,0,0,19442000000,0,19442000000,1.2,1.2,16162945000,16262203000
2022-09-24,AAPL,USD,0000320193,2022-10-28,2022-10-27 18:01:14,2022,Q4,90146000000,52051000000,38095000000,6761000000,0,0,6440000000,0,13201000000,65252000000,-74000000,753000000,827000000,2865000000,28349000000,25484000000,-590000000,24894000000,-237000000,24657000000,3936000000,20721000000,0,0,20721000000,0,20721000000,1.29,1.29,16030382000,16118465000
2022-12-31,AAPL,USD,0000320193,2023-02-03,2023-02-02 18:01:30,2023,Q1,117154000000,66822000000,50332000000,7709000000,0,0,6607000000,0,14316000000,81138000000,-135000000,868000000,1003000000,2916000000,38932000000,36016000000,0,36016000000,-393000000,35623000000,5625000000,29998000000,0,0,29998000000,0,29998000000,1.89,1.88,15892723000,15955718000
2023-04-01,AAPL,USD,0000320193,2023-05-05,2023-05-04 18:03:52,2023,Q2,94836000000,52860000000,41976000000,7457000000,0,0,6201000000,0,13658000000,66518000000,-12000000,918000000,930000000,2898000000,31216000000,28318000000,0,28318000000,64000000,28382000000,4222000000,24160000000,0,0,24160000000,0,24160000000,1.53,1.52,15787154000,15847050000
2023-07-01,AAPL,USD,0000320193,2023-08-04,2023-08-03 18:04:43,2023,Q3,81797000000,45384000000,36413000000,7442000000,0,0,5973000000,0,13415000000,58799000000,-18000000,980000000,998000000,3052000000,26050000000,22998000000,0,22998000000,-265000000,22733000000,2852000000,19881000000,0,0,19881000000,0,19881000000,1.27,1.26,15697614000,15775021000
2023-09-30,AAPL,USD,0000320193,2023-11-03,2023-11-02 18:08:27,2023,Q4,89498000000,49071000000,40427000000,7307000000,0,0,6151000000,0,13458000000,62529000000,-18000000,984000000,1002000000,2653000000,30653000000,28000000000,-1031000000,26969000000,29000000,26998000000,4042000000,22956000000,0,0,22956000000,0,22956000000,1.47,1.46,15599434000,15672400000
