earnings_date,fiscalYear,period,transcript_dir,symbol,fiscal_period_end,calendarYear,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
2021-03-04,2021,Q2,data/COST/transcripts/2021-03-04,COST,2021-02-14,2021,101.02813144556725,2.1460777101283135,0.08575284225539002,-1.207309752806149,20.883073742931032,36.39756822992594,36.39756822992594,35.32114439424644,23.261586788646323,156315518500.0,157946518500.0,41.09240759726603,3.4916017445107106,4113.566276315789,-292.17853925233646,9.986935759008432,9.986935759008432,3.528033203779401,88.98395408450705,4156.487328947368,-295.2271373831776,0.006083848930200747,-0.0034225648555808617,0.6560184002044467,0.1869696638624859,0.9188732394366197,0.990362897154043,33.5,0.03913491246138002,0.028340116467706948,4.658254468980021,0,0,0.0,15.078947368421053,0.012799035046572404,1.3774038461538463,0.002725099957559919,41.29822290748245,0.03467466128752912,0.01731672675625478,-47.73273998384236,-256000000,16129000000,-12481000000,25162000000,1790000000,15698500000,14383000000,3.887958185351471,33.12528788576693,31.932289267618607,23.148397104446744,2.7169575192936106,2.8184637576631806,0.06075900843342704,1.2930625950615389
2021-05-28,2021,Q3,data/COST/transcripts/2021-05-28,COST,2021-05-09,2021,102.19549795392321,2.7536830510808206,7.522971810862603,5.202655272738763,25.11268657895509,38.31230828610315,38.31230828610315,37.20180659665089,23.176079974178577,169012043640.0,169014043640.0,34.633615500000005,3.732845454424984,50.70868396039604,73.32409702386117,10.254340713505643,10.254340713505643,3.7328896269629173,80.79065183556405,50.70928402040204,73.32496470281995,0.007218420496699225,0.013638081348271897,0.6205557577963839,0.17858015853615952,0.0009560229445506692,0.9976413408619828,41.575,2.7031630170316303,0.001834188814735049,0.2540983606557377,0,0,0.0,0.3084308430843084,0.02270468449764781,2.557213930348259,0.0019215054000927623,48.0098390606826,0.04229221839962379,0.021301113943499667,-47.37745546143377,-66000000,16974000000,-12384000000,25986000000,1764500000,14960500000,13920000000,3.1704839101530577,35.47938602055056,31.910440187745785,28.386833855799374,2.536684257948256,2.8203935599284438,0.07402014318650649,2.320316538123839
2021-09-23,2021,Q4,data/COST/transcripts/2021-09-23,COST,2021-08-31,2021,141.4060966502492,3.7678210036843423,6.633169910677824,4.164908726228321,27.468994443028066,40.787226409943436,40.787226409943436,39.62754976569568,22.979195761991033,201885466230.0,200760466230.0,30.22237518413174,3.221148244595134,68.66852592857143,109.36374118634886,11.494276146094284,11.494276146094284,3.2031985038691664,69.18003660578911,68.28587286734694,108.75431540086674,0.00827201695686918,0.009143798384658985,0.5769186973354589,0.1709691570493352,-0.38766368022053754,1.0021738392038313,43.75,1.7355371900826446,0.0034574058897572976,0.4179640718562874,0,0,0.0,0.37210884353741497,0.01745512564818508,1.957066189624329,0.001834862385321101,57.960883986219805,0.05492618554035118,0.028177093878652897,-46.37634891376202,64000000,18078000000,-11685000000,26446000000,1699000000,15908000000,14095000000,2.589070602313522,26.766667275683776,23.374381086364718,34.76150859678314,3.362390957120039,3.8503693281744638,0.09508084718742883,2.4682611844495033
2021-12-09,2022,Q1,data/COST/transcripts/2021-12-09,COST,2021-11-21,2022,113.58956373469981,2.986172038693933,7.348148415456824,4.968683535681824,30.393998786585684,42.852922005426535,42.852922005426535,41.64176310453632,22.901503686479,239268398050.0,236632398050.0,45.179078181646524,4.750876596906459,73.4402695058318,108.61025785292783,12.959345612847317,12.959345612847317,4.698536585390068,109.19815323027227,72.63118417740945,107.41370769405356,0.005533534770117545,0.00920723345813365,0.547852461680117,0.157679776769708,-1.2164282418089525,1.0152360386299562,43.41025641025641,2.422304832713755,0.001462792424124729,0.26435045317220546,0,0,0.0,0.3238182934315531,0.02094791811448881,2.4421296296296298,0.007704068462958918,52.89483003144417,0.04247993648805637,0.020639448783301376,-49.06208486231807,508000000,19000000000,-11299000000,27298000000,1867500000,17919500000,15578500000,3.452534598812621,40.0548325445941,34.69193665817255,26.067805383022776,2.246919891621083,2.5942627788926926,0.07171098954666089,2.3794648797749995
2022-03-03,2022,Q2,data/COST/transcripts/2022-03-03,COST,2022-02-13,2022,117.00024570412265,2.9281619753709793,0.9039206713808797,-0.725841536620058,27.717228367329916,45.02922526559714,45.02922526559714,43.77140049095741,20.92317125126515,224721666880.0,222148666880.0,43.24897361046959,4.329563557336622,560.4031593017456,-697.8933754037267,11.572853377278813,11.572853377278813,4.279991270036992,97.7336853849538,553.9867004488779,-689.902692173913,0.005780484000653386,-0.001432883639884827,0.4761561437841178,0.14658042423665937,-1.131984161900572,1.0323347598668569,50.333333333333336,0.3037878787878788,0.0015595388502842704,0.269793818321786,0,0,0.0,1.8029925187032418,0.013929562268803946,1.658256880733945,0.002466091245376079,53.7012047056955,0.04211658223681587,0.020593550841814894,-47.08840614666057,1020000000,19976000000,-10537000000,27912000000,2082000000,18325000000,16713500000,3.8702219482120834,33.78979282465892,32.595513764088146,23.25448028673835,2.6635262449528936,2.7611161662117074,0.06689669378926769,1.6297622080009377
2022-05-26,2022,Q3,data/COST/transcripts/2022-05-26,COST,2022-05-08,2022,118.5395537525355,3.0493576741041246,2.7653820148749153,0.8406581023213884,26.664412891593418,46.23168807752986,46.23168807752986,45.00338066260987,20.443993689429796,221330871000.0,219173871000.0,40.896317627494454,4.208131245722108,180.38375794621027,593.3803512064343,11.084278395432692,11.084278395432692,4.1671205224731915,95.58389489751417,178.6258117359413,587.597509383378,0.006113019814574353,0.0016852597123697217,0.45252403846153844,0.14151475286600262,-0.9406890536415177,1.0365206468833412,51.17142857142857,0.8943148688046647,0.001585861016197781,0.25942350332594233,0,0,0.0,0.6960065199674002,0.016236976195908435,1.9814385150812064,0.0017111567419575632,55.56713591812671,0.04192013206711692,0.02118962601014847,-47.78735632183908,1163000000,20513000000,-10331000000,28037000000,2111500000,17370000000,17054000000,3.4069130732375084,34.27008952648042,34.21572645885018,26.41687594173782,2.6261968160444167,2.630369403620269,0.06775841346153846,1.9247239125535271
2022-09-22,2022,Q4,data/COST/transcripts/2022-09-22,COST,2022-08-31,2022,162.42601483871402,4.208733347001953,5.646191524404119,2.8095773467405976,24.894162072282967,46.519120672135614,46.519120672135614,46.50785532591773,20.47364021638477,231728341900.0,230564341900.0,31.012893723233407,3.214386565590712,92.46941017557862,185.8286623095429,11.226060551303169,11.226060551303169,3.1982403060021363,73.00960794806839,92.00492494014365,184.895222052927,0.008061163277153711,0.0053813011812691,0.43789361495979073,0.1408689960415173,-0.36858771374287524,1.0218138633664604,52.020833333333336,1.334398296059638,0.003439372126280251,0.4266595289079229,0,0,0.0,0.5023942537909019,0.017464038506887127,2.0948419301164725,0.001636820130113329,66.36362811189558,0.05780893784385867,0.02911199077393012,-49.197456735437854,698000000,20647000000,-10823000000,28118000000,2116000000,17749500000,17765000000,2.797714000360655,25.273293684508637,25.356839422259984,32.16912092815707,3.5610712684894668,3.5493382476126656,0.09049510706326906,2.836614177663522
2022-12-08,2023,Q1,data/COST/transcripts/2022-12-08,COST,2022-11-20,2023,122.65088309446936,3.0732002965052487,5.8805372242512455,3.4990323023993044,26.300195792599535,48.38713311418381,48.38713311418381,48.37586771720249,20.457960918084794,232290970690.0,230480970690.0,42.57532453995601,4.267152317173981,89.0003719118774,149.57564113972956,10.818824027292626,10.818824027292626,4.233902872862208,102.39048009329187,88.30688532183908,148.41015498390212,0.005871945844250241,0.00668558056900339,0.42131246798006616,0.13700455874112105,-0.8040870724122612,1.0327516859709076,51.5,1.9134897360703813,0.0017219782534458182,0.2932551319648094,0,0,0.0,0.4049808429118774,0.019416940683726142,2.364653243847875,0.007384683211786101,57.83637650972458,0.0408512667521539,0.020658215578475473,-49.248935983255116,1083000000,21476000000,-10401000000,29014000000,2276500000,18098000000,18239000000,3.822400205742418,34.56886265151039,34.98900960874207,23.545415224913494,2.603499018966645,2.572236282375747,0.0635275487867356,2.381504921851941
2023-03-02,2023,Q2,data/COST/transcripts/2023-03-02,COST,2023-02-12,2023,124.50746490581851,3.3027167436023945,7.191181340776837,5.186121380472518,30.875670512326614,51.36332812918894,51.36332812918894,51.35206374738948,20.665634849293834,224801506650.0,220970506650.0,38.33586402626194,4.0676275947236995,70.42653717105263,97.6548682232841,9.862310548828638,9.862310548828638,3.9983083025730104,88.85022382388419,69.22634920112782,95.99066318418767,0.006521308606185002,0.010240144891840297,0.40093884355532156,0.1367131402584969,-1.540410132689988,1.0557879197933324,55.970588235294116,2.1773533424283764,0.001777075723171093,0.2725029331514325,0,0,0.0,0.27882205513784464,0.016103933702457208,1.8936170212765957,0.0026598632070350668,61.77402137657396,0.04088750543300922,0.021930349449497368,-45.66129806230104,1814000000,22799000000,-9719000000,30397000000,2513000000,17377500000,17326000000,4.419715557485615,30.494393160275074,29.888482745802612,20.363301400147385,2.951362223441214,3.0111933337479013,0.06431517065894533,2.0050599603043184
2023-05-26,2023,Q3,data/COST/transcripts/2023-05-26,COST,2023-05-07,2023,120.87946752468376,2.9336613986940474,3.4721752806355815,1.624554430459607,30.886812944161292,53.114593050241766,53.114593050241766,53.103327069448014,20.368893275110743,221489814840.0,218000814840.0,42.52876629032258,4.128575433194155,143.73122312783906,307.19807883495145,9.397904567209777,9.397904567209777,4.063540389949299,95.6563470118473,141.4671089162881,302.35896649098476,0.005878374140772747,0.003255228690858027,0.38204344874405977,0.13488734419942475,-1.5309346204475647,1.0813990160211935,46.638888888888886,1.183563748079877,0.0018014372366884227,0.3064516129032258,0,0,0.0,0.5321219987021415,0.015284819564569042,1.7372881355932204,0.0017521622427676708,59.204827229136875,0.03522325180811655,0.01950503355704698,-43.78523435493247,2581000000,23573000000,-8890000000,31318000000,2608000000,16630000000,16202500000,4.197360572621533,32.151987281399045,31.14276629570747,21.44204636290967,2.79920488933721,2.8899166870864983,0.05524439918533605,1.8476208501759745
