ticker,earnings_date,announce_timing,pre_date,react_date,d5,d10,d20
AMD,2021-01-26,amc,2021-01-26,2021-01-27,2021-02-03,2021-02-10,2021-02-25
AMD,2021-04-27,amc,2021-04-27,2021-04-28,2021-05-05,2021-05-12,2021-05-26
AMD,2021-07-27,amc,2021-07-27,2021-07-28,2021-08-04,2021-08-11,2021-08-25
AMD,2021-10-26,amc,2021-10-26,2021-10-27,2021-11-03,2021-11-10,2021-11-24
AMD,2022-02-01,amc,2022-02-01,2022-02-02,2022-02-09,2022-02-16,2022-03-03
AMD,2022-05-03,amc,2022-05-03,2022-05-04,2022-05-11,2022-05-18,2022-06-02
AMD,2022-08-02,amc,2022-08-02,2022-08-03,2022-08-10,2022-08-17,2022-08-31
AMD,2022-11-01,amc,2022-11-01,2022-11-02,2022-11-09,2022-11-16,2022-12-01
AMD,2023-01-31,amc,2023-01-31,2023-02-01,2023-02-08,2023-02-15,2023-03-02
AMD,2023-05-02,amc,2023-05-02,2023-05-03,2023-05-10,2023-05-17,2023-06-01
AMD,2023-08-01,amc,2023-08-01,2023-08-02,2023-08-09,2023-08-16,2023-08-30
AMD,2023-10-31,amc,2023-10-31,2023-11-01,2023-11-08,2023-11-15,2023-11-30
AMD,2024-01-30,amc,2024-01-30,2024-01-31,2024-02-07,2024-02-14,2024-02-29
AMD,2024-04-30,amc,2024-04-30,2024-05-01,2024-05-08,2024-05-15,2024-05-30
AMD,2024-07-30,amc,2024-07-30,2024-07-31,2024-08-07,2024-08-14,2024-08-28
AMD,2024-10-29,amc,2024-10-29,2024-10-30,2024-11-06,2024-11-13,2024-11-27
AMD,2025-02-04,amc,2025-02-04,2025-02-05,2025-02-12,2025-02-20,2025-03-06
AMD,2025-05-06,amc,2025-05-06,2025-05-07,2025-05-14,2025-05-21,2025-06-05
AMD,2025-08-05,amc,2025-08-05,2025-08-06,2025-08-13,2025-08-20,2025-09-04
AMD,2025-11-04,amc,2025-11-04,2025-11-05,2025-11-12,2025-11-19,2025-12-04
