ticker,earnings_date,day0_date,nw_lm_constr_prop__all,nw_lm_constr_prop__post,nw_lm_constr_prop__pre,nw_lm_lit_prop__all,nw_lm_lit_prop__post,nw_lm_lit_prop__pre,nw_lm_neg_prop__all,nw_lm_neg_prop__post,nw_lm_neg_prop__pre,nw_lm_pos_prop__all,nw_lm_pos_prop__post,nw_lm_pos_prop__pre,nw_lm_tone__all,nw_lm_tone__post,nw_lm_tone__pre,nw_lm_unc_prop__all,nw_lm_unc_prop__post,nw_lm_unc_prop__pre,nw_n_tokens__all,nw_n_tokens__post,nw_n_tokens__pre,nw_lm_pos_prop__post_minus_pre,nw_lm_neg_prop__post_minus_pre,nw_lm_unc_prop__post_minus_pre,nw_lm_lit_prop__post_minus_pre,nw_lm_constr_prop__post_minus_pre,nw_lm_tone__post_minus_pre
AMD,2021-01-26,2021-01-27,0.0013020833333333333,0.0,0.0035714285714285713,0.0,0.0,0.0,0.013020833333333334,0.012295081967213115,0.014285714285714285,0.032552083333333336,0.036885245901639344,0.025,0.01953125,0.02459016393442623,0.010714285714285714,0.016927083333333332,0.012295081967213115,0.025,768.0,488.0,280.0,0.011885245901639342,-0.0019906323185011707,-0.012704918032786887,0.0,-0.0035714285714285713,0.013875878220140515
AMD,2021-04-27,2021-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.01858736059479554,0.01702127659574468,0.020771513353115726,0.026022304832713755,0.02127659574468085,0.032640949554896145,0.007434944237918215,0.00425531914893617,0.011869436201780416,0.011152416356877323,0.010638297872340425,0.011869436201780416,807.0,470.0,337.0,-0.011364353810215295,-0.003750236757371045,-0.0012311383294399906,0.0,0.0,-0.007614117052844246
AMD,2021-07-27,2021-07-28,0.0007668711656441718,0.000946969696969697,0.0,0.0007668711656441718,0.000946969696969697,0.0,0.015337423312883436,0.01231060606060606,0.028225806451612902,0.03144171779141104,0.035037878787878785,0.016129032258064516,0.016104294478527608,0.022727272727272728,-0.012096774193548387,0.011503067484662576,0.010416666666666666,0.016129032258064516,1304.0,1056.0,248.0,0.01890884652981427,-0.015915200391006842,-0.00571236559139785,0.000946969696969697,0.000946969696969697,0.03482404692082111
AMD,2021-10-26,2021-10-27,0.001145475372279496,0.0018115942028985507,0.0,0.0,0.0,0.0,0.010309278350515464,0.010869565217391304,0.009345794392523364,0.045819014891179836,0.043478260869565216,0.04984423676012461,0.035509736540664374,0.03260869565217391,0.040498442367601244,0.0057273768613974796,0.0036231884057971015,0.009345794392523364,873.0,552.0,321.0,-0.006365975890559393,0.0015237708248679403,-0.005722605986726262,0.0,0.0018115942028985507,-0.007889746715427332
AMD,2022-02-01,2022-02-02,0.0011695906432748538,0.0018796992481203006,0.0,0.0023391812865497076,0.0018796992481203006,0.0030959752321981426,0.011695906432748537,0.011278195488721804,0.01238390092879257,0.03274853801169591,0.03477443609022556,0.029411764705882353,0.021052631578947368,0.023496240601503758,0.017027863777089782,0.01871345029239766,0.015037593984962405,0.02476780185758514,1710.0,1064.0,646.0,0.0053626713843432094,-0.0011057054400707665,-0.009730207872622736,-0.001216275984077842,0.0018796992481203006,0.006468376824413976
AMD,2022-05-03,2022-05-04,0.0006422607578676942,0.0,0.002336448598130841,0.0,0.0,0.0,0.01798330122029544,0.0141718334809566,0.028037383177570093,0.028259473346178548,0.026572187776793623,0.03271028037383177,0.010276172125883108,0.012400354295837024,0.004672897196261682,0.01605651894669236,0.015943312666076175,0.016355140186915886,1557.0,1129.0,428.0,-0.006138092597038149,-0.013865549696613494,-0.00041182752083971166,0.0,-0.002336448598130841,0.007727457099575342
AMD,2022-08-02,2022-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.029511918274687854,0.0273972602739726,0.032432432432432434,0.03178206583427923,0.03131115459882583,0.032432432432432434,0.0022701475595913734,0.003913894324853229,0.0,0.01362088535754824,0.0136986301369863,0.013513513513513514,881.0,511.0,370.0,-0.0011212778336066043,-0.005035172158459833,0.00018511662347278635,0.0,0.0,0.003913894324853229
AMD,2022-11-01,2022-11-02,0.0008635578583765112,0.0012578616352201257,0.0,0.0,0.0,0.0,0.02849740932642487,0.026415094339622643,0.03305785123966942,0.03540587219343696,0.0440251572327044,0.01652892561983471,0.0069084628670120895,0.01761006289308176,-0.01652892561983471,0.013816925734024179,0.012578616352201259,0.01652892561983471,1158.0,795.0,363.0,0.02749623161286969,-0.00664275690004678,-0.003950309267633453,0.0,0.0012578616352201257,0.03413898851291647
AMD,2023-01-31,2023-02-01,0.0,0.0,0.0,0.0018709073900841909,0.001488095238095238,0.0025188916876574307,0.03274087932647334,0.03273809523809524,0.0327455919395466,0.03835360149672591,0.043154761904761904,0.030226700251889168,0.005612722170252572,0.010416666666666666,-0.0025188916876574307,0.01683816651075772,0.017857142857142856,0.015113350125944584,1069.0,672.0,397.0,0.012928061652872736,-7.496701451358001e-06,0.002743792731198272,-0.0010307964495621927,0.0,0.012935558354324098
AMD,2023-05-02,2023-05-03,0.0005966587112171838,0.0007886435331230284,0.0,0.0,0.0,0.0,0.02684964200477327,0.022082018927444796,0.041666666666666664,0.029236276849642005,0.02917981072555205,0.029411764705882353,0.002386634844868735,0.007097791798107256,-0.012254901960784314,0.018496420047732696,0.01971608832807571,0.014705882352941176,1676.0,1268.0,408.0,-0.00023195398033030307,-0.019584647739221868,0.005010205975134532,0.0,0.0007886435331230284,0.01935269375889157
