model,n_train,n_test,mae,rmse,r2
martingale_zero,12,3,11.66968835078996,14.926024487605638,-0.06676174795847811
rf,12,3,11.749989605200431,15.261630348674714,-0.1152725044508145
train_mean,12,3,11.911622476190809,15.318604341815412,-0.12361501199038116
hgb,12,3,11.911622476190809,15.318604341815412,-0.12361501199038116
ridge,12,3,21.761657429745128,27.348260426693926,-2.5812822356308165
