ticker,earnings_date,announce_timing,eps_est,eps_actual,revenue_est,revenue_actual,event_datetime_et_placeholder
AVGO,2021-03-04,amc,0.66,0.66,6604275914,6655000000.0,2021-03-04T16:30:00-05:00
AVGO,2021-06-03,amc,0.64,0.66,6504910000,6610000000.0,2021-06-03T16:30:00-04:00
AVGO,2021-09-02,amc,0.69,0.7,6428386023,6778000000.0,2021-09-02T16:30:00-04:00
AVGO,2021-12-09,amc,0.78,0.78,7579510000,7407000000.0,2021-12-09T16:30:00-05:00
AVGO,2022-03-03,amc,0.82,0.84,7606374830,7706000000.0,2022-03-03T16:30:00-05:00
AVGO,2022-05-26,amc,0.87,0.91,7911628296,8103000000.0,2022-05-26T16:30:00-04:00
AVGO,2022-09-01,amc,0.96,0.97,8410775320,8464000000.0,2022-09-01T16:30:00-04:00
AVGO,2022-12-08,amc,1.03,1.05,8901091151,8930000000.0,2022-12-08T16:30:00-05:00
AVGO,2023-03-02,amc,1.02,1.03,8895846962,8915000000.0,2023-03-02T16:30:00-05:00
AVGO,2023-06-01,amc,1.01,1.03,8707650000,8733000000.0,2023-06-01T16:30:00-04:00
AVGO,2023-08-31,amc,1.04,1.05,9275250000,8876000000.0,2023-08-31T16:30:00-04:00
AVGO,2023-12-07,amc,1.1,1.11,9411040000,9295000000.0,2023-12-07T16:30:00-05:00
AVGO,2024-03-07,amc,1.037,1.1,11794525537,11961000000.0,2024-03-07T16:30:00-05:00
AVGO,2024-06-12,amc,1.09,1.1,12056815364,12487000000.0,2024-06-12T16:30:00-04:00
AVGO,2024-09-05,amc,1.22,1.24,12978623398,13072000000.0,2024-09-05T16:30:00-04:00
AVGO,2024-12-12,amc,1.38,1.42,14068143104,14054000000.0,2024-12-12T16:30:00-05:00
AVGO,2025-03-06,amc,1.51,1.6,14615690282,14916000000.0,2025-03-06T16:30:00-05:00
AVGO,2025-06-05,amc,1.57,1.58,14958375428,15004000000.0,2025-06-05T16:30:00-04:00
AVGO,2025-09-04,amc,1.66,1.69,15826050860,15952000000.0,2025-09-04T16:30:00-04:00
AVGO,2025-12-11,amc,1.87,1.95,17465943054,18015000000.0,2025-12-11T16:30:00-05:00
