ticker,earnings_date,announce_timing,eps_est,eps_actual,revenue_est,revenue_actual,event_datetime_et_placeholder
V,2021-01-28,amc,1.28,1.42,5528260000.0,5687000000.0,2021-01-28T16:30:00-05:00
V,2021-04-27,amc,1.27,1.38,5542250000.0,5729000000.0,2021-04-27T16:30:00-04:00
V,2021-07-27,amc,1.35,1.49,6526260000.0,6130000000.0,2021-07-27T16:30:00-04:00
V,2021-10-26,amc,1.54,1.62,6511100000.0,6559000000.0,2021-10-26T16:30:00-04:00
V,2022-01-27,amc,1.7,1.81,6602241176.0,7059000000.0,2022-01-27T16:30:00-05:00
V,2022-04-26,amc,1.65,1.79,6832936649.0,7189000000.0,2022-04-26T16:30:00-04:00
V,2022-07-26,amc,1.75,1.98,7076579410.0,7275000000.0,2022-07-26T16:30:00-04:00
V,2022-10-25,amc,1.86,1.93,7554182372.0,7787000000.0,2022-10-25T16:30:00-04:00
V,2023-01-26,amc,2.01,2.18,7702909080.0,7936000000.0,2023-01-26T16:30:00-05:00
V,2023-04-25,amc,1.99,2.09,7791230000.0,7985000000.0,2023-04-25T16:30:00-04:00
V,2023-07-25,amc,2.12,2.16,8064040000.0,8123000000.0,2023-07-25T16:30:00-04:00
V,2023-10-24,amc,2.24,2.33,8561120000.0,8609000000.0,2023-10-24T16:30:00-04:00
V,2024-01-25,amc,2.34,2.41,8540650000.0,8634000000.0,2024-01-25T16:30:00-05:00
V,2024-04-23,amc,2.44,2.51,8620904071.0,8775000000.0,2024-04-23T16:30:00-04:00
V,2024-07-23,amc,2.42,2.42,8918546662.0,8900000000.0,2024-07-23T16:30:00-04:00
V,2024-10-29,amc,2.58,2.71,9485071952.0,9617000000.0,2024-10-29T16:30:00-04:00
V,2025-01-30,amc,2.66,2.75,9348406752.0,9510000000.0,2025-01-30T16:30:00-05:00
V,2025-04-29,amc,2.68,2.76,9551392546.0,9594000000.0,2025-04-29T16:30:00-04:00
V,2025-07-29,amc,2.85,2.98,9847707112.0,10172000000.0,2025-07-29T16:30:00-04:00
V,2025-10-28,amc,2.97,2.98,10618837361.0,10724000000.0,2025-10-28T16:30:00-04:00
