symbol,date,fiscalYear,period,reportedCurrency,growthRevenue,growthCostOfRevenue,growthGrossProfit,growthGrossProfitRatio,growthResearchAndDevelopmentExpenses,growthGeneralAndAdministrativeExpenses,growthSellingAndMarketingExpenses,growthOtherExpenses,growthOperatingExpenses,growthCostAndExpenses,growthInterestIncome,growthInterestExpense,growthDepreciationAndAmortization,growthEBITDA,growthOperatingIncome,growthIncomeBeforeTax,growthIncomeTaxExpense,growthNetIncome,growthEPS,growthEPSDiluted,growthWeightedAverageShsOut,growthWeightedAverageShsOutDil,growthEBIT,growthNonOperatingIncomeExcludingInterest,growthNetInterestIncome,growthTotalOtherIncomeExpensesNet,growthNetIncomeFromContinuingOperations,growthOtherAdjustmentsToNetIncome,growthNetIncomeDeductions
HD,2021-01-31,2020,Q4,USD,-0.038018845419847326,-0.029438405797101448,-0.054556564245810055,-0.01719131266992364,0,0.0,0.0,0.0625,0.021804966686856452,-0.017640496444010598,-0.09090909090909091,-0.008823529411764706,0.0554675118858954,-0.13378230797233345,-0.15849134377576257,-0.1695777139066991,-0.1759853345554537,-0.16754079254079254,-0.16875,-0.16666666666666674,0.0009319664492078285,0.0,-0.15833847419288505,0.09090909090909091,0.0060790273556231,0.0060790273556231,-0.16754079254079254,0.0,0
HD,2021-05-02,2021,Q1,USD,0.16239422212578655,0.15529631357909474,0.17643800203120671,0.012081770414696292,0,-1.0,-1.0,0.04634581105169341,0.03156490812092472,0.12566541273333806,-0.4,0.005934718100890208,0.05555555555555555,0.36373187644463123,0.41587068332108745,0.4504792332268371,0.44938820912124583,0.45082254112705633,0.45488721804511273,0.45660377358490567,-0.002793296089385475,-0.0027829313543599257,0.4124114341558759,0.4,-0.01834862385321101,-0.01834862385321101,0.45082254112705633,0.0,0
HD,2021-08-01,2021,Q2,USD,0.09648,0.10885370385329994,0.07243760791084602,-0.021926886279437438,0,0.0,0.0,0.010221465076660987,0.009337738830627784,0.08701409249976355,-0.16666666666666666,-0.038348082595870206,0.011379800853485065,0.1332819722650231,0.1484172288531396,0.15969162995594713,0.15963161933998465,0.15971049457177322,0.17312661498708007,0.17357512953367885,-0.012138188608776844,-0.012093023255813953,0.1484172288531396,0.16666666666666666,0.036036036036036036,0.036036036036036036,0.15971049457177322,0.0,0
HD,2021-10-31,2021,Q3,USD,-0.104528430371127,-0.11641714930972935,-0.08064398097328943,0.026672482014644457,0,0.0,0.0,0.011804384485666104,-0.036720751494449186,-0.10017691928420198,2.0,0.046012269938650305,0.004219409282700422,-0.11298436437797417,-0.12712757945473716,-0.13437796771130103,-0.11317008603573792,-0.14104431038069482,-0.13215859030837007,-0.13465783664459166,-0.008506616257088847,-0.00847457627118644,-0.12712757945473716,-2.0,-0.01557632398753894,-0.01557632398753894,-0.14104431038069482,0.0,0
HD,2022-01-31,2021,Q4,USD,-0.029902227050516025,-0.016490085336191614,-0.05579877417814216,-0.026694780483932756,0,0.0,0.0,0.01,0.03974586288416076,-0.004222401289282836,0.2,0.0,0.028011204481792718,-0.14515634580012263,-0.16738567730802417,-0.1768147741817517,-0.1417910447761194,-0.18818115766529425,-0.18020304568527917,-0.18112244897959184,-0.010486177311725452,-0.00949667616334283,-0.16738567730802417,-0.2,0.009202453987730062,0.009202453987730062,-0.18818115766529425,0.0,0
HD,2022-05-01,2022,Q1,USD,0.08928021501161847,0.07989269396822736,0.10816051256111954,0.01733281970322725,0,-1.0,-1.0,0.0,0.025436975984084127,0.06748883278306467,-0.8333333333333334,0.09090909090909091,-0.009536784741144414,0.19401111708804017,0.2288082901554404,0.23500666370502,0.15565217391304348,0.2622315035799523,0.2724458204334366,0.27414330218068533,-0.007707129094412331,-0.00862895493767977,0.2288082901554404,0.8333333333333334,-0.14241486068111456,-0.14241486068111456,0.2622315035799523,0.0,0
HD,2022-07-31,2022,Q2,USD,0.1255268839313252,0.13763925008733455,0.10178775199695701,-0.02109157245574715,0,0.0,0.0,0.0165016501650165,0.00789911308203991,0.10925134176294005,-0.3333333333333333,0.024193548387096774,0.026134800550206328,0.1950743354858087,0.21605667060212513,0.22859712230215828,0.24755455229495862,0.22264240132356417,0.23114355231143532,0.23471882640586797,-0.006796116504854369,-0.008704061895551257,0.21605667060212513,0.3333333333333333,-0.02710027100271003,-0.02710027100271003,0.22264240132356417,0.0,0
HD,2022-10-30,2022,Q3,USD,-0.1123492875411034,-0.1249104370671125,-0.08692950355589311,0.02863714690328679,0,0.0,0.0,-0.012987012987012988,-0.02708648425684037,-0.10546170247662785,2.5,0.08398950131233596,-0.004021447721179625,-0.13319929630560443,-0.14729542302357837,-0.15942028985507245,-0.15379975874547647,-0.16122172820413685,-0.16007905138339915,-0.16039603960396032,-0.002932551319648094,-0.001951219512195122,-0.14729542302357837,-2.5,-0.0712401055408971,-0.0712401055408971,-0.16122172820413685,0.0,0
HD,2023-01-31,2022,Q4,USD,-0.07823111751389175,-0.0679585152838428,-0.09815486993345432,-0.02161469388455502,0,0.0,0.0,0.027960526315789474,0.013849632560768797,-0.05026891578046694,5.142857142857143,0.09200968523002422,0.021534320323014805,-0.19483908379240358,-0.22706571242680545,-0.24346917450365727,-0.3000712758374911,-0.22516708919105785,-0.22117647058823528,-0.22169811320754726,-0.004901960784313725,-0.004887585532746823,-0.2200715679895901,-5.142857142857143,-0.0049261083743842365,-0.0049261083743842365,-0.22516708919105785,0.0,0
HD,2023-04-30,2023,Q1,USD,0.039797940330998295,0.033256640870110855,0.052909609257085356,0.012609823922812699,0,-1.0,0.0,0.0416,-0.023417897964873154,0.020174394285530424,-0.23255813953488372,0.050997782705099776,0.04479578392621871,0.14818149081742887,0.16813973063973064,0.17633517495395948,0.25967413441955195,0.15199286139202856,0.15709969788519637,0.1575757575757576,-0.0049261083743842365,-0.004911591355599214,0.16454640250260688,0.23255813953488372,-0.08088235294117647,-0.08088235294117647,0.15199286139202856,0.0,0
