date,ret_1d,logret_1d,ret_5d,ret_20d,sma_5,ema_5,sma_20,ema_20,sma_50,ema_50,macd_12_26,macd_signal_9,macd_hist,rsi_14,roc_10,mom_10,vol_20,vol_60,atr_14,bb_mid_20,bb_upper_20_2,bb_lower_20_2,bb_width_20_2,obv,cmf_20,mfi_14,hl_range,oc_gap
2023-04-06,-0.022428596382064958,-0.022683942610958324,-0.011190559308729142,0.013471992546440825,475.21591796875,472.9713980061332,469.15938568115234,471.4064482259491,474.98022216796875,470.8547251402975,1.2172564516045554,0.6693127236459854,0.54794372795857,45.36629323343272,-0.0036492238328983406,-1.708984375,0.010308999920343967,0.011301740156907568,8.053567068917411,469.15938568115234,483.3000718307755,455.0186995315292,0.06028094750398266,44197900.0,0.11789528384444738,72.74152502675365,0.021297184800892557,-0.008189659855043076
2023-04-10,0.01615267347119098,0.016023607031568233,-0.006118404252107079,0.04815953598089662,474.63214721679685,473.3617405164586,470.2486511230469,471.66701749367866,474.9110137939453,470.98365456762343,1.2702232323641738,0.7894948253896231,0.48072840697455066,52.711208831184074,-0.00290752075278633,-1.382598876953125,0.009903491501086345,0.011330596161938981,8.565708705357142,470.2486511230469,482.11270325695887,458.38459898913493,0.050458633344628474,45851500.0,0.18944286171826494,72.7771657890687,0.02478583837999444,-0.020108120093529646
2023-04-11,0.009760567543980914,0.009713240911926374,0.0032594341109766223,0.056461746025813886,474.9432373046875,475.1646019133162,471.5280258178711,472.3435229425694,474.8387091064453,471.2890141809336,1.6664230857467146,0.9648804774610414,0.7015426082856732,56.57195073062154,0.011009370834544008,5.213562011718807,0.010037570371256872,0.01132608127158372,8.564278738839286,471.5280258178711,480.9002180285396,462.15583360720257,0.039752429113465035,47398900.0,0.2124682566823295,72.67805954965436,0.014017828777565501,-0.009666113272267168
2023-04-12,-0.018650404574198087,-0.018826516513035213,-0.016836530539288908,0.015417499230971687,473.33404541015625,473.3900894265858,471.8847152709961,472.10519356262233,474.5880096435547,471.23223183866656,1.2455398385325225,1.0210123496753376,0.22452748885718488,48.36696759694251,0.005300242951472134,2.477142333984375,0.010196179162705874,0.011629861323620776,8.724278041294639,471.8847152709961,480.34174088582773,463.42768965616443,0.03584360900511436,45335200.0,0.14016633202157336,65.6449628543471,0.023520954540689292,0.02176355116716093
2023-04-13,0.017451762018509953,0.017301228875185586,0.0015287850969698535,0.025182371567634032,473.4799865722656,474.940265916552,472.47183990478516,472.6704721658473,474.3506317138672,471.4992274095614,1.5556893316266382,1.1279477460655978,0.42774158556104047,54.84367900200493,0.014301092849291708,6.7401123046875,0.010749852718330084,0.011683276833975256,8.733564104352675,472.47183990478516,480.9262620575873,464.01741775198303,0.035788046773352254,46935700.0,0.13911330729059598,71.59810818138992,0.01632891731832207,-0.008837342153104593
2023-04-14,-0.013235970528142293,-0.01332434668177075,0.010946695000284112,0.008291129587883805,474.5015441894531,473.8646063955399,472.66578369140626,472.57931170753,473.8569323730469,471.50762191716746,1.276210898781187,1.1576003766087157,0.11861052217247137,49.66636710282244,-0.0003663639480802061,-0.172882080078125,0.01121527346511748,0.011652146728384029,8.790706089564727,472.66578369140626,480.8457892665399,464.4857781162726,0.034612218008461516,45260400.0,0.07127741653346334,65.29669780257228,0.020781582961041236,0.009953215489388908
2023-04-17,0.005373582019034595,0.005359195841036336,0.0002228272556481503,0.014146412771586458,474.5226745605469,473.99243006121935,472.99654998779295,472.73824177277265,473.29064453125,471.61509075934043,1.2449080738983866,1.17506191606665,0.06984615783173664,51.63609045120236,-0.0058969403436873735,-2.813201904296875,0.011266957888268416,0.011529946281699576,8.747137887137272,472.99654998779295,480.84804594113535,465.14505403445054,0.03319895654014829,46672200.0,0.03394254161158322,65.24019633832057,0.013645423975865696,-0.0023687359232929675
2023-04-18,0.005992602007147907,0.005974717780873344,-0.0035095477878931414,0.015553079100018019,474.18662109375,475.02497249849523,473.3618789672852,473.1527004013702,472.94691772460936,471.82979533242695,1.4329067357637655,1.2266308800060732,0.20627585575769225,53.81822383498142,-0.0002615528166903802,-0.12481689453125,0.011296345513025946,0.011352923130635179,8.392852783203121,473.3618789672852,481.2636723787303,465.46008555584007,0.03338584606214654,48011800.0,0.0375921278385013,70.47527069673275,0.007063815272165641,-0.0016099573411051515
2023-04-19,-0.0017508793895999464,-0.0017524139704239656,0.01365071352149605,0.010553104382169609,475.4693542480469,475.4348917405333,473.6105529785156,473.4481318131073,472.5713116455078,472.00332219094395,1.4972339292500578,1.2807514898548702,0.21648243939518763,53.060430247676365,-0.0034156476728806062,-1.6322937011719318,0.011294802705056065,0.011349193491211645,8.304282052176339,473.6105529785156,481.54959583513994,465.6715101218913,0.03352561638120621,46913000.0,0.02153727545598183,65.59331828693327,0.008386596924272564,0.0022176201161677334
2023-04-20,0.019252892252713094,0.019069900341566703,0.0154451150009558,0.037044624012358085,476.94603271484374,478.76459823717846,474.47755279541013,474.5886917576179,472.36104187011716,472.5296237219057,2.262022848497338,1.4770057615833638,0.7850170869139743,59.758624678542,0.016997512359560263,8.113098144531193,0.011877786752072869,0.011686799504302552,9.038567679268974,474.47755279541013,483.5777703293302,465.3773352614901,0.03835889592797645,49849500.0,0.08148251857508568,67.43095458276667,0.029965572805202196,-0.019442989899404503
