ticker,earnings_date,announce_timing,eps_est,eps_actual,revenue_est,revenue_actual,event_datetime_et_placeholder
NVDA,2021-02-24,amc,0.07,0.08,4814350000.0,5003000000.0,2021-02-24T16:30:00-05:00
NVDA,2021-05-26,amc,0.08,0.09,5318430000.0,5661000000.0,2021-05-26T16:30:00-04:00
NVDA,2021-08-18,amc,0.1,0.1,6816700000.0,6507000000.0,2021-08-18T16:30:00-04:00
NVDA,2021-11-17,amc,0.11,0.12,7413390000.0,7103000000.0,2021-11-17T16:30:00-05:00
NVDA,2022-02-16,amc,0.12,0.13,7420320441.0,7643000000.0,2022-02-16T16:30:00-05:00
NVDA,2022-05-25,amc,0.13,0.14,8123361361.0,8288000000.0,2022-05-25T16:30:00-04:00
NVDA,2022-08-24,amc,0.06,0.05,6699486570.0,6704000000.0,2022-08-24T16:30:00-04:00
NVDA,2022-11-16,amc,0.07,0.06,5780771964.0,5931000000.0,2022-11-16T16:30:00-05:00
NVDA,2023-02-22,amc,0.08,0.09,6015051686.0,6051000000.0,2023-02-22T16:30:00-05:00
NVDA,2023-05-24,amc,0.09,0.11,6516830000.0,7192000000.0,2023-05-24T16:30:00-04:00
NVDA,2023-08-23,amc,0.21,0.27,11224000000.0,13507000000.0,2023-08-23T16:30:00-04:00
NVDA,2023-11-21,amc,0.34,0.4,15194600000.0,18120000000.0,2023-11-21T16:30:00-05:00
NVDA,2024-02-21,amc,0.46,0.52,20238800000.0,22103000000.0,2024-02-21T16:30:00-05:00
NVDA,2024-05-22,amc,0.56,0.61,24592795107.0,26044000000.0,2024-05-22T16:30:00-04:00
NVDA,2024-08-28,amc,0.64,0.68,28779505589.0,30040000000.0,2024-08-28T16:30:00-04:00
NVDA,2024-11-20,amc,0.75,0.81,33171592429.0,35082000000.0,2024-11-20T16:30:00-05:00
NVDA,2025-02-26,amc,0.848,0.89,38101348563.0,39331000000.0,2025-02-26T16:30:00-05:00
NVDA,2025-05-28,amc,0.737,0.81,43334160366.0,44062000000.0,2025-05-28T16:30:00-04:00
NVDA,2025-08-27,amc,1.01,1.05,46048920689.0,46743000000.0,2025-08-27T16:30:00-04:00
NVDA,2025-11-19,amc,1.26,1.3,54913638815.0,57006000000.0,2025-11-19T16:30:00-05:00
