ticker,earnings_date,day0_date,tr_lm_constr_prop__all__all,tr_lm_constr_prop__prepared__all,tr_lm_constr_prop__qa__all,tr_lm_lit_prop__all__all,tr_lm_lit_prop__prepared__all,tr_lm_lit_prop__qa__all,tr_lm_neg_prop__all__all,tr_lm_neg_prop__prepared__all,tr_lm_neg_prop__qa__all,tr_lm_pos_prop__all__all,tr_lm_pos_prop__prepared__all,tr_lm_pos_prop__qa__all,tr_lm_tone__all__all,tr_lm_tone__prepared__all,tr_lm_tone__qa__all,tr_lm_unc_prop__all__all,tr_lm_unc_prop__prepared__all,tr_lm_unc_prop__qa__all,tr_n_tokens__all__all,tr_n_tokens__prepared__all,tr_n_tokens__qa__all
MU,2021-03-31,2021-04-01,0.004118993135011442,0.004030226700251889,0.0041928721174004195,0.0002288329519450801,0.0,0.0004192872117400419,0.013501144164759725,0.015113350125944584,0.012159329140461216,0.035240274599542334,0.04332493702770781,0.02851153039832285,0.021739130434782608,0.028211586901763223,0.016352201257861635,0.021281464530892448,0.01964735516372796,0.022641509433962263,8740.0,3970.0,4770.0
MU,2021-06-30,2021-07-01,0.004724781478856603,0.0030877812086457872,0.006612410986775178,0.0007087172218284905,0.0,0.001525940996948118,0.013701866288684148,0.008381120423467137,0.019837232960325534,0.039451925348452634,0.05205116894574327,0.024923702950152594,0.025750059059768484,0.043670048522276135,0.00508646998982706,0.022678951098511695,0.020732245258050286,0.024923702950152594,8466.0,4534.0,3932.0
MU,2021-09-28,2021-09-29,0.0031942078364565587,0.002708803611738149,0.0036275695284159614,0.00042589437819420784,0.0004514672686230248,0.00040306328093510683,0.013628620102214651,0.007223476297968397,0.019347037484885126,0.03726575809199319,0.046501128668171555,0.02902055622732769,0.023637137989778536,0.03927765237020316,0.009673518742442563,0.015332197614991482,0.012641083521444696,0.0177347843611447,9392.0,4430.0,4962.0
MU,2021-12-20,2021-12-21,0.0041033067825247405,0.0033034450212364322,0.004940711462450593,0.0009654839488293508,0.0,0.001976284584980237,0.01255129133478156,0.012741859367626238,0.012351778656126482,0.03958484190200338,0.045776309579990564,0.033102766798418976,0.02703355056722182,0.03303445021236432,0.020750988142292492,0.014965001206854936,0.01368570080226522,0.016304347826086956,8286.0,4238.0,4048.0
MU,2022-03-29,2022-03-30,0.001991040318566451,0.003484320557491289,0.0004977600796416127,0.0,0.0,0.0,0.012941762070681932,0.010950721752115481,0.014932802389248382,0.04629168740666999,0.04430064708810354,0.04828272772523644,0.03334992533598805,0.03334992533598805,0.03334992533598805,0.010950721752115481,0.01443504230960677,0.007466401194624191,8036.0,4018.0,4018.0
MU,2022-06-30,2022-07-01,0.002324980625161457,0.0015337423312883436,0.003133159268929504,0.0002583311805734952,0.0005112474437627812,0.0,0.020149832084732627,0.016359918200409,0.02402088772845953,0.03539137173856884,0.04294478527607362,0.027676240208877285,0.015241539653836218,0.026584867075664622,0.0036553524804177544,0.018083182640144666,0.015848670756646217,0.020365535248041775,7742.0,3912.0,3830.0
MU,2022-09-29,2022-09-30,0.0030257186081694403,0.003861003861003861,0.001834862385321101,0.0007564296520423601,0.000858000858000858,0.0006116207951070336,0.02042360060514372,0.02059202059202059,0.02018348623853211,0.02773575390821987,0.03517803517803518,0.01712538226299694,0.007312153303076148,0.014586014586014585,-0.0030581039755351682,0.01739788199697428,0.015015015015015015,0.020795107033639144,7932.0,4662.0,3270.0
MU,2022-12-21,2022-12-22,0.000536480686695279,0.0004952947003467063,0.0005851375073142189,0.0002682403433476395,0.0004952947003467063,0.0,0.028701716738197425,0.02773650321941555,0.02984201287302516,0.03084763948497854,0.0316988608221892,0.02984201287302516,0.002145922746781116,0.00396235760277365,0.0,0.01984978540772532,0.018821198613174838,0.021064950263311878,7456.0,4038.0,3418.0
MU,2023-03-28,2023-03-29,0.0016029922522041143,0.0015212981744421906,0.0016939582156973462,0.0005343307507347048,0.0010141987829614604,0.0,0.028319529788939354,0.027890466531440162,0.028797289666854884,0.03580016029922522,0.03701825557809331,0.034443817052512704,0.007480630510285867,0.009127789046653144,0.00564652738565782,0.017365749398877906,0.019269776876267748,0.015245623941276116,7486.0,3944.0,3542.0
MU,2023-06-28,2023-06-29,0.0035353535353535356,0.0009474182851729038,0.006489994591671174,0.0015151515151515152,0.0009474182851729038,0.002163331530557058,0.01919191919191919,0.01752723827569872,0.021092482422931314,0.036616161616161616,0.04452865940312648,0.027582477014602487,0.017424242424242425,0.02700142112742776,0.006489994591671174,0.02095959595959596,0.016579819990525817,0.025959978366684695,7920.0,4222.0,3698.0
MU,2023-09-27,2023-09-28,0.0038510911424903724,0.0022471910112359553,0.007346938775510204,0.00025673940949935817,0.0003745318352059925,0.0,0.018228498074454428,0.017602996254681647,0.019591836734693877,0.04338896020539153,0.04307116104868914,0.044081632653061226,0.0251604621309371,0.02546816479400749,0.024489795918367346,0.013607188703465983,0.011235955056179775,0.018775510204081632,7790.0,5340.0,2450.0
MU,2023-12-20,2023-12-21,0.004050632911392405,0.003527336860670194,0.0047562425683709865,0.00025316455696202533,0.0,0.0005945303210463733,0.01240506329113924,0.012345679012345678,0.01248513674197384,0.047341772151898734,0.04894179894179894,0.04518430439952437,0.034936708860759495,0.03659611992945326,0.032699167657550536,0.009873417721518988,0.01146384479717813,0.0077288941736028535,7900.0,4536.0,3364.0
