ticker,event_date,phase,publisher,n_units
AAPL,2021-04-28,post,nypost.com,2
AAPL,2021-04-28,post,nytimes.com,1
AAPL,2021-04-28,post,proactiveinvestors.co.uk,4
AAPL,2021-04-28,post,pulse2.com,5
AAPL,2021-04-28,post,pymnts.com,2
AAPL,2021-04-28,post,reuters.com,11
AAPL,2021-04-28,post,schaeffersresearch.com,1
AAPL,2021-04-28,post,seekingalpha.com,22
AAPL,2021-04-28,post,techcrunch.com,2
AAPL,2021-04-28,post,thedogofwallstreet.com,1
AAPL,2021-04-28,post,theguardian.com,2
AAPL,2021-04-28,post,venturebeat.com,2
AAPL,2021-04-28,post,zacks.com,28
AAPL,2021-04-28,pre,247wallst.com,5
AAPL,2021-04-28,pre,barrons.com,6
AAPL,2021-04-28,pre,benzinga.com,12
AAPL,2021-04-28,pre,businessinsider.com,7
AAPL,2021-04-28,pre,businesswire.com,18
AAPL,2021-04-28,pre,cnbc.com,14
AAPL,2021-04-28,pre,cnet.com,3
AAPL,2021-04-28,pre,cnn.com,8
AAPL,2021-04-28,pre,deadline.com,5
AAPL,2021-04-28,pre,fool.com,14
AAPL,2021-04-28,pre,forbes.com,5
AAPL,2021-04-28,pre,foxbusiness.com,1
AAPL,2021-04-28,pre,gurufocus.com,1
AAPL,2021-04-28,pre,investopedia.com,1
AAPL,2021-04-28,pre,investorplace.com,14
AAPL,2021-04-28,pre,invezz.com,3
AAPL,2021-04-28,pre,marketwatch.com,10
AAPL,2021-04-28,pre,nypost.com,1
AAPL,2021-04-28,pre,proactiveinvestors.co.uk,5
AAPL,2021-04-28,pre,proactiveinvestors.com,1
AAPL,2021-04-28,pre,pulse2.com,1
AAPL,2021-04-28,pre,pymnts.com,7
AAPL,2021-04-28,pre,reuters.com,15
AAPL,2021-04-28,pre,schaeffersresearch.com,1
AAPL,2021-04-28,pre,seekingalpha.com,8
AAPL,2021-04-28,pre,techcrunch.com,12
AAPL,2021-04-28,pre,theguardian.com,2
AAPL,2021-04-28,pre,zacks.com,30
AAPL,2021-07-27,post,247wallst.com,3
AAPL,2021-07-27,post,barrons.com,5
AAPL,2021-07-27,post,benzinga.com,13
AAPL,2021-07-27,post,businessinsider.com,2
AAPL,2021-07-27,post,businesswire.com,1
AAPL,2021-07-27,post,cnbc.com,10
AAPL,2021-07-27,post,cnn.com,3
AAPL,2021-07-27,post,fool.com,19
AAPL,2021-07-27,post,forbes.com,1
