ticker,earnings_date,day0_date,nw_lm_constr_prop__all,nw_lm_constr_prop__post,nw_lm_constr_prop__pre,nw_lm_lit_prop__all,nw_lm_lit_prop__post,nw_lm_lit_prop__pre,nw_lm_neg_prop__all,nw_lm_neg_prop__post,nw_lm_neg_prop__pre,nw_lm_pos_prop__all,nw_lm_pos_prop__post,nw_lm_pos_prop__pre,nw_lm_tone__all,nw_lm_tone__post,nw_lm_tone__pre,nw_lm_unc_prop__all,nw_lm_unc_prop__post,nw_lm_unc_prop__pre,nw_n_tokens__all,nw_n_tokens__post,nw_n_tokens__pre,nw_lm_pos_prop__post_minus_pre,nw_lm_neg_prop__post_minus_pre,nw_lm_unc_prop__post_minus_pre,nw_lm_lit_prop__post_minus_pre,nw_lm_constr_prop__post_minus_pre,nw_lm_tone__post_minus_pre
WMT,2021-03-19,2021-03-19,0.005130228887134964,0.005509641873278237,0.0046210720887245845,0.03374112075769534,0.03409090909090909,0.033271719038817,0.03374112075769534,0.029614325068870524,0.03927911275415896,0.020915548539857932,0.01790633608815427,0.024953789279112754,-0.012825572217837412,-0.011707988980716254,-0.01432532347504621,0.012036306235201263,0.009986225895316805,0.014787430683918669,5068.0,2904.0,2164.0,-0.007047453190958484,-0.009664787685288438,-0.004801204788601864,0.000819190052092085,0.0008885697845536526,0.002617334494329956
WMT,2021-05-18,2021-05-18,0.0012363996043521265,0.001976284584980237,0.0,0.000741839762611276,0.0007905138339920949,0.0006605019815059445,0.012363996043521267,0.008300395256916997,0.01915455746367239,0.025222551928783383,0.02450592885375494,0.026420079260237782,0.012858555885262116,0.016205533596837945,0.00726552179656539,0.014094955489614243,0.008695652173913044,0.023117569352708058,4044.0,2530.0,1514.0,-0.0019141504064828403,-0.010854162206755395,-0.014421917178795015,0.00013001185248615033,0.001976284584980237,0.008940011800272554
WMT,2021-08-17,2021-08-17,0.0022299306243805748,0.0027602523659305996,0.0013333333333333333,0.007185332011892963,0.00946372239747634,0.0033333333333333335,0.015113974231912785,0.01774447949526814,0.010666666666666666,0.02651139742319128,0.02444794952681388,0.03,0.011397423191278493,0.006703470031545741,0.019333333333333334,0.010158572844400396,0.007097791798107256,0.015333333333333332,4036.0,2536.0,1500.0,-0.005552050473186118,0.007077812828601473,-0.008235541535226078,0.006130389064143007,0.0014269190325972663,-0.012629863301787593
WMT,2021-11-16,2021-11-16,0.0018746094563632577,0.0029122679286494356,0.0004868549172346641,0.0045823786711101855,0.00691663633054241,0.0014605647517039922,0.018954384503228495,0.02074990899162723,0.016553067185978577,0.026661112268277443,0.03167091372406261,0.019961051606621226,0.007706727765048948,0.010921004732435385,0.0034079844206426485,0.010414496979795875,0.009100837277029487,0.012171372930866602,4801.0,2747.0,2054.0,0.011709862117441384,0.004196841805648652,-0.0030705356538371156,0.005456071578838418,0.0024254130114147714,0.007513020311792736
WMT,2022-02-17,2022-02-17,0.004907115317209955,0.003259452411994785,0.006823351023502654,0.0007010164738871364,0.001303780964797914,0.0,0.011566771819137749,0.00651890482398957,0.017437452615617893,0.02909218366631616,0.04106910039113429,0.015163002274450341,0.01752541184717841,0.03455019556714472,-0.002274450341167551,0.012618296529968454,0.007822685788787484,0.01819560272934041,2853.0,1534.0,1319.0,0.02590609811668395,-0.010918547791628323,-0.010372916940552925,0.001303780964797914,-0.003563898611507869,0.03682464590831227
WMT,2022-05-17,2022-05-17,0.0019148936170212765,0.0025999350016249595,0.0006161429451632779,0.003404255319148936,0.004874878128046799,0.0006161429451632779,0.0225531914893617,0.020799480012999676,0.025878003696857672,0.020638297872340425,0.021124471888202795,0.019716574245224893,-0.0019148936170212765,0.00032499187520311994,-0.0061614294516327784,0.020638297872340425,0.022424439389015276,0.01725200246457178,4700.0,3077.0,1623.0,0.0014078976429779018,-0.005078523683857996,0.0051724369244434965,0.004258735182883521,0.0019837920564616815,0.006486421326835899
WMT,2022-08-16,2022-08-16,0.0,0.0,0.0,0.002662843097091356,0.003142183817753339,0.0021404109589041095,0.01249487914789021,0.015318146111547526,0.009417808219178082,0.029291274068004917,0.032992930086410056,0.025256849315068493,0.016796394920114706,0.01767478397486253,0.015839041095890412,0.009012699713232281,0.0054988216810683424,0.012842465753424657,4882.0,2546.0,2336.0,0.007736080771341563,0.005900337892369444,-0.007343644072356314,0.0010017728588492293,0.0,0.0018357428789721186
WMT,2022-11-15,2022-11-15,0.0015655577299412916,0.0,0.0029304029304029304,0.020352250489236792,0.010084033613445379,0.029304029304029304,0.022309197651663407,0.023529411764705882,0.021245421245421246,0.03444227005870842,0.03949579831932773,0.030036630036630037,0.01213307240704501,0.015966386554621848,0.008791208791208791,0.015655577299412915,0.009243697478991597,0.021245421245421246,2555.0,1190.0,1365.0,0.009459168282697692,0.0022839905192846358,-0.01200172376642965,-0.019219995690583927,-0.0029304029304029304,0.007175177763413056
WMT,2023-02-21,2023-02-21,0.0009235742322789194,0.0009398496240601503,0.000877963125548727,0.00023089355806972986,0.0003132832080200501,0.0,0.01616254906488109,0.016290726817042606,0.015803336259877086,0.03163241745555299,0.03446115288220551,0.02370500438981563,0.0154698683906719,0.018170426065162906,0.007901668129938543,0.010851997229277302,0.009085213032581453,0.015803336259877086,4331.0,3192.0,1139.0,0.010756148492389882,0.0004873905571655193,-0.006718123227295633,0.0003132832080200501,6.188649851142337e-05,0.010268757935224363
WMT,2023-05-18,2023-05-18,0.001418942887548776,0.0015045135406218655,0.0012121212121212121,0.001418942887548776,0.0010030090270812437,0.0024242424242424242,0.012770485987938986,0.011033099297893681,0.01696969696969697,0.028024122029088328,0.03159478435305918,0.019393939393939394,0.015253636041149344,0.020561685055165497,0.0024242424242424242,0.015608371763036538,0.01354062186559679,0.020606060606060607,2819.0,1994.0,825.0,0.012200844959119786,-0.00593659767180329,-0.007065438740463817,-0.0014212333971611805,0.00029239232850065337,0.018137442630923074
