ticker,earnings_date,announce_timing,pre_close_date,day0_date,dt_m5,dt_m1,dt_p1,dt_p5,dt_p10,path_start,path_end,pre_bdays,post_bdays,event_date_dt,sur_period_end,sur_quarter_rank,sur_actual_revenue,sur_actual_ebitda,sur_actual_ebit,sur_actual_netIncome,sur_actual_eps,sur_est_revenue,sur_est_ebitda,sur_est_ebit,sur_est_netIncome,sur_est_eps,sur_surprise_revenue,sur_surprise_revenue_pct,sur_surprise_ebitda,sur_surprise_ebitda_pct,sur_surprise_ebit,sur_surprise_ebit_pct,sur_surprise_netIncome,sur_surprise_netIncome_pct,sur_surprise_eps,sur_surprise_eps_pct,sur_period_end_dt,gro_symbol,gro_date,gro_fiscalYear,gro_period,gro_reportedCurrency,gro_growthRevenue,gro_growthCostOfRevenue,gro_growthGrossProfit,gro_growthGrossProfitRatio,gro_growthResearchAndDevelopmentExpenses,gro_growthGeneralAndAdministrativeExpenses,gro_growthSellingAndMarketingExpenses,gro_growthOtherExpenses,gro_growthOperatingExpenses,gro_growthCostAndExpenses,gro_growthInterestIncome,gro_growthInterestExpense,gro_growthDepreciationAndAmortization,gro_growthEBITDA,gro_growthOperatingIncome,gro_growthIncomeBeforeTax,gro_growthIncomeTaxExpense,gro_growthNetIncome,gro_growthEPS,gro_growthEPSDiluted,gro_growthWeightedAverageShsOut,gro_growthWeightedAverageShsOutDil,gro_growthEBIT,gro_growthNonOperatingIncomeExcludingInterest,gro_growthNetInterestIncome,gro_growthTotalOtherIncomeExpensesNet,gro_growthNetIncomeFromContinuingOperations,gro_growthOtherAdjustmentsToNetIncome,gro_growthNetIncomeDeductions,gro_period_end_dt,gro_period_end,est_date_x,est_symbol,est_estimate_date_raw,est_revenueLow,est_revenueHigh,est_revenueAvg,est_ebitdaLow,est_ebitdaHigh,est_ebitdaAvg,est_ebitLow,est_ebitHigh,est_ebitAvg,est_netIncomeLow,est_netIncomeHigh,est_netIncomeAvg,est_sgaExpenseLow,est_sgaExpenseHigh,est_sgaExpenseAvg,est_epsAvg,est_epsHigh,est_epsLow,est_numAnalystsRevenue,est_numAnalystsEps,est_period_end_dt,est_period_end
WMT,2021-03-19,bmo,2021-03-18,2021-03-19,2021-03-12,2021-03-18,2021-03-22,2021-03-26,2021-04-05,2021-03-12,2021-04-05,5,10,2021-03-19,2021-01-31,1,152079000000,2750000000,-69000000,-2091000000,-0.25,148494808216,8956118643,4994542372,4438728813,0.50217,3584191784,2.4136815468904795,-6206118643,-69.29473458740559,-5063542372,-101.38150795129545,-6529728813,-147.10808179756216,-0.75217,-149.78393771033714,2021-01-31,WMT,2021-01-31,2021,Q4,USD,0.128952994625412,0.1487158532574572,0.0712560737874247,-0.0511065749144423,0,0.0958343534678745,0,0.0,0.0958343534678745,0.1369890638330877,0.2,-0.0314232902033271,0.0173222663298448,-0.7362616284645631,-0.0503634475597092,-1.0833450456781448,-0.2607105538140021,-1.407205452775073,-1.4166666666666667,-1.4166666666666667,-0.0024708789269325,-0.008073008073008,-1.009012539184953,3.9584664536741214,0.0426356589147286,-5.547494390426327,-1.3860796000769082,0.0,0,2021-01-31,2021-01-31,2021-01-31,WMT,2021-01-30,147049502232,150227512472,148494808216,7164894915,10747342372,8956118643,3995633898,5993450847,4994542372,3550983050,5326474576,4438728813,19771403389,29657105083,24714254236,0.50217,0.50979,0.49582,11,10,2021-01-31,2021-01-31
WMT,2021-05-18,bmo,2021-05-17,2021-05-18,2021-05-11,2021-05-17,2021-05-19,2021-05-25,2021-06-02,2021-05-11,2021-06-02,5,10,2021-05-18,2021-04-30,2,138310000000,7071000000,4410000000,2730000000,0.32,132155549626,2878947019,5923052980,-2257172185,0.40403,6154450374,4.656974596539521,4192052981,145.61063310071285,-1513052980,-25.54515357382469,4987172185,220.94779557103217,-0.08403,-20.797960547484095,2021-04-30,WMT,2021-04-30,2022,Q1,USD,-0.0905384701372313,-0.1040161025845689,-0.0483459177576185,0.046392894341068,0,-0.1021990999329737,0,0.0,-0.1021990999329737,-0.1036277559484828,0.0,0.0801526717557251,-0.0560482440581766,1.5712727272727274,0.2591580098414434,7.482293423271501,-0.269964664310954,2.3055954088952655,2.28,2.28,-0.0038924274593064,0.0010615711252653,64.91304347826087,-0.5502159827213823,-0.0850202429149797,0.4958881578947368,2.3999003984063747,0.0,0,2021-04-30,2021-04-30,2021-04-30,WMT,2021-04-29,130869274308,133697600058,132155549626,2303157615,3454736423,2878947019,4738442384,7107663576,5923052980,-2708606622,-1805737748,-2257172185,27056704635,40585056953,33820880794,0.40403,0.41016,0.39892,10,9,2021-04-30,2021-04-30
WMT,2021-08-17,bmo,2021-08-16,2021-08-17,2021-08-10,2021-08-16,2021-08-18,2021-08-24,2021-08-31,2021-08-10,2021-08-31,5,10,2021-08-17,2021-07-31,3,141048000000,9079000000,6438000000,4276000000,0.51,137016773443,4217107437,4168239669,1647024793,0.52422,4031226557,2.942140918737238,4861892563,115.28974861638082,2269760331,54.45369055624714,2628975207,159.61964981786403,-0.01422,-2.712601579489529,2021-07-31,WMT,2021-07-31,2022,Q2,USD,0.0197961101872605,0.0185045317220543,0.0236029453735943,0.0037329374776237,0,0.0135802908030857,0,0.0,0.0135802908030857,0.0174503999208529,0.2333333333333333,-0.0901060070671378,-0.0075159714393085,0.283976806675152,0.0644087422202923,0.5408428720083247,0.5091965150048403,0.5663003663003663,0.59375,0.59375,-0.005683836589698,-0.0060091905266878,0.4598639455782313,-0.633453381352541,0.1082089552238805,0.5331158238172921,0.552472429740306,0.0,0,2021-07-31,2021-07-31,2021-07-31,WMT,2021-07-30,135683183636,138615546823,137016773443,3373685950,5060528925,4217107437,3334591735,5001887603,4168239669,1317619834,1976429752,1647024793,13576310743,20364466115,16970388429,0.52422,0.53217,0.51759,21,21,2021-07-31,2021-07-31
WMT,2021-11-16,bmo,2021-11-15,2021-11-16,2021-11-09,2021-11-15,2021-11-17,2021-11-23,2021-12-01,2021-11-09,2021-12-01,5,10,2021-11-16,2021-10-31,4,140525000000,7283000000,4633000000,3105000000,0.37,135427267327,7723038461,6316897435,3672974358,0.46646,5097732673,3.764184845206332,-440038461,-5.6977375319586665,-1683897435,-26.657033018615095,-567974358,-15.463608036438131,-0.0964599999999999,-20.679157912789947,2021-10-31,WMT,2021-10-31,2022,Q3,USD,-0.0037079575747263,-0.0015211583620927,-0.0101212881639481,-0.0064371994738655,0,0.042053944091754,0,0.0,0.042053944091754,0.0077714781515999,0.1891891891891892,-0.0563106796116504,0.0034078000757288,-0.1978191430774314,-0.2124014141963557,-0.299848049974675,-0.3489416292495189,-0.2738540692235734,-0.2745098039215686,-0.2745098039215686,-0.0050017863522686,-0.0053342816500711,-0.2803665734700217,0.2652838427947598,0.0753138075313807,-0.1495457721872816,-0.2823098075160403,0.0,0,2021-10-31,2021-10-31,2021-10-31,WMT,2021-10-30,134109148248,137007493634,135427267327,6178430769,9267646153,7723038461,5053517948,7580276923,6316897435,2938379487,4407569230,3672974358,19592174358,29388261538,24490217948,0.46646,0.47354,0.46056,13,13,2021-10-31,2021-10-31
WMT,2022-02-17,bmo,2022-02-16,2022-02-17,2022-02-10,2022-02-16,2022-02-18,2022-02-25,2022-03-04,2022-02-10,2022-03-04,5,10,2022-02-17,2022-01-31,5,152871000000,7915000000,5209000000,3562000000,0.43,151720036005,6996857142,5585142856,2994107142,0.49857,1150963995,0.7586104151478513,918142858,13.1222181526141,-376142856,-6.73470429849288,567892858,18.967018582396474,-0.06857,-13.75333453677518,2022-01-31,WMT,2022-01-31,2022,Q4,USD,0.0878562533357053,0.0999685783114175,0.0520252380147597,-0.0329372700872838,0,0.058970043756311,0,0.0,0.058970043756311,0.0909279834932793,0.0681818181818181,-0.1213991769547325,0.0211320754716981,0.0867774268845256,0.0164019337016574,0.1531227393296358,0.1320197044334975,0.1471819645732689,0.1621621621621621,0.1621621621621621,-0.0057450628366247,-0.0053628888094386,0.124325491042521,-0.4150129421915444,0.1402714932126696,0.3282674772036474,0.1599616858237547,0.0,0,2022-01-31,2022-01-31,2022-01-31,WMT,2022-01-30,150243338748,153490373670,151720036005,5597485714,8396228570,6996857142,4468114285,6702171428,5585142856,2395285714,3592928571,2994107142,22919142857,34378714285,28648928571,0.49857,0.50613,0.49226,12,26,2022-01-31,2022-01-31
WMT,2022-05-17,bmo,2022-05-16,2022-05-17,2022-05-10,2022-05-16,2022-05-18,2022-05-24,2022-06-01,2022-05-10,2022-06-01,5,10,2022-05-17,2022-04-30,6,141569000000,6036000000,3356000000,2054000000,0.25,138803387682,7687120000,5769260000,3490760000,0.49261,2765612318,1.9924674492354943,-1651120000,-21.479045468263795,-2413260000,-41.82962806321781,-1436760000,-41.1589453299568,-0.24261,-49.249913724853336,2022-04-30,WMT,2022-04-30,2023,Q1,USD,-0.0739316155451328,-0.075093921504129,-0.0703365551955875,0.003882067953785,0,-0.0654122433411734,0,0.0,-0.0654122433411734,-0.0730215533663528,-0.2340425531914893,0.0655737704918032,-0.0096082779009608,-0.2373973468098547,-0.0966536436215389,-0.3933500627352572,-0.3054830287206266,-0.4233576642335766,-0.4186046511627906,-0.4186046511627906,-0.0054171180931744,-0.0061107117181883,-0.3557304665002879,1.893805309734513,-0.1026315789473684,-1.1873303167420814,-0.4211395540875309,0.0,0,2022-04-30,2022-04-30,2022-04-30,WMT,2022-04-29,137452408686,140423008081,138803387682,6149696000,9224544000,7687120000,4615408000,6923112000,5769260000,2792608000,4188912000,3490760000,24666208000,36999312000,30832760000,0.49261,0.50008,0.48638,21,14,2022-04-30,2022-04-30
WMT,2022-08-16,bmo,2022-08-15,2022-08-16,2022-08-09,2022-08-15,2022-08-17,2022-08-23,2022-08-30,2022-08-09,2022-08-30,5,10,2022-08-16,2022-07-31,7,152859000000,9822000000,7123000000,5149000000,0.63,150994235054,4638818181,4585063635,1811727272,0.53975,1864764946,1.234990822883473,5183181819,111.73496388001676,2537936365,55.35226044905264,3337272728,184.2039240440379,0.09025,16.720704029643365,2022-07-31,WMT,2022-07-31,2023,Q2,USD,0.079749097613178,0.0841483616760414,0.066211623754392,-0.0125376110898531,0,0.025948850496531,0,0.0,0.025948850496531,0.0715884654057584,-0.1388888888888889,0.0527472527472527,0.0070895522388059,0.6272365805168986,0.2888303873636705,1.2902447431920028,0.8759398496240601,1.5068159688412852,1.52,1.52,-0.0055613652868554,-0.0072332730560578,1.1224672228843862,-1.13710499490316,-0.0692124105011933,0.913115432354158,1.4474560152163576,0.0,0,2022-07-31,2022-07-31,2022-07-31,WMT,2022-07-30,149524602047,152756103747,150994235054,3711054545,5566581817,4638818181,3668050908,5502076363,4585063635,1449381817,2174072727,1811727272,14933941817,22400912726,18667427271,0.53975,0.54794,0.53292,12,17,2022-07-31,2022-07-31
WMT,2022-11-15,bmo,2022-11-14,2022-11-15,2022-11-08,2022-11-14,2022-11-16,2022-11-22,2022-11-30,2022-11-08,2022-11-30,5,10,2022-11-15,2022-10-31,8,152813000000,1908000000,-847000000,-1798000000,-0.22,147667801623,8495342306,6948587178,4040271794,0.44025,5145198377,3.4843062065323047,-6587342306,-77.54063425257817,-7795587178,-112.18952829262469,-5838271794,-144.5019565928737,-0.66025,-149.97160704145372,2022-10-31,WMT,2022-10-31,2023,Q3,USD,-0.0003009309232691,-0.0019423677894991,0.0048350935955268,0.0051375707176021,0,0.1437995160274472,0,0.0,0.1437995160274472,0.028170268141502,1.7096774193548387,0.2192066805845511,0.0207484253427195,-0.805742211362248,-0.6067989495185293,-1.215382299819386,-0.7755511022044088,-1.349194018255972,-1.349206349206349,-1.349206349206349,-0.0101085046686656,-0.0123861566484517,-1.11891057138846,14.16728624535316,-0.1160714285714285,-18.64761904761905,-1.3433067806489216,0.0,0,2022-10-31,2022-10-31,2022-10-31,WMT,2022-10-30,146230544927,149390855993,147667801623,6796273845,10194410768,8495342306,5558869742,8338304615,6948587178,3232217435,4848326153,4040271794,21551391793,32327087691,26939239742,0.44025,0.44693,0.43468,24,27,2022-10-31,2022-10-31
WMT,2023-02-21,bmo,2023-02-17,2023-02-21,2023-02-13,2023-02-17,2023-02-22,2023-02-28,2023-03-07,2023-02-13,2023-03-07,5,10,2023-02-21,2023-01-31,9,164048000000,12323000000,9512000000,6275000000,0.78,159759379565,7696542856,6143657141,3293517856,0.50789,4288620435,2.684424818547273,4626457144,60.11084756571387,3368342859,54.82634824331581,2981482144,90.52576225049012,0.2721100000000001,53.57656185394477,2023-01-31,WMT,2023-01-31,2023,Q4,USD,0.0735212318323702,0.0848520495100032,0.0383064516129032,-0.0328030587631757,0,-0.0417620634690624,0,0.0,-0.0417620634690624,0.0557494770780319,0.2261904761904762,0.0445205479452054,0.0203266787658802,5.4585953878406706,1.0634508348794065,7.220824598183088,8.205357142857142,4.489988876529477,4.545454545454546,4.5,-0.0055330136481003,-0.00147547030616,12.230224321133411,-2.1154714850367022,-0.014,1.809743092583616,4.287492925863044,0.0,0,2023-01-31,2023-01-31,2023-01-31,WMT,2023-01-30,158204435052,161623523909,159759379565,6157234285,9235851428,7696542856,4914925713,7372388570,6143657141,2634814285,3952221428,3293517856,25211057141,37816585713,31513821427,0.50789,0.51559,0.50146,25,20,2023-01-31,2023-01-31
WMT,2023-05-18,bmo,2023-05-17,2023-05-18,2023-05-11,2023-05-17,2023-05-19,2023-05-25,2023-06-02,2023-05-11,2023-06-02,5,10,2023-05-18,2023-04-30,10,152301000000,6197000000,3352000000,1673000000,0.21,148935717767,8455832000,6346186000,3839836000,0.43949,3365282233,2.2595535063420846,-2258832000,-26.713302724084397,-2994186000,-47.18087367751277,-2166836000,-56.430430882985625,-0.22949,-52.217342829188375,2023-04-30,WMT,2023-04-30,2024,Q1,USD,-0.071607090607627,-0.0808384427098698,-0.041631067961165,0.0322880777065472,0,-0.0691688845874667,0,0.0,-0.0691688845874667,-0.0784039069450491,0.0388349514563106,0.0885245901639344,0.0120953397367484,-0.4971192079850686,0.1221003416651681,-0.6980453830599865,-0.7439379243452958,-0.733386454183267,-0.7307692307692308,-0.7272727272727273,-0.0007418397626112,-0.0011082379017362,-0.6476030277544155,1.7309541888129587,-0.0986193293885601,-2.0631547440885964,-0.6736099156481322,0.0,0,2023-04-30,2023-04-30,2023-04-30,WMT,2023-04-29,147486120392,150673566754,148935717767,6764665600,10146998400,8455832000,5076948800,7615423200,6346186000,3071868800,4607803200,3839836000,27132828800,40699243200,33916036000,0.43949,0.44616,0.43393,13,13,2023-04-30,2023-04-30
