ticker,earnings_date,date,offset,ret,ret_pct
WMT,2021-03-19,2021-03-12,-5,,
WMT,2021-03-19,2021-03-15,-4,-0.00514445620230275,-0.514445620230275
WMT,2021-03-19,2021-03-16,-3,-0.00029963314217951176,-0.029963314217951176
WMT,2021-03-19,2021-03-17,-2,-0.008321444047538096,-0.8321444047538096
WMT,2021-03-19,2021-03-18,-1,-0.013057070758139555,-1.3057070758139555
WMT,2021-03-19,2021-03-19,0,0.01330674779683716,1.330674779683716
WMT,2021-03-19,2021-03-22,1,0.004782016278132684,0.47820162781326836
WMT,2021-03-19,2021-03-23,2,0.011860776860979971,1.1860776860979971
WMT,2021-03-19,2021-03-24,3,-0.006197102803440435,-0.6197102803440435
WMT,2021-03-19,2021-03-25,4,0.00676128723883207,0.676128723883207
WMT,2021-03-19,2021-03-26,5,0.008357643803446946,0.8357643803446946
WMT,2021-03-19,2021-03-29,6,0.011396647641262136,1.1396647641262136
WMT,2021-03-19,2021-03-30,7,-0.0068046335983000805,-0.680463359830008
WMT,2021-03-19,2021-03-31,8,0.0006629115160050603,0.06629115160050603
WMT,2021-03-19,2021-04-01,9,-0.001545858631793906,-0.1545858631793906
WMT,2021-03-19,2021-04-05,10,0.02809303003279706,2.809303003279706
WMT,2021-05-18,2021-05-11,-5,,
WMT,2021-05-18,2021-05-12,-4,-0.02586897049565018,-2.586897049565018
WMT,2021-05-18,2021-05-13,-3,0.01691930761501581,1.691930761501581
WMT,2021-05-18,2021-05-14,-2,0.009259300763664546,0.9259300763664546
WMT,2021-05-18,2021-05-17,-1,-0.004515461565324008,-0.4515461565324008
WMT,2021-05-18,2021-05-18,0,0.02174385247174415,2.174385247174415
WMT,2021-05-18,2021-05-19,1,7.046416276579315e-05,0.007046416276579315
WMT,2021-05-18,2021-05-20,2,0.0035232167337770903,0.35232167337770903
WMT,2021-05-18,2021-05-21,3,-0.004704789555619704,-0.4704789555619704
WMT,2021-05-18,2021-05-24,4,7.07151504595327e-05,0.007071515045953269
WMT,2021-05-18,2021-05-25,5,0.004091674981180349,0.4091674981180349
WMT,2021-05-18,2021-05-26,6,-0.0011946986655158032,-0.11946986655158032
WMT,2021-05-18,2021-05-27,7,-0.003375838767868844,-0.3375838767868844
WMT,2021-05-18,2021-05-28,8,0.002399501062933851,0.2399501062933851
WMT,2021-05-18,2021-06-01,9,-0.002604971114000487,-0.2604971114000487
WMT,2021-05-18,2021-06-02,10,-0.002188415216857642,-0.2188415216857642
WMT,2021-08-17,2021-08-10,-5,,
WMT,2021-08-17,2021-08-11,-4,0.008945574320401217,0.8945574320401217
WMT,2021-08-17,2021-08-12,-3,-0.002676336457197337,-0.2676336457197337
WMT,2021-08-17,2021-08-13,-2,0.003153010335480877,0.3153010335480877
WMT,2021-08-17,2021-08-16,-1,0.008159074673400601,0.8159074673400601
WMT,2021-08-17,2021-08-17,0,-0.0003318900839143213,-0.03318900839143213
WMT,2021-08-17,2021-08-18,1,-0.010617180712816698,-1.0617180712816698
WMT,2021-08-17,2021-08-19,2,0.0067740208469635466,0.6774020846963547
WMT,2021-08-17,2021-08-20,3,0.008926901648034002,0.8926901648034002
WMT,2021-08-17,2021-08-23,4,-0.006602886271884323,-0.6602886271884323
WMT,2021-08-17,2021-08-24,5,-0.010302512026342803,-1.0302512026342803
WMT,2021-08-17,2021-08-25,6,0.00040316768336623454,0.040316768336623454
WMT,2021-08-17,2021-08-26,7,-0.010808243638466553,-1.0808243638466553
WMT,2021-08-17,2021-08-27,8,-0.00563290211612566,-0.563290211612566
WMT,2021-08-17,2021-08-30,9,0.008053295693507323,0.8053295693507323
WMT,2021-08-17,2021-08-31,10,0.0027084742887140134,0.27084742887140134
WMT,2021-11-16,2021-11-09,-5,,
WMT,2021-11-16,2021-11-10,-4,-0.009012646508339994,-0.9012646508339994
WMT,2021-11-16,2021-11-11,-3,0.00040433550745899716,0.040433550745899716
WMT,2021-11-16,2021-11-12,-2,-0.004983185854270489,-0.4983185854270489
WMT,2021-11-16,2021-11-15,-1,-0.005752535060232655,-0.5752535060232655
WMT,2021-11-16,2021-11-16,0,-0.025457847205947903,-2.5457847205947903
WMT,2021-11-16,2021-11-17,1,-0.008591195609887747,-0.8591195609887747
WMT,2021-11-16,2021-11-18,2,0.008595282296103068,0.8595282296103068
WMT,2021-11-16,2021-11-19,3,-0.005378433534298455,-0.5378433534298455
WMT,2021-11-16,2021-11-22,4,0.016784601076878625,1.6784601076878625
WMT,2021-11-16,2021-11-23,5,0.0071142761703730795,0.711427617037308
WMT,2021-11-16,2021-11-24,6,0.005006542220569177,0.5006542220569177
