ticker,earnings_date,announce_timing,pre_date,react_date,d5,d10,d20
ORCL,2021-03-10,amc,2021-03-10,2021-03-11,2021-03-18,2021-03-25,2021-04-09
ORCL,2021-06-15,amc,2021-06-15,2021-06-16,2021-06-23,2021-06-30,2021-07-15
ORCL,2021-09-13,amc,2021-09-13,2021-09-14,2021-09-21,2021-09-28,2021-10-12
ORCL,2021-12-09,amc,2021-12-09,2021-12-10,2021-12-17,2021-12-27,2022-01-10
ORCL,2022-03-10,amc,2022-03-10,2022-03-11,2022-03-18,2022-03-25,2022-04-08
ORCL,2022-06-13,amc,2022-06-13,2022-06-14,2022-06-22,2022-06-29,2022-07-14
ORCL,2022-09-12,amc,2022-09-12,2022-09-13,2022-09-20,2022-09-27,2022-10-11
ORCL,2022-12-12,amc,2022-12-12,2022-12-13,2022-12-20,2022-12-28,2023-01-12
ORCL,2023-03-09,amc,2023-03-09,2023-03-10,2023-03-17,2023-03-24,2023-04-10
ORCL,2023-06-12,amc,2023-06-12,2023-06-13,2023-06-21,2023-06-28,2023-07-13
ORCL,2023-09-11,amc,2023-09-11,2023-09-12,2023-09-19,2023-09-26,2023-10-10
ORCL,2023-12-11,amc,2023-12-11,2023-12-12,2023-12-19,2023-12-27,2024-01-11
ORCL,2024-03-11,amc,2024-03-11,2024-03-12,2024-03-19,2024-03-26,2024-04-10
ORCL,2024-06-11,amc,2024-06-11,2024-06-12,2024-06-20,2024-06-27,2024-07-12
ORCL,2024-09-09,amc,2024-09-09,2024-09-10,2024-09-17,2024-09-24,2024-10-08
ORCL,2024-12-09,amc,2024-12-09,2024-12-10,2024-12-17,2024-12-24,2025-01-10
ORCL,2025-03-10,amc,2025-03-10,2025-03-11,2025-03-18,2025-03-25,2025-04-08
ORCL,2025-06-11,amc,2025-06-11,2025-06-12,2025-06-20,2025-06-27,2025-07-14
ORCL,2025-09-09,amc,2025-09-09,2025-09-10,2025-09-17,2025-09-24,2025-10-08
ORCL,2025-12-10,amc,2025-12-10,2025-12-11,2025-12-18,2025-12-26,2025-12-31
