y_type,window,feature,corr,abs_corr,n
car_mm_1y_pct,m5_p5,gro_growthSellingAndMarketingExpenses,-0.0065,0.0065,384
car_mm_1y_pct,m5_p5,est_numAnalystsRevenue,0.0042,0.0042,383
car_mm_1y_pct,m5_p5,sur_actual_eps,-0.003,0.003,384
car_mm_1y_pct,m5_p5,gro_growthTotalOtherIncomeExpensesNet,0.0019,0.0019,384
car_mm_1y_pct,m5_p5,sur_surprise_ebit,0.0,0.0,383
car_mm_1y_pct,p0_p10,sur_actual_ebitda,-0.1148,0.1148,384
car_mm_1y_pct,p0_p10,gro_growthGrossProfitRatio,0.1129,0.1129,384
car_mm_1y_pct,p0_p10,gro_growthGrossProfit,0.1118,0.1118,384
car_mm_1y_pct,p0_p10,sur_actual_ebit,-0.1109,0.1109,384
car_mm_1y_pct,p0_p10,sur_actual_netIncome,-0.1055,0.1055,384
car_mm_1y_pct,p0_p10,sur_actual_revenue,-0.0937,0.0937,384
car_mm_1y_pct,p0_p10,est_revenueHigh,-0.093,0.093,383
car_mm_1y_pct,p0_p10,sur_est_revenue,-0.0928,0.0928,383
car_mm_1y_pct,p0_p10,est_revenueAvg,-0.0928,0.0928,383
car_mm_1y_pct,p0_p10,est_revenueLow,-0.091,0.091,383
car_mm_1y_pct,p0_p10,est_ebitHigh,-0.0886,0.0886,383
car_mm_1y_pct,p0_p10,est_netIncomeHigh,-0.0875,0.0875,383
car_mm_1y_pct,p0_p10,sur_est_ebit,-0.087,0.087,383
car_mm_1y_pct,p0_p10,est_ebitAvg,-0.087,0.087,383
car_mm_1y_pct,p0_p10,sur_est_netIncome,-0.0861,0.0861,383
car_mm_1y_pct,p0_p10,est_netIncomeAvg,-0.0861,0.0861,383
car_mm_1y_pct,p0_p10,est_ebitLow,-0.0831,0.0831,383
car_mm_1y_pct,p0_p10,sur_surprise_ebit,-0.0827,0.0827,383
car_mm_1y_pct,p0_p10,est_netIncomeLow,-0.0827,0.0827,383
car_mm_1y_pct,p0_p10,est_ebitdaHigh,-0.079,0.079,383
car_mm_1y_pct,p0_p10,sur_est_ebitda,-0.0786,0.0786,383
car_mm_1y_pct,p0_p10,est_ebitdaAvg,-0.0786,0.0786,383
car_mm_1y_pct,p0_p10,est_ebitdaLow,-0.0764,0.0764,383
car_mm_1y_pct,p0_p10,gro_growthInterestExpense,0.0744,0.0744,384
car_mm_1y_pct,p0_p10,gro_growthWeightedAverageShsOut,0.0701,0.0701,384
car_mm_1y_pct,p0_p10,gro_growthNonOperatingIncomeExcludingInterest,-0.0696,0.0696,384
car_mm_1y_pct,p0_p10,est_sgaExpenseHigh,-0.0686,0.0686,383
car_mm_1y_pct,p0_p10,sur_surprise_netIncome_pct,-0.0677,0.0677,383
car_mm_1y_pct,p0_p10,est_sgaExpenseAvg,-0.0677,0.0677,383
car_mm_1y_pct,p0_p10,est_sgaExpenseLow,-0.0657,0.0657,383
car_mm_1y_pct,p0_p10,gro_growthIncomeBeforeTax,-0.0558,0.0558,384
car_mm_1y_pct,p0_p10,gro_growthWeightedAverageShsOutDil,0.0553,0.0553,384
car_mm_1y_pct,p0_p10,sur_surprise_ebitda,-0.0552,0.0552,383
car_mm_1y_pct,p0_p10,gro_growthOperatingIncome,-0.0521,0.0521,384
car_mm_1y_pct,p0_p10,gro_growthOperatingExpenses,-0.0499,0.0499,384
car_mm_1y_pct,p0_p10,est_numAnalystsEps,-0.0486,0.0486,383
car_mm_1y_pct,p0_p10,gro_growthSellingAndMarketingExpenses,-0.048,0.048,384
car_mm_1y_pct,p0_p10,est_numAnalystsRevenue,-0.048,0.048,383
car_mm_1y_pct,p0_p10,sur_surprise_ebit_pct,-0.0479,0.0479,383
car_mm_1y_pct,p0_p10,gro_growthInterestIncome,0.0454,0.0454,384
car_mm_1y_pct,p0_p10,gro_growthCostAndExpenses,-0.0404,0.0404,384
car_mm_1y_pct,p0_p10,gro_growthGeneralAndAdministrativeExpenses,0.0389,0.0389,384
car_mm_1y_pct,p0_p10,gro_growthEPS,0.0372,0.0372,384
