ticker,earnings_date,day0_date,est_end_date,alpha_1y,beta_1y,r2_1y,resid_vol_1y,n_1y,alpha_1q,beta_1q,r2_1q,resid_vol_1q,n_1q
GOOGL,2021-02-02,2021-02-03,2021-02-02,,,,,252,,,,,63
GOOGL,2021-04-27,2021-04-28,2021-04-27,0.0015789334752346288,1.375127886840464,0.44355577146877057,0.014247970985899156,252,0.001330815277909894,1.271520901638504,0.4252660844640057,0.0144721817465421,63
GOOGL,2021-07-27,2021-07-28,2021-07-27,0.0014018180973549511,1.3784727640362653,0.4916549043806816,0.011756322337435655,252,0.0011864146517321734,1.3819487560330772,0.6247444062115521,0.007738610708085445,63
GOOGL,2021-10-26,2021-10-27,2021-10-26,0.0010017777594087342,1.3623964812731042,0.4991002971454176,0.010858863300345667,252,-0.0003962430749301353,1.3066733217083868,0.5926362570152264,0.007593110275418353,63
GOOGL,2022-02-01,2022-02-02,2022-02-01,0.0006456908776100588,1.248246541651598,0.4860056866123659,0.010719675790302315,252,-0.000321530580432564,1.2649068112424877,0.7596730385316561,0.00737759450754792,63
GOOGL,2022-04-26,2022-04-27,2022-04-26,0.00022774542177665671,1.3317383906650353,0.6217427632956711,0.010266232847513837,252,-5.451113696400452e-06,1.3817033393061862,0.6915381234356257,0.013037784130024793,63
GOOGL,2022-07-26,2022-07-27,2022-07-26,-0.00024603587683549605,1.3003683899764997,0.6581215289863909,0.011871858523370351,252,-0.000514724018440299,1.2739425761793728,0.7175553626777089,0.014260995089389054,63
GOOGL,2022-10-25,2022-10-26,2022-10-25,-0.00012530552707605504,1.2796574365132212,0.7028722502842264,0.011999395272226137,252,-0.0004459528408406945,1.1477688672683821,0.8551943114022078,0.007188584620072293,63
GOOGL,2023-02-02,2023-02-03,2023-02-02,-0.0003660462745520182,1.3537741095904037,0.6789876607575693,0.014135765014070708,252,0.0010413822641713575,1.4858285794959645,0.660036581485292,0.014536000647421832,63
GOOGL,2023-04-25,2023-04-26,2023-04-25,-0.00013960937114212865,1.358169548789319,0.6290708717259017,0.015042540210510078,252,0.0008169027531622136,1.6534550436792574,0.44613563755797647,0.01766268385113795,63
GOOGL,2023-07-25,2023-07-26,2023-07-25,-0.00013417865453966605,1.3808180194278272,0.5421800797581402,0.01513707028145023,252,0.000630040944568408,1.1108982310331434,0.2370782222554091,0.014831034426955082,63
GOOGL,2023-10-24,2023-10-25,2023-10-24,0.0006879152754208978,1.464864530737937,0.47156355949490936,0.015344899970416208,252,0.002854818439048683,1.458450142552729,0.669755403567057,0.007743559640386819,63
GOOGL,2024-01-30,2024-01-31,2024-01-30,0.0007387082105851123,1.4047614271939455,0.3624064189624714,0.014783912901136844,252,0.0008789581763115097,0.9138919038686317,0.20251583969822617,0.011577577068382772,63
GOOGL,2024-04-25,2024-04-26,2024-04-25,0.0006432353597028611,1.2697648182542107,0.3031112462063359,0.014213187347571102,252,-5.5229817681283423e-05,1.2381922894837603,0.2666678466379411,0.015499575449571168,63
GOOGL,2024-07-23,2024-07-24,2024-07-23,0.000677224040349138,1.356234995703766,0.31128250077830233,0.01435760070543544,252,7.345153250845008e-05,1.5089660414102861,0.26189263470457536,0.015512700632294159,63
GOOGL,2025-02-04,2025-02-05,2025-02-04,0.0006442962197495993,1.2009489755154659,0.3108780104014004,0.014470924233870775,252,0.001909585515175741,1.3683894076834413,0.3462653618991266,0.015995403153655774,63
GOOGL,2025-07-23,2025-07-24,2025-07-23,-0.00018892145861519063,1.047218592044977,0.42285551228379636,0.015214474231610079,252,0.001283281596825267,0.8520678277682552,0.13397521787928546,0.016948417790780906,63
GOOGL,2025-10-29,2025-10-30,2025-10-29,0.001446229082908096,1.0661839031971392,0.3794237325415656,0.016225609600638718,252,0.004015371221364292,1.3788784871073159,0.28172567314010444,0.015390124038318208,63
