ticker,earnings_date,announce_timing,pre_date,react_date,d5,d10,d20
GOOGL,2021-02-02,amc,2021-02-02,2021-02-03,2021-02-10,2021-02-18,2021-03-04
GOOGL,2021-04-27,amc,2021-04-27,2021-04-28,2021-05-05,2021-05-12,2021-05-26
GOOGL,2021-07-27,amc,2021-07-27,2021-07-28,2021-08-04,2021-08-11,2021-08-25
GOOGL,2021-10-26,amc,2021-10-26,2021-10-27,2021-11-03,2021-11-10,2021-11-24
GOOGL,2022-02-01,amc,2022-02-01,2022-02-02,2022-02-09,2022-02-16,2022-03-03
GOOGL,2022-04-26,amc,2022-04-26,2022-04-27,2022-05-04,2022-05-11,2022-05-25
GOOGL,2022-07-26,amc,2022-07-26,2022-07-27,2022-08-03,2022-08-10,2022-08-24
GOOGL,2022-10-25,amc,2022-10-25,2022-10-26,2022-11-02,2022-11-09,2022-11-23
GOOGL,2023-02-02,amc,2023-02-02,2023-02-03,2023-02-10,2023-02-17,2023-03-06
GOOGL,2023-04-25,amc,2023-04-25,2023-04-26,2023-05-03,2023-05-10,2023-05-24
GOOGL,2023-07-25,amc,2023-07-25,2023-07-26,2023-08-02,2023-08-09,2023-08-23
GOOGL,2023-10-24,amc,2023-10-24,2023-10-25,2023-11-01,2023-11-08,2023-11-22
GOOGL,2024-01-30,amc,2024-01-30,2024-01-31,2024-02-07,2024-02-14,2024-02-29
GOOGL,2024-04-25,amc,2024-04-25,2024-04-26,2024-05-03,2024-05-10,2024-05-24
GOOGL,2024-07-23,amc,2024-07-23,2024-07-24,2024-07-31,2024-08-07,2024-08-21
GOOGL,2024-10-29,amc,2024-10-29,2024-10-30,2024-11-06,2024-11-13,2024-11-27
GOOGL,2025-02-04,amc,2025-02-04,2025-02-05,2025-02-12,2025-02-20,2025-03-06
GOOGL,2025-04-24,amc,2025-04-24,2025-04-25,2025-05-02,2025-05-09,2025-05-23
GOOGL,2025-07-23,amc,2025-07-23,2025-07-24,2025-07-31,2025-08-07,2025-08-21
GOOGL,2025-10-29,amc,2025-10-29,2025-10-30,2025-11-06,2025-11-13,2025-11-28
