ticker,t_earnings_date,announce_timing,pre_date,post_date,d5,d10,d20,pre_adj_close,post_adj_close,adj_close_5,adj_close_10,adj_close_20,post_minus_pre,r_post_pre,drift_5,drift_10,drift_20,r_5_post,r_10_post,r_20_post,eps_est,eps_actual,revenue_est,revenue_actual,eps_surprise,revenue_surprise,news_tminus1_date,news_tplus1_date,news_tminus1_k,news_tminus1_pos,news_tminus1_neu,news_tminus1_neg,news_tminus1_pos_share,news_tminus1_neu_share,news_tminus1_neg_share,news_tplus1_k,news_tplus1_pos,news_tplus1_neu,news_tplus1_neg,news_tplus1_pos_share,news_tplus1_neu_share,news_tplus1_neg_share,transcript_date_used,transcript_sentence_k,transcript_pos,transcript_neu,transcript_neg,transcript_pos_share,transcript_neu_share,transcript_neg_share
TSLA,2021-01-27,amc,2021-01-27,2021-01-28,2021-02-04,2021-02-11,2021-02-26,288.0533447265625,278.4766540527344,283.3299865722656,270.5533447265625,225.1666717529297,-9.576690673828125,-0.033246240146660666,4.85333251953125,-7.923309326171875,-53.30998229980469,0.01742814863974984,-0.028452328806965133,-0.19143429628291042,0.3,0.27,10196800000.0,10744000000.0,-0.09999999999999991,0.05366389455515456,2021-01-26,2021-01-28,23,7,15,1,0.30434782608695654,0.6521739130434783,0.043478260869565216,29,2,19,8,0.06896551724137931,0.6551724137931034,0.27586206896551724,2021-01-27,580,94,475,11,0.16206896551724137,0.8189655172413793,0.01896551724137931
TSLA,2021-04-26,amc,2021-04-26,2021-04-27,2021-05-04,2021-05-11,2021-05-25,246.0666656494141,234.913330078125,224.53334045410156,205.73333740234375,201.56333923339844,-11.153335571289091,-0.045326479073682924,-10.379989624023438,-29.17999267578125,-33.34999084472656,-0.04418646494250189,-0.12421599347332424,-0.14196721332772122,0.26,0.31,9976330000.0,10389000000.0,0.19230769230769226,0.04136491074373041,2021-04-25,2021-04-27,7,0,7,0,0.0,1.0,0.0,27,6,10,11,0.2222222222222222,0.37037037037037035,0.4074074074074074,2021-04-27,526,67,429,30,0.12737642585551331,0.8155893536121673,0.057034220532319393
TSLA,2021-07-26,amc,2021-07-26,2021-07-27,2021-08-03,2021-08-10,2021-08-24,219.2066650390625,214.9266662597656,236.5800018310547,236.663330078125,236.163330078125,-4.279998779296903,-0.01952494819687267,21.65333557128909,21.736663818359403,21.236663818359403,0.10074755240058653,0.1011352578841378,0.09880888299217494,0.33,0.48,8644038631.0,11958000000.0,0.4545454545454544,0.38338113820028347,2021-07-25,2021-07-27,3,1,2,0,0.3333333333333333,0.6666666666666666,0.0,25,7,11,7,0.28,0.44,0.28,2021-07-26,522,68,435,19,0.13026819923371646,0.8333333333333334,0.03639846743295019
TSLA,2021-10-20,amc,2021-10-20,2021-10-21,2021-10-28,2021-11-04,2021-11-18,288.6000061035156,298.0,359.0133361816406,409.9700012207031,365.4599914550781,9.399993896484375,0.03257101073349511,61.013336181640625,111.97000122070312,67.45999145507812,0.20474273886456595,0.37573825912987635,0.22637581025193998,0.53,0.62,13148600000.0,13757000000.0,0.16981132075471692,0.04627108589507628,2021-10-19,2021-10-21,17,7,9,1,0.4117647058823529,0.5294117647058824,0.058823529411764705,28,6,15,7,0.21428571428571427,0.5357142857142857,0.25,2021-10-20,560,95,438,27,0.16964285714285715,0.7821428571428571,0.048214285714285716
TSLA,2022-01-26,amc,2022-01-26,2022-01-27,2022-02-03,2022-02-10,2022-02-25,312.4700012207031,276.3666687011719,297.0466613769531,301.51666259765625,269.9566650390625,-36.10333251953125,-0.11554175561970448,20.67999267578125,25.149993896484375,-6.410003662109375,0.07482809983190108,0.09100226888676799,-0.023193837709280185,0.79,0.85,15747600000.0,17719000000.0,0.07594936708860751,0.12518733013284564,2022-01-25,2022-01-27,24,7,12,5,0.2916666666666667,0.5,0.20833333333333334,38,5,16,17,0.13157894736842105,0.42105263157894735,0.4473684210526316,2022-01-26,509,67,427,15,0.13163064833005894,0.8388998035363457,0.029469548133595286
TSLA,2022-04-20,amc,2022-04-20,2022-04-21,2022-04-28,2022-05-05,2022-05-19,325.73333740234375,336.260009765625,292.5033264160156,291.09332275390625,236.47332763671875,10.52667236328125,0.03231684066245499,-43.756683349609375,-45.16668701171875,-99.78668212890625,-0.1301275265533598,-0.13432072116812277,-0.2967545328939296,0.75,1.07,17868578587.0,18756000000.0,0.42666666666666675,0.04966379439076533,2022-04-19,2022-04-21,21,6,11,4,0.2857142857142857,0.5238095238095238,0.19047619047619047,27,15,10,2,0.5555555555555556,0.37037037037037035,0.07407407407407407,2022-04-20,561,84,451,26,0.1497326203208556,0.803921568627451,0.04634581105169341
TSLA,2022-07-20,amc,2022-07-20,2022-07-21,2022-07-28,2022-08-04,2022-08-18,247.5,271.7066650390625,280.8999938964844,308.6333312988281,302.8699951171875,24.2066650390625,0.09780470722853529,9.193328857421875,36.926666259765625,31.163330078125,0.033835492611490325,0.13590636893083485,0.11469475757484537,0.6,0.76,16539370385.0,16934000000.0,0.2666666666666667,0.0238600143665626,2022-07-19,2022-07-21,11,3,5,3,0.2727272727272727,0.45454545454545453,0.2727272727272727,21,10,5,6,0.47619047619047616,0.23809523809523808,0.2857142857142857,2022-07-20,572,86,461,25,0.15034965034965034,0.8059440559440559,0.043706293706293704
TSLA,2022-10-19,amc,2022-10-19,2022-10-20,2022-10-27,2022-11-03,2022-11-17,222.0399932861328,207.27999877929688,225.08999633789065,215.30999755859375,183.1699981689453,-14.759994506835938,-0.0664744863679374,17.80999755859378,8.029998779296875,-24.110000610351562,0.08592241250231347,0.03873986311552846,-0.11631609780171259,0.99,1.05,21982042234.0,21454000000.0,0.06060606060606066,-0.02402152758960985,2022-10-18,2022-10-20,13,3,5,5,0.23076923076923078,0.38461538461538464,0.38461538461538464,36,8,11,17,0.2222222222222222,0.3055555555555556,0.4722222222222222,2022-10-19,566,81,465,20,0.1431095406360424,0.8215547703180212,0.0353356890459364
TSLA,2023-01-25,amc,2023-01-25,2023-01-26,2023-02-02,2023-02-09,2023-02-24,144.42999267578125,160.27000427246094,188.27000427246097,207.32000732421875,196.8800048828125,15.840011596679688,0.10967259156647335,28.00000000000003,47.05000305175781,36.61000061035156,0.17470518034303972,0.2935671167249252,0.22842702710679497,1.13,1.19,24669077753.0,24318000000.0,0.05309734513274342,-0.014231490796501524,2023-01-24,2023-01-26,34,4,22,8,0.11764705882352941,0.6470588235294118,0.23529411764705882,43,24,12,7,0.5581395348837209,0.27906976744186046,0.16279069767441862,2023-01-25,520,87,418,15,0.1673076923076923,0.8038461538461539,0.028846153846153848
TSLA,2023-04-19,amc,2023-04-19,2023-04-20,2023-04-27,2023-05-04,2023-05-18,180.58999633789065,162.99000549316406,160.19000244140625,161.1999969482422,176.88999938964844,-17.59999084472659,-0.09745828230593878,-2.8000030517578125,-1.790008544921875,13.899993896484375,-0.017178986179463895,-0.010982320906768428,0.08528126528020374,0.85,0.85,23290300000.0,23329000000.0,0.0,0.0016616359600348644,2023-04-18,2023-04-20,18,5,7,6,0.2777777777777778,0.3888888888888889,0.3333333333333333,40,6,3,31,0.15,0.075,0.775,2023-04-19,590,76,490,24,0.1288135593220339,0.8305084745762712,0.04067796610169491
