ticker,earnings_date,announce_timing,pre_close_date,day0_date,dt_m10,dt_m5,dt_m1,dt_p1,dt_p5,dt_p10,path_start,path_end,pre_bdays,post_bdays
TSLA,2021-01-27,amc,2021-01-27,2021-01-28,2021-01-13,2021-01-21,2021-01-27,2021-01-29,2021-02-04,2021-02-11,2021-01-13,2021-02-11,10,10
TSLA,2021-04-26,amc,2021-04-26,2021-04-27,2021-04-13,2021-04-20,2021-04-26,2021-04-28,2021-05-04,2021-05-11,2021-04-13,2021-05-11,10,10
TSLA,2021-07-26,amc,2021-07-26,2021-07-27,2021-07-13,2021-07-20,2021-07-26,2021-07-28,2021-08-03,2021-08-10,2021-07-13,2021-08-10,10,10
TSLA,2021-10-20,amc,2021-10-20,2021-10-21,2021-10-07,2021-10-14,2021-10-20,2021-10-22,2021-10-28,2021-11-04,2021-10-07,2021-11-04,10,10
TSLA,2022-01-26,amc,2022-01-26,2022-01-27,2022-01-12,2022-01-20,2022-01-26,2022-01-28,2022-02-03,2022-02-10,2022-01-12,2022-02-10,10,10
TSLA,2022-04-20,amc,2022-04-20,2022-04-21,2022-04-06,2022-04-13,2022-04-20,2022-04-22,2022-04-28,2022-05-05,2022-04-06,2022-05-05,10,10
TSLA,2022-07-20,amc,2022-07-20,2022-07-21,2022-07-07,2022-07-14,2022-07-20,2022-07-22,2022-07-28,2022-08-04,2022-07-07,2022-08-04,10,10
TSLA,2022-10-19,amc,2022-10-19,2022-10-20,2022-10-06,2022-10-13,2022-10-19,2022-10-21,2022-10-27,2022-11-03,2022-10-06,2022-11-03,10,10
TSLA,2023-01-25,amc,2023-01-25,2023-01-26,2023-01-11,2023-01-19,2023-01-25,2023-01-27,2023-02-02,2023-02-09,2023-01-11,2023-02-09,10,10
TSLA,2023-04-19,amc,2023-04-19,2023-04-20,2023-04-05,2023-04-13,2023-04-19,2023-04-21,2023-04-27,2023-05-04,2023-04-05,2023-05-04,10,10
TSLA,2023-07-19,amc,2023-07-19,2023-07-20,2023-07-06,2023-07-13,2023-07-19,2023-07-21,2023-07-27,2023-08-03,2023-07-06,2023-08-03,10,10
TSLA,2023-10-18,amc,2023-10-18,2023-10-19,2023-10-05,2023-10-12,2023-10-18,2023-10-20,2023-10-26,2023-11-02,2023-10-05,2023-11-02,10,10
TSLA,2024-01-24,amc,2024-01-24,2024-01-25,2024-01-10,2024-01-18,2024-01-24,2024-01-26,2024-02-01,2024-02-08,2024-01-10,2024-02-08,10,10
TSLA,2024-04-23,amc,2024-04-23,2024-04-24,2024-04-10,2024-04-17,2024-04-23,2024-04-25,2024-05-01,2024-05-08,2024-04-10,2024-05-08,10,10
TSLA,2024-07-23,amc,2024-07-23,2024-07-24,2024-07-10,2024-07-17,2024-07-23,2024-07-25,2024-07-31,2024-08-07,2024-07-10,2024-08-07,10,10
TSLA,2024-10-23,amc,2024-10-23,2024-10-24,2024-10-10,2024-10-17,2024-10-23,2024-10-25,2024-10-31,2024-11-07,2024-10-10,2024-11-07,10,10
TSLA,2025-01-29,amc,2025-01-29,2025-01-30,2025-01-15,2025-01-23,2025-01-29,2025-01-31,2025-02-06,2025-02-13,2025-01-15,2025-02-13,10,10
TSLA,2025-04-22,amc,2025-04-22,2025-04-23,2025-04-08,2025-04-15,2025-04-22,2025-04-24,2025-04-30,2025-05-07,2025-04-08,2025-05-07,10,10
TSLA,2025-07-23,amc,2025-07-23,2025-07-24,2025-07-10,2025-07-17,2025-07-23,2025-07-25,2025-07-31,2025-08-07,2025-07-10,2025-08-07,10,10
TSLA,2025-10-22,amc,2025-10-22,2025-10-23,2025-10-09,2025-10-16,2025-10-22,2025-10-24,2025-10-30,2025-11-06,2025-10-09,2025-11-06,10,10
