symbol,date,fiscalYear,period,reportedCurrency,growthRevenue,growthCostOfRevenue,growthGrossProfit,growthGrossProfitRatio,growthResearchAndDevelopmentExpenses,growthGeneralAndAdministrativeExpenses,growthSellingAndMarketingExpenses,growthOtherExpenses,growthOperatingExpenses,growthCostAndExpenses,growthInterestIncome,growthInterestExpense,growthDepreciationAndAmortization,growthEBITDA,growthOperatingIncome,growthIncomeBeforeTax,growthIncomeTaxExpense,growthNetIncome,growthEPS,growthEPSDiluted,growthWeightedAverageShsOut,growthWeightedAverageShsOutDil,growthEBIT,growthNonOperatingIncomeExcludingInterest,growthNetInterestIncome,growthTotalOtherIncomeExpensesNet,growthNetIncomeFromContinuingOperations,growthOtherAdjustmentsToNetIncome,growthNetIncomeDeductions
MSFT,2020-12-31,2021,Q2,USD,0.15939064434515798,0.29012906744228323,0.10438972162740899,-0.047439508811742824,-0.0054811205846528625,0.017873100983020553,0.16922713306546916,0.0,0.06899571817827949,0.1833348998966068,-0.043859649122807015,-0.030560271646859084,0.04385633270321361,0.11938216757929539,0.12729906777525826,0.1372488216323493,0.2882115643209323,0.11300655006118189,0.11413043478260855,0.11538461538461524,-0.0014538725878932065,-0.002749770852428964,0.13133488900855622,-0.2078853046594982,-0.3684210526315789,0.7741935483870968,0.11300655006118189,0,0
MSFT,2021-03-31,2021,Q3,USD,-0.03180425294827746,-0.08094969705509371,-0.007651824665881864,0.0249458112361571,0.06225760359256991,0.16505706760316066,0.0272892662219527,0.0,0.05716886663632226,-0.020691846379919776,-0.047706422018348627,0.1085814360770578,0.0633828323071351,-0.03987262910148138,-0.047438118120355366,-0.06004253694715602,-0.38100208768267224,-0.00038802302269934683,0.0,0.0,-0.0021178027796161483,-0.0024947478991596637,-0.05495028559339962,0.18793273986152326,-3.3846153846153846,-0.5727272727272728,-0.00038802302269934683,0,0
MSFT,2021-06-30,2021,Q4,USD,0.10660336642209754,0.07251820620927558,0.12211716269495133,0.014019292407200505,0.09281322059953882,0.146948003014318,0.15249901613537978,0.0,0.12511840179109618,0.09729094006002109,-0.04238921001926782,-0.1263823064770932,0.13896457765667575,0.12001922614756068,0.12007273580478649,0.12584126247389185,0.65654862282181,0.06476030277544155,0.06829268292682933,0.06896551724137938,-0.0015917230401910067,-0.0021060945109911806,0.11690637416755274,-0.05115712545676005,0.5087719298245614,0.648936170212766,0.06476030277544155,0,0
MSFT,2021-09-30,2022,Q1,USD,-0.018092390362281156,-0.024658709170180832,-0.015235844656571624,0.002909179789735394,-0.015473887814313346,-0.15440210249671485,-0.22366399180467816,0.0,-0.1249808663707332,-0.07310492663636027,0.04627766599597585,-0.02531645569620253,-0.039473684210526314,0.04175607244013389,0.0598586017282011,0.057665550115949496,-0.993552765524262,0.24589865111192125,0.24657534246575344,0.24884792626728114,-0.0018599707718878703,-0.0018467220683287165,0.05536626916524702,0.0440324449594438,0.6607142857142857,-0.07741935483870968,0.24589865111192125,0,0
MSFT,2021-12-31,2022,Q2,USD,0.14147008848776396,0.24285504909863698,0.09778661867323418,-0.03826948276731543,0.028397928201464546,0.07536907536907538,0.18297778755223224,0.0,0.09516312428933787,0.17552533992583436,-0.032692307692307694,-0.025974025974025976,0.08841843088418432,0.09314109165808444,0.09926870244095266,0.0970083804326642,196.3684210526316,-0.08485735186539868,-0.08424908424908424,-0.08487084870848707,-0.0010648209769732464,-0.0015858332232060262,0.09386127332288847,0.03878787878787879,-0.15789473684210525,-0.06293706293706294,-0.08485735186539868,0,0
MSFT,2022-03-31,2022,Q3,USD,-0.045777915248994744,-0.07930424528301887,-0.029423607915324435,0.01713888999616702,0.09517193469954846,0.06936416184971098,0.040156162855549356,0.0,0.06868460985544285,-0.016451273701706185,0.03180914512922465,-0.0419047619047619,0.07923340961098398,-0.07800723545372325,-0.08464062570234189,-0.10326449033977349,-0.0768,-0.10855315747402078,-0.10800000000000001,-0.10483870967741928,-0.0015989340439706862,-0.0027796161482461948,-0.10186631944444445,0.5851197982345523,1.7272727272727273,-1.6492537313432836,-0.10855315747402078,0,0
MSFT,2022-06-30,2022,Q4,USD,0.05074959481361426,0.052129362792187,0.050111127574455475,-0.0006076301570326917,0.08610846812559467,0.18175675675675676,0.12672028596961574,0.0,0.11366863463119348,0.08052834873775694,0.06358381502890173,-0.013916500994035786,0.05459846276172807,0.02027303196272378,0.008348065213121194,0.014710252600297177,0.08232235701906412,0.0007173601147776184,0.00448430493273553,0.004504504504504408,-0.002535699986654211,-0.0037164852667905496,0.01401440100517083,-0.364741641337386,2.5,0.7298850574712644,0.0007173601147776184,0,0
MSFT,2022-09-30,2023,Q1,USD,-0.03360647835727369,-0.05946801387789884,-0.021616435263573767,0.012406998615034259,-0.032267484304278,-0.2006861063464837,-0.18686548223350255,0.0,-0.11743390148973293,-0.08703839647633334,0.161231884057971,0.008064516129032258,-0.298818798693139,-0.0040060892556686165,0.04792052206097205,0.05296041392102309,0.0717907659460902,0.04874551971326165,0.049107142857142794,0.05381165919282516,-0.0022745517795022745,-0.002797761790567546,0.05189915645999142,-0.23385300668151449,1.5178571428571428,2.148936170212766,0.04874551971326165,0,0
MSFT,2022-12-31,2023,Q2,USD,0.05237221180320019,0.13176287859176805,0.016988751081626768,-0.033622572297523176,0.032589016294508145,0.6716738197424893,0.10788138899726883,0.0,0.1298661800486618,0.13089078450566355,0.09204368174726989,-0.02,0.30752688172043013,-0.015485479848765183,-0.052002974254112835,-0.05715742629334322,-0.025398406374501994,-0.06442241968557758,-0.0638297872340425,-0.0638297872340425,-0.0008046131151937776,-0.0016032064128256513,-0.05631569409206234,0.22382671480144403,0.48936170212765956,-2.111111111111111,-0.06442241968557758,0,0
MSFT,2023-03-31,2023,Q3,USD,0.002085426659336076,-0.0777676120768527,0.04169148302561048,0.039523632730934205,0.020455873758036237,-0.29696191698759095,0.012502201091741504,0.0,-0.03250336473755047,-0.05697415605292445,0.06857142857142857,0.012244897959183673,-0.027138157894736843,0.0915553376639294,0.09573998725427717,0.11475490437091303,0.11752682677567705,0.11409436834094368,0.11818181818181807,0.11363636363636363,-0.0013421017313112334,-0.0012043356081894822,0.11234336742042345,-0.9,0.2,6.35,0.11409436834094368,0,0
