date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,netInterestIncome,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebit,nonOperatingIncomeExcludingInterest,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeFromDiscontinuedOperations,otherAdjustmentsToNetIncome,netIncome,netIncomeDeductions,bottomLineNetIncome,eps,epsDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2020-12-31,MSFT,USD,0000789019,2021-01-26,2021-01-26 16:09:34,2021,Q2,43076000000,14194000000,28882000000,4899000000,1139000000,4947000000,6086000000,0,10985000000,25179000000,-26000000,545000000,571000000,2761000000,21669000000,18908000000,-1011000000,17897000000,440000000,18337000000,2874000000,15463000000,0,0,15463000000,0,15463000000,2.05,2.03,7555000000,7616000000
2021-03-31,MSFT,USD,0000789019,2021-04-27,2021-04-27 16:09:38,2021,Q3,41706000000,13045000000,28661000000,5204000000,1327000000,5082000000,6409000000,0,11613000000,24658000000,-114000000,519000000,633000000,2936000000,20805000000,17869000000,-821000000,17048000000,188000000,17236000000,1779000000,15457000000,0,0,15457000000,0,15457000000,2.05,2.03,7539000000,7597000000
2021-06-30,MSFT,USD,0000789019,2021-07-29,2021-07-29 16:21:55,2021,Q4,46152000000,13991000000,32161000000,5687000000,1522000000,5857000000,7379000000,0,13066000000,27057000000,-56000000,497000000,553000000,3344000000,23302000000,19958000000,-863000000,19095000000,310000000,19405000000,2947000000,16458000000,0,0,16458000000,0,16458000000,2.19,2.17,7527000000,7581000000
2021-09-30,MSFT,USD,0000789019,2021-10-26,2021-10-26 16:11:30,2022,Q1,45317000000,13646000000,31671000000,5599000000,1287000000,4547000000,5834000000,0,11433000000,25079000000,-19000000,520000000,539000000,3212000000,24275000000,21063000000,-825000000,20238000000,286000000,20524000000,19000000,20505000000,0,0,20505000000,0,20505000000,2.73,2.71,7513000000,7567000000
2021-12-31,MSFT,USD,0000789019,2022-01-25,2022-01-25 16:09:04,2022,Q2,51728000000,16960000000,34768000000,5758000000,1384000000,5379000000,6763000000,0,12521000000,29481000000,-22000000,503000000,525000000,3496000000,26536000000,23040000000,-793000000,22247000000,268000000,22515000000,3750000000,18765000000,0,0,18765000000,0,18765000000,2.5,2.48,7505000000,7555000000
2022-03-31,MSFT,USD,0000789019,2022-04-26,2022-04-26 16:08:55,2022,Q3,49360000000,15615000000,33745000000,6306000000,1480000000,5595000000,7075000000,0,13381000000,28996000000,16000000,519000000,503000000,3773000000,24466000000,20693000000,-329000000,20364000000,-174000000,20190000000,3462000000,16728000000,0,0,16728000000,0,16728000000,2.23,2.22,7493000000,7534000000
2022-06-30,MSFT,USD,0000789019,2022-07-28,2022-07-28 16:06:19,2022,Q4,51865000000,16429000000,35436000000,6849000000,1749000000,6304000000,8053000000,0,14902000000,31331000000,56000000,552000000,496000000,3979000000,24962000000,20983000000,-449000000,20534000000,-47000000,20487000000,3747000000,16740000000,0,0,16740000000,0,16740000000,2.24,2.23,7474000000,7506000000
2022-09-30,MSFT,USD,0000789019,2022-10-25,2022-10-25 16:08:55,2023,Q1,50122000000,15452000000,34670000000,6628000000,1398000000,5126000000,6524000000,0,13152000000,28604000000,141000000,641000000,500000000,2790000000,24862000000,22072000000,-554000000,21518000000,54000000,21572000000,4016000000,17556000000,0,0,17556000000,0,17556000000,2.35,2.35,7457000000,7485000000
2022-12-31,MSFT,USD,0000789019,2023-01-24,2023-01-24 16:34:20,2023,Q2,52747000000,17488000000,35259000000,6844000000,2337000000,5679000000,8016000000,0,14860000000,32348000000,210000000,700000000,490000000,3648000000,24477000000,20829000000,-430000000,20399000000,-60000000,20339000000,3914000000,16425000000,0,0,16425000000,0,16425000000,2.2,2.2,7451000000,7473000000
2023-03-31,MSFT,USD,0000789019,2023-04-25,2023-04-25 16:07:43,2023,Q3,52857000000,16128000000,36729000000,6984000000,1643000000,5750000000,7393000000,0,14377000000,30505000000,252000000,748000000,496000000,3549000000,26718000000,23169000000,-817000000,22352000000,321000000,22673000000,4374000000,18299000000,0,0,18299000000,0,18299000000,2.46,2.45,7441000000,7464000000
