ticker,earnings_date,announce_timing,pre_date,react_date,d5,d10,d20
PLTR,2021-02-16,bmo,2021-02-12,2021-02-16,2021-02-23,2021-03-02,2021-03-16
PLTR,2021-05-11,bmo,2021-05-10,2021-05-11,2021-05-18,2021-05-25,2021-06-09
PLTR,2021-08-12,bmo,2021-08-11,2021-08-12,2021-08-19,2021-08-26,2021-09-10
PLTR,2021-11-09,bmo,2021-11-08,2021-11-09,2021-11-16,2021-11-23,2021-12-08
PLTR,2022-02-17,bmo,2022-02-16,2022-02-17,2022-02-25,2022-03-04,2022-03-18
PLTR,2022-05-09,bmo,2022-05-06,2022-05-09,2022-05-16,2022-05-23,2022-06-07
PLTR,2022-08-08,bmo,2022-08-05,2022-08-08,2022-08-15,2022-08-22,2022-09-06
PLTR,2022-11-07,bmo,2022-11-04,2022-11-07,2022-11-14,2022-11-21,2022-12-06
PLTR,2023-02-13,amc,2023-02-13,2023-02-14,2023-02-22,2023-03-01,2023-03-15
PLTR,2023-05-08,amc,2023-05-08,2023-05-09,2023-05-16,2023-05-23,2023-06-07
PLTR,2023-08-07,amc,2023-08-07,2023-08-08,2023-08-15,2023-08-22,2023-09-06
PLTR,2023-11-02,bmo,2023-11-01,2023-11-02,2023-11-09,2023-11-16,2023-12-01
PLTR,2024-02-05,amc,2024-02-05,2024-02-06,2024-02-13,2024-02-21,2024-03-06
PLTR,2024-05-06,amc,2024-05-06,2024-05-07,2024-05-14,2024-05-21,2024-06-05
PLTR,2024-08-05,amc,2024-08-05,2024-08-06,2024-08-13,2024-08-20,2024-09-04
PLTR,2024-11-04,amc,2024-11-04,2024-11-05,2024-11-12,2024-11-19,2024-12-04
PLTR,2025-02-03,amc,2025-02-03,2025-02-04,2025-02-11,2025-02-19,2025-03-05
PLTR,2025-05-05,amc,2025-05-05,2025-05-06,2025-05-13,2025-05-20,2025-06-04
PLTR,2025-08-04,amc,2025-08-04,2025-08-05,2025-08-12,2025-08-19,2025-09-03
PLTR,2025-11-03,amc,2025-11-03,2025-11-04,2025-11-11,2025-11-18,2025-12-03
