ticker,earnings_date,announce_timing,pre_date,react_date,d5,d10,d20,pre_adj_close,react_adj_close,adj_close_p5,adj_close_p10,adj_close_p20,delta_react_vs_pre,delta_p5_vs_pre,delta_p10_vs_pre,delta_p20_vs_pre,delta_drift_5_vs_react,delta_drift_10_vs_react,delta_drift_20_vs_react,retpct_react_vs_pre,retpct_p5_vs_pre,retpct_p10_vs_pre,retpct_p20_vs_pre,retpct_drift_5_vs_react,retpct_drift_10_vs_react,retpct_drift_20_vs_react
PLTR,2021-02-16,bmo,2021-02-12,2021-02-16,2021-02-23,2021-03-02,2021-03-16,31.90999984741211,27.84000015258789,26.75,24.479999542236328,25.61000061035156,-4.069999694824219,-5.159999847412109,-7.430000305175781,-6.29999923706055,-1.0900001525878906,-3.3600006103515625,-2.2299995422363317,-12.754621480057116,-16.170479072661557,-23.28423798403231,-19.74302496767789,-3.9152304116872205,-12.06896764344748,-8.010055783096103
PLTR,2021-05-11,bmo,2021-05-10,2021-05-11,2021-05-18,2021-05-25,2021-06-09,18.469999313354492,20.209999084472656,21.239999771118164,21.479999542236328,24.170000076293945,1.739999771118164,2.770000457763672,3.010000228881836,5.700000762939453,1.0300006866455078,1.2700004577636719,3.960000991821289,9.420681298347855,14.997295943378086,16.296699192108232,30.860860719242922,5.096490516107233,6.284020362669951,19.59426606240551
PLTR,2021-08-12,bmo,2021-08-11,2021-08-12,2021-08-19,2021-08-26,2021-09-10,22.350000381469727,24.88999938964844,24.15999984741211,24.8700008392334,26.280000686645508,2.5399990081787145,1.8099994659423828,2.520000457763672,3.9300003051757812,-0.7299995422363317,-0.019998550415042615,1.3900012969970668,11.36464861219697,8.098431476730727,11.275169640949944,17.58389368276756,-2.932903013810173,-0.08034773364984371,5.584577465177265
PLTR,2021-11-09,bmo,2021-11-08,2021-11-09,2021-11-16,2021-11-23,2021-12-08,26.75,24.25,23.1299991607666,20.59000015258789,19.81999969482422,-2.5,-3.6200008392333984,-6.159999847412109,-6.930000305175781,-1.1200008392333984,-3.6599998474121094,-4.430000305175781,-9.345794392523366,-13.532713417694954,-23.02803681275555,-25.906543196918808,-4.618560161787211,-15.092782875926225,-18.268042495570235
PLTR,2022-02-17,bmo,2022-02-16,2022-02-17,2022-02-25,2022-03-04,2022-03-18,13.970000267028809,11.770000457763672,11.470000267028809,10.960000038146973,12.81999969482422,-2.1999998092651367,-2.5,-3.010000228881836,-1.150000572204588,-0.3000001907348633,-0.8100004196166992,1.0499992370605487,-15.74802982973057,-17.89548999437285,-21.546171591605944,-8.231929493364099,-2.548854537528744,-6.881906441069086,8.920978727472795
PLTR,2022-05-09,bmo,2022-05-06,2022-05-09,2022-05-16,2022-05-23,2022-06-07,9.479999542236328,7.460000038146973,8.039999961853027,8.010000228881836,9.130000114440918,-2.0199995040893555,-1.4399995803833008,-1.4699993133544922,-0.34999942779541016,0.5799999237060547,0.5500001907348633,1.6700000762939453,-21.30801267541874,-15.189869724862938,-15.506322619586543,-3.6919772647251103,7.774797865150207,7.372656674563238,22.386059889468378
PLTR,2022-08-08,bmo,2022-08-05,2022-08-08,2022-08-15,2022-08-22,2022-09-06,11.449999809265137,9.81999969482422,9.90999984741211,8.069999694824219,7.28000020980835,-1.6300001144409162,-1.5399999618530273,-3.380000114440918,-4.169999599456787,0.09000015258788885,-1.7500000000000018,-2.539999485015871,-14.235809096887053,-13.449781550274675,-29.519652146246166,-36.41921108227877,0.9164985273403259,-17.820774484569135,-25.865576007651157
PLTR,2022-11-07,bmo,2022-11-04,2022-11-07,2022-11-14,2022-11-21,2022-12-06,7.929999828338623,7.019999980926514,8.100000381469727,7.190000057220459,6.989999771118164,-0.9099998474121094,0.17000055313110352,-0.7399997711181641,-0.940000057220459,1.080000400543213,0.1700000762939453,-0.03000020980834961,-11.475408160289447,2.1437649030406014,-9.33164927032789,-11.853721028609332,15.384621132159504,2.421653515040445,-0.4273534172344884
PLTR,2023-02-13,amc,2023-02-13,2023-02-14,2023-02-22,2023-03-01,2023-03-15,7.610000133514404,9.220000267028809,8.359999656677246,7.690000057220459,7.900000095367432,1.6100001335144043,0.7499995231628418,0.07999992370605469,0.28999996185302734,-0.8600006103515625,-1.5300002098083496,-1.320000171661377,21.156374576446744,9.855446912015786,1.0512473364321595,3.810774727530797,-9.327555156662726,-16.594361881742113,-14.316704267154579
PLTR,2023-05-08,amc,2023-05-08,2023-05-09,2023-05-16,2023-05-23,2023-06-07,7.739999771118164,9.550000190734863,9.470000267028809,12.640000343322754,14.6899995803833,1.8100004196166992,1.7300004959106445,4.90000057220459,6.949999809265137,-0.07999992370605469,3.0900001525878906,5.1399993896484375,23.38501903282635,22.351428256705486,63.30750280496078,89.79328184477582,-0.8376955194584035,32.356021893965206,53.821982062734584
