date,ret_1d,logret_1d,ret_5d,ret_20d,sma_5,ema_5,sma_20,ema_20,sma_50,ema_50,macd_12_26,macd_signal_9,macd_hist,rsi_14,roc_10,mom_10,vol_20,vol_60,atr_14,bb_mid_20,bb_upper_20_2,bb_lower_20_2,bb_width_20_2,obv,cmf_20,mfi_14,hl_range,oc_gap
2021-01-22,-0.011177385373456472,-0.011240321760971644,0.0388058814792811,0.032703550817543725,13.328616905212403,13.48600595189015,13.186379861831664,13.28151374268491,13.225505504608154,13.203498726029954,0.0768894016199706,0.01869837843677179,0.05819102318319881,56.51749676152073,0.02761521569616776,0.3674640655517578,0.025635652883160227,0.021997287298156885,0.491357122148786,13.186379861831664,13.81997726378318,12.552782459880149,0.09609876381393813,21892312000.0,-0.06956246414187918,62.099577648871396,0.015642693397506492,0.002005480645609667
2021-01-25,-0.004320743208004019,-0.0043301045941007,0.06172470596109725,0.04950314395409117,13.486921501159667,13.52899117597527,13.218489503860473,13.313270683776395,13.243196182250976,13.219634525956055,0.09314722317989066,0.03358814738539557,0.05955907579449509,55.483723201776534,0.02835786276961727,0.3754444122314453,0.02515369577210475,0.0198897627612273,0.4843570845467701,13.218489503860473,13.871305101885213,12.565673905835734,0.09877310078947886,21641200000.0,-0.02287521398341,53.98292815072641,0.043359641028829166,0.009411677599296474
2021-01-26,-0.0159667174780731,-0.016095558800746885,0.031477428518060346,0.03397816868878767,13.568691825866699,13.485185910122837,13.240502786636352,13.321299702313688,13.243619270324707,13.226612598601621,0.08748197291176396,0.04436691249066925,0.04311506042109471,51.734155545180656,-0.013673193207249135,-0.18572711944580078,0.025484781189978645,0.0187810652907157,0.47787496021815684,13.240502786636352,13.885885439996784,12.59512013327592,0.09748612477342133,21477220000.0,-0.03261927017924922,48.576866964179935,0.01914737922615886,0.010811065198520629
2021-01-27,-0.038518117681360486,-0.039279557273177466,-0.03351831868755639,0.0013759666517876301,13.479343605041503,13.28396593786428,13.241387796401977,13.279416491935924,13.232948780059814,13.213079790552428,0.040880108246909685,0.04366955164191734,-0.002789443395007654,44.112921409310246,-0.04204733686181095,-0.5654077529907227,0.02703427574900652,0.01957996179224672,0.46521432059151785,13.241387796401977,13.884640594953472,12.598134997850481,0.09715791251522499,21105948000.0,-0.0547359840097431,50.8466682373741,0.03398425557961566,0.024172102338806185
2021-01-28,0.010315120188337357,0.01026228237770396,-0.05887871672063083,0.008324711787166983,13.316501426696778,13.194110785968766,13.246760129928589,13.254176871958954,13.228120880126953,13.20528844512597,0.01450247996039522,0.037836137305612916,-0.023333657345217695,46.30626456301012,-0.03552767600384443,-0.4794034957885742,0.02712248926118702,0.019574164702243723,0.4408392906188964,13.246760129928589,13.879968698680463,12.613551561176715,0.09560202835125804,21334264000.0,-0.06985797719992692,47.97048531717763,0.0290591170675263,-0.004195041784907608
2021-01-29,-0.0046928946634867685,-0.004703940866308026,-0.05270704130776149,-0.011866725662249111,13.172357749938964,13.113848947847993,13.238982152938842,13.225524338592049,13.217720012664795,13.195407536360499,-0.011201120024304956,0.028028685839629343,-0.0392298058639343,45.4238211014745,-0.01594650302659295,-0.2099075317382848,0.02690568541144595,0.019434399231152675,0.44400003978184266,13.238982152938842,13.883050089681918,12.594914216195766,0.09729870911565554,21062712000.0,-0.11659413112079403,40.90126070143508,0.03258339855250155,0.006562859286646687
2021-02-01,0.01903413395397302,0.018855251181004545,-0.030487124064587534,0.013941117318574836,13.08934154510498,13.142526165223858,13.24805669784546,13.223082077771434,13.21410451889038,13.195582950619913,-0.011543388746126482,0.02011427092247818,-0.03165765966860466,49.59940227509518,0.02935577312802362,0.37644195556640625,0.027202435061363106,0.019609570125253474,0.4214106968470981,13.24805669784546,13.884102477987907,12.612010917703012,0.09602099306321482,21279916000.0,-0.09393385620216399,35.74690698182671,0.027800862550370266,-0.013881555195853372
2021-02-02,0.024155705213134482,0.02386857093019531,0.009043251689732745,0.03380104975655884,13.11357307434082,13.267928451681628,13.270157051086425,13.251239310802456,13.216736488342285,13.20825550254059,0.01375552164101812,0.01884252106618617,-0.005086999425168048,54.45269518638731,0.040805338516427314,0.5300092697143555,0.027685761697992993,0.019904613190445338,0.4160891941615515,13.270157051086425,13.911828479280883,12.628485622891967,0.09670894258812479,21500356000.0,-0.014301624648971905,42.742360406436035,0.02113338158656439,-0.011654709934371598
2021-02-03,-0.001936380152149253,-0.0019382573599127525,0.047434568330998905,0.009381027948455856,13.235778999328613,13.342804173883131,13.276426935195923,13.274221816277091,13.218615570068359,13.219404526687475,0.0313316210518213,0.021340341063313197,0.009991279988508104,53.99301060847603,0.012326322665317413,0.16428852081298828,0.027276013094118902,0.019906643701224885,0.42860705511910613,13.276426935195923,13.924507709146397,12.62834616124545,0.09762879381837382,21254948000.0,-0.09535237712928947,49.27672659437651,0.03068990886368401,0.007797144552366906
2021-02-04,0.009885022374234609,0.009836485139559665,0.0469886685228571,0.08321750212468815,13.358084869384765,13.437179393408254,13.328767108917237,13.307717817818178,13.23019027709961,13.23534669554124,0.05538455225008221,0.028149183300667003,0.027235368949415206,56.029722965099424,-0.01465668070081072,-0.2026815414428711,0.02319850943816693,0.01957255466765899,0.42264277594430144,13.328767108917237,13.904810890149678,12.752723327684796,0.08643616870566445,21456288000.0,0.02740149595397202,50.3729092809518,0.024571390085360804,-0.009751741432251035
2021-02-05,-0.005360648714643257,-0.005375068548159115,0.04628624118040925,0.01851012258330842,13.477997016906738,13.475748265344274,13.341082429885864,13.331067169379905,13.239262351989746,13.247799217646145,0.06777142068239073,0.03607363077701175,0.03169778990537898,54.604027184618786,-0.008860410953229092,-0.12115764617919922,0.019729935229113732,0.019586893268409348,0.40226786477225207,13.341082429885864,13.925598285844067,12.75656657392766,0.08762645145626377,21287136000.0,-0.06332846275584898,56.87551750098921,0.014090256003776806,0.009859523369126483
2021-02-08,0.062375947586806424,0.06050785978759697,0.09078714822646039,0.08752153769023763,13.71767292022705,13.783252215755233,13.399019575119018,13.4327045929225,13.268875637054443,13.292915331329715,0.1441411589794246,0.057687136417494324,0.08645402256193027,65.5345793438587,0.057532185110422684,0.7832984924316406,0.02372724134156523,0.0212143841092532,0.44746432985578305,13.399019575119018,14.14778053685542,12.650258613382617,0.11176354471886807,21721760000.0,-0.0019374258917517551,65.7535201522371,0.05170115151610035,-0.04927712957757897
2021-02-09,-0.012154855683029209,-0.012229330040006045,0.05211422674701893,0.047112905349071976,13.858576583862305,13.929918591427969,13.431017017364502,13.50799475957497,13.289465923309326,13.329399096484371,0.18837155137048534,0.08382401940809253,0.1045475319623928,62.195846129291716,0.06162876050584076,0.8256759643554688,0.02343530069381583,0.02112992912988779,0.44428580147879504,13.431017017364502,14.263005786220543,12.59902824850846,0.12389065813562611,21434200000.0,-0.03145806243615716,66.23302337917258,0.02529228538291595,0.005433501322737702
